{'短评内容': '房间设施太差，卫生不干净', '短评打分': 2}
{'短评内容': '大床房很小，很是拥挤，卫生一般，设施很陈旧，应该不是格林豪泰的水平，常住格林豪泰，感觉差距好大，需要提高，好在价位不高，还是有优势。', '短评打分': 4}
{'短评内容': '没有早餐，设施很陈旧，大床房的布局跟不合理，无奈加钱换住标间，浪费。标间还算合适，房间不小，海南的天气，就是感觉卧具都是湿漉漉的。', '短评打分': 4}
{'短评内容': '房间不隔音，能听到隔壁说话的声音。', '短评打分': 4}
{'短评内容': '这个必须给差评，免得以后害了其他客人。', '短评打分': 1}
{'短评内容': '环境可以，各种设施都有', '短评打分': 5}
{'短评内容': '八楼，楼道太长，洗手间太小，墙壁掉的灰都看到砖了，要押金就算了，早上退房硬是要等个十多分钟才给你，既然这么不相信顾客 我觉得这家店也是&hellip;&hellip;店家看到可以自己去看816房', '短评打分': 4}
{'短评内容': '很好不错，推荐入住。', '短评打分': 5}
{'短评内容': '价格还是比较实惠的。洗澡间很干净，热水充足。', '短评打分': 4}
{'短评内容': '酒店周围的设施很完善，适合来附近办事的人居住。', '短评打分': 4}
{'短评内容': '蚊子多', '短评打分': 4}
{'短评内容': '价格挺实惠的。每次出差都会来这里住。', '短评打分': 4}
{'短评内容': '附近蛮多吃的，挺方便。住这里挺多回的了。', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '手机落床上，服务员拿下来给我，好感动。', '短评打分': 4}
{'短评内容': '一半', '短评打分': 4}
{'短评内容': '房间有这些许吵，临街房间', '短评打分': 3}
{'短评内容': '临街房间稍稍有些吵，其他尚可', '短评打分': 4}
