{'短评内容': '哈哈哈呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '邢小姐很好', '短评打分': 5}
{'短评内容': '工号64服务热情', '短评打分': 5}
{'短评内容': '已经多次入住了，一如既往地不错', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 5}
{'短评内容': '还不错，，，', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店设施豪华，有埃及文化特色，比较特别。酒店建筑结构设计太复杂，走来走去像迷宫，适合度假休闲。酒店房间太小，住的不是很舒适、温馨。酒店管理和服务还是不错的。地理位置不是太有优势，在总部基地，在附近出差办事的住的比较方便，打车还比较方便，购物、逛街不是很方便。信价比还行。', '短评打分': 4}
{'短评内容': '干净整洁  位置还不错', '短评打分': 5}
{'短评内容': '严重不值这个价啊', '短评打分': 3}
{'短评内容': '高端大气上档次', '短评打分': 5}
{'短评内容': '服务员人很好', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '服务环境好', '短评打分': 5}
{'短评内容': '酒店很一般、比较大、非常乱！服务一般', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '刚刚入住，酒店很大，环境很不错！房间挨着空调机，比较吵，现在告诉前台给换房间，希望一会可以给调换！现在来中餐厅吃饭了，价位偏高！', '短评打分': 3}
{'短评内容': '给公司同事订的房，同事反映还行，总体不错，价格便宜，服务都不错，酒店卫生也都不错，性价比很高，总体满意。\n\n', '短评打分': 5}
{'短评内容': '房间很有异域风情的感觉，床很舒服，性价比还可以', '短评打分': 5}
{'短评内容': '真是一家玛雅文化博物馆呀。干净合适，下次还订这家。', '短评打分': 5}
{'短评内容': '很有特色的酒店，环境很不错，到处都散发着独特的文化气息，有很漂亮的游泳馆，装修得很有埃及的风情，周围环境也很安静。用的床上用品，房间内的物品都是名牌产品，挺好用的，订了个大床房，感觉很好。不足之处带浴缸的房间只能一个人用浴缸，2个人一起用有点小。', '短评打分': 5}
{'短评内容': '环境很好，住的比较舒服', '短评打分': 3}
{'短评内容': '非常具有特色，值得一住，可惜正在装修，味道不太好。', '短评打分': 5}
{'短评内容': '前台服务差点，其它还比较满意。', '短评打分': 3}
{'短评内容': '＋入住了！性价比较高！很不错哦～～', '短评打分': 3}
{'短评内容': '环境不错,.有点小贵环境不错,.有点小贵环境不错,.有点小贵环境不错,.有点小贵', '短评打分': 5}
{'短评内容': '酒店很新，挺舒服。但是内部氛围很神秘，感觉有点像迷宫，有点压抑。', '短评打分': 3}
{'短评内容': '有特色，卫生干净，就是酒店结构复杂，有时迷路。', '短评打分': 5}
{'短评内容': '酒店环境非常有特色，朋友也很喜欢', '短评打分': 3}
{'短评内容': '房子太小，色调过暗显得压抑，主题风格很有特色', '短评打分': 5}
{'短评内容': '房间卫生不错，设施也行，就是房间过小。。。。插座太少充电比较麻烦', '短评打分': 5}
{'短评内容': '周边环境挺安静，房间设施也不错的，服务热情，干净整洁。价格满实惠！', '短评打分': 5}
{'短评内容': '酒店很有异域情调，幽静而神秘，就是别一个人住，床很舒服。', '短评打分': 5}
{'短评内容': '超豪华的装修，太适合一家人住，楼上楼下太舒适了，能住四人，要是早餐也含四人上餐就好了。', '短评打分': 5}
{'短评内容': '住了几次这家酒店，整体感觉还行，就是太偏，购物吃饭部方便，最后一次退房完了20分钟，扣了半天房费，作为老顾客，让我们感觉不舒服，不在考虑住该酒店了。', '短评打分': 1}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '在区域内算高档的，硬件尚可，软件较弱，房间隔音不佳，餐饮更差，早餐安排在中餐厅三楼，需要爬又窄又陡的楼梯，实在不方便。但因附近没有更好的饭店，下次还得住这', '短评打分': 5}
{'短评内容': '酒店房间不错，离市区较远，总体满意\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '挺有意思，房间设施非常好，床也很舒服，就是有点像迷宫。', '短评打分': 5}
{'短评内容': '酒店环境不错，但价格偏高', '短评打分': 3}
{'短评内容': '酒店环境不错，房间也很有特点，五百多不算贵', '短评打分': 3}
{'短评内容': '很有特色,只是装修味道还没散尽\n很有特色,只是装修味道还没散尽', '短评打分': 5}
{'短评内容': '环境温馨，交通便利。缺点：像迷宫似的，找到房间很不容易；现在早餐质量下降，单一，种类少；网速非常慢，不利于商务办公。', '短评打分': 5}
{'短评内容': '此酒店完全不应归在五星/豪华里。房间隔音差，窗外就是空调机组，难以忍受的压缩机轰鸣声。房间里的咖啡是没有伴侣的，洗澡是必须爬到浴缸里的，卷筒纸是难以够到的，早餐的咖啡是必须自己倒的，面包蛋糕是没有选择余地的，西瓜是带皮的，服务态度是三星或以下的。。。网上那些给好评的我只能认为之前一直是住招待所的', '短评打分': 1}
{'短评内容': '北京玛雅岛酒店，起码是我近几年入住里，风格最好的酒店了，给人耳目一新的感觉，就是入住去房间的路上，好像在走迷宫', '短评打分': 5}
{'短评内容': '酒店设施比较好，不过到房间要费点脑子，很容易走错，习惯就好了，值得推荐', '短评打分': 5}
{'短评内容': '不错，交通便利，环境优雅，就是房间不太好找，价格偏高。', '短评打分': 5}
{'短评内容': '酒店房间不错，早餐区有待优化，离市区较远，总体满意', '短评打分': 5}
{'短评内容': '很有特色  就是走廊像迷宫  房间略小了点  但还别致', '短评打分': 5}
{'短评内容': '很喜欢这家酒店的装修风格，玛雅文化无处不在。酒店的房间虽然小了一点，不过布置的很有文化底蕴。特别要提一下那个泰国餐厅，口味很好，菜品很精致，赞一个！！下次还会入住！', '短评打分': 5}
