{'descr': '0 / 500（评价多于10个字,有机会奖励京豆哦~', 'star': 5}
{'descr': '不错哦', 'star': 5}
{'descr': '很好 干净 安静', 'star': 5}
{'descr': '一般般吧，毕竟价格便宜', 'star': 3}
{'descr': '基本满意', 'star': 4}
{'descr': '性价比一般，房间有点小', 'star': 4}
{'descr': '还行，就是窗户等于没有', 'star': 4}
{'descr': '挺好的卫生', 'star': 5}
{'descr': '稍微有点不好，不过住着很舒适', 'star': 5}
{'descr': '不怎样的酒店，乱的很', 'star': 3}
{'descr': '还行，房间比较大', 'star': 5}
{'descr': '噪音很大一晚没睡好', 'star': 3}
{'descr': '交通便利，房间干净，还不错。', 'star': 4}
{'descr': '位置还不错，离会议地点较近', 'star': 5}
{'descr': '很干净，就是没有窗户，不过整体比较满意', 'star': 5}
{'descr': '酒店很不错！很不错！', 'star': 5}
{'descr': '位置很方便，下次还来', 'star': 4}
{'descr': '位置好，楼下有海底捞，很方便出行。就是离地铁稍远了一些，要走一站地。房间干净。但隔音不好，楼下一早什么声音都有', 'star': 5}
{'descr': '不错，都挺好的，比较靠谱……经常出差要用到', 'star': 5}
{'descr': '不错，都挺好的，比较靠谱……经常出差要用到', 'star': 5}
{'descr': '不错，就是不好预定，总是满房呀！', 'star': 5}
{'descr': '… 不', 'star': 5}
{'descr': '性价比很高 位置不错 帮朋友预定的 就是特价房供应的比较少 不太好定到 整体来说还是不错的 ！！！！', 'star': 5}
{'descr': '实话，没有首师大南门那家汉庭好，那家比较新，这家相对陈旧', 'star': 3}
{'descr': '比较干净，很方便，服务很好，以后会第一考虑入住贵酒店', 'star': 5}
{'descr': '衣架和床上都有头发，这个季节较冷，空调开启后有呛鼻味道，一晚上也不暖和。', 'star': 1}
{'descr': '位置确实还不错 走路到出差地址还不算远 主要是酒店还是一样的汉庭 不错 推荐', 'star': 5}
{'descr': '服务员都很热情，房间还比较干净，洗涮用品中小毛巾比较旧。早餐价格稍贵。\r\n综合性格比还行吧。', 'star': 3}
{'descr': '入住快捷  设施简陋但是够用   灯光较暗，人待着有点感到压抑', 'star': 5}
{'descr': '  挺好的，挺干净的', 'star': 3}
{'descr': '店的位置方便，总体还不错，比较干净，价位有点贵，房间有点小', 'star': 5}
{'descr': ' 挺好', 'star': 3}
{'descr': '订的是百元节日房，感觉很好，可是第二晚就恢复原价了，300多。。。\n希望汉庭经常做特价。。。\n推荐。。。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '离466医院蛮近的，房间干净，就是有点老了.门口就有海底捞、必胜客这些，吃饭比较方便。在紫竹桥旁边，交通方便。价格在这个地段也不贵，大厅还可以免费上网一个小时。', 'star': 5}
{'descr': '服务挺 不错的，就是早上的服务员有点不是很熟悉  有些事情做 的不是很好，总体感 沉还不错了，早饭也不错，呵可 办了张会员卡 以后就经常住了 希望超载越好，吧\n', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '不错，出行很方便，住宿条件也不错，值得推荐', 'star': 5}
{'descr': '不错，挺干净的，位置也不错，紧靠公交站，就是早餐品种有点少', 'star': 5}
{'descr': '服务不错，就是位置距离地铁稍远，其他还可以的', 'star': 5}
{'descr': '交通便利，但本次入住感觉枕套清洗不彻底，希望改进', 'star': 5}
{'descr': '服务卫生都很好，交通也很便利。出门就有好几站公车。\n        ', 'star': 5}
{'descr': '酒店位置很好，方便找，周边设施齐备，超市、快餐店都有。房间环境也不错。不过开放式的卫生间用不习惯。', 'star': 5}
{'descr': '还不错。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '舒适卫生 交通便利 周边餐饮银行也挺多，服务态度不错 值得推荐', 'star': 5}
{'descr': '床垫睡着不舒服，附近比较嘈杂，前台入住离店时有时比较慢。', 'star': 1}
{'descr': '地理位置不错，房间比较干净，附近吃饭很方便。', 'star': 5}
{'descr': '床的弹簧很硌人，该换了；房间还算干净，交通比较方便。', 'star': 1}
{'descr': '酒店地理位置很好，很干净！下次还会住在这里', 'star': 5}
{'descr': '位置可以，离办事地点近。就是前台有时候比较慢', 'star': 5}
{'descr': '还可以，离办事的地方很近。就是前台有时候效率不怎么高。', 'star': 5}
{'descr': '还可以，位置不错。离办事的地点近，步行即可。', 'star': 5}
{'descr': '酒店位置不错，服务也不错。就是电梯常在五楼不动了，要对电梯门动粗后又可再运行，通知大堂后，酒店人员似乎习惯了，一点也不紧张。建议好好检修一下。', 'star': 5}
{'descr': '地理位置不错,客人觉得住着挺方便的.下次有机会还会住这里', 'star': 5}
{'descr': '位置、房间、服务都不错。只是前台人手感觉不够，都要等挺长时间。', 'star': 5}
{'descr': ' 有无烟层 环境还不错 附近就餐坐车都挺方便', 'star': 3}
{'descr': '酒店交通方便比较舒适', 'star': 3}
{'descr': '比较干净，卫生间小，采光还可以吧。价位比较优惠，附件餐饮还可以。', 'star': 5}
{'descr': '酒店环境还不错。服务也很到位，就是预定时短信收到的详细地址和实际有些出入，请尽快更新吧。不然会有很多不认识路的人找不到！', 'star': 5}
{'descr': '不错，除了窗户边缘有点脏以外，其他都很好\n住宿条件很不错！', 'star': 5}
{'descr': '不错，交通也算方便，坐一站公交就到了首体，可以坐四号线，酒店门口就有吃饭的地', 'star': 5}
{'descr': '十分干净，也很便捷，还很实惠便宜。\n总体来说很好的噢~~', 'star': 5}
{'descr': '很满意很舒服，下次还会入住', 'star': 3}
{'descr': '酒店的服务很好，服务人员很有礼貌，交通便利，房间很整洁。', 'star': 5}
{'descr': '很好很卫生很便捷，而且服务很有效率。大床很大，呵呵，一直都选汉庭，说多少好话都见外了，因为真的好嘛。呵呵', 'star': 3}
{'descr': '酒店周围配套很完善，环境不错。住着感觉很舒服。', 'star': 5}
{'descr': '价格有点贵 房间在1楼 光线不大好 呵呵', 'star': 5}
{'descr': '屋里很不错。服务也不错。而且旁边挨着海底捞 还有必胜客 肯德基   交通什么的也很方便', 'star': 5}
{'descr': '地理位置比较方便，可是房间太小哦，还行吧', 'star': 5}
{'descr': '酒店地点不太好找，打电话询问，服务员回答的也不太清楚。卫生间没有门，很不方便。', 'star': 3}
{'descr': '服务态度不错，条件还可以，在这个区域的酒店中，值得推荐', 'star': 5}
{'descr': '汉庭快捷酒店（北京紫竹桥店）现在成了我出差北京的常住酒店', 'star': 5}
{'descr': '价格贵', 'star': 3}
{'descr': '交通便利，房间干净，很满意。', 'star': 3}
{'descr': '机场大巴可以到旁边的香格里拉酒店，半夜到很方便\n', 'star': 5}
{'descr': '出差需要住在这个位置，机场大巴交通很方便', 'star': 5}
{'descr': '机场大巴可以到旁边的香格里拉酒店，半夜到很方便', 'star': 5}
