{'descr': '很好，不错', 'star': 5}
{'descr': '挺便宜的', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '很好，常来', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '干净卫生，设施齐全～必须好评！', 'star': 5}
{'descr': '房间有点小，卫生间太小', 'star': 5}
{'descr': '方便，干净，服务也挺好。', 'star': 5}
{'descr': '一进去房屋有些味道，卫生间也不是很干净，酒店没有电梯，不方便，前台服务还好，由于保定东广场没开，得绕很远', 'star': 4}
{'descr': '还可以吧，存包的时候，刚开始不让存，态度冷淡，白天的服务挺好', 'star': 3}
{'descr': '服务很好，性价比高', 'star': 4}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '不错，下次还会入住。地理位置好，还有停车场', 'star': 5}
{'descr': '便宜就是最大的优点。', 'star': 4}
{'descr': '酒店一般，但确实便宜', 'star': 3}
{'descr': '性价比高，周围环境一般，房间不错，还会再来的', 'star': 4}
{'descr': '不错，下次去保定还继续住这里，', 'star': 5}
{'descr': '差', 'star': 3}
{'descr': '楼层高，空间大，70年代老楼改建。隶属铁路局三产。服务态度好。由于火车站附近竞争压力大，该酒店装潢比较新。床上用品比较好。早餐不够丰富，没有鸡蛋只有蔬菜', 'star': 5}
{'descr': '凑活吧，卫生间小，整体来说没办法和格林豪泰比，一分钱一分货。价格便宜被，有简单早餐', 'star': 5}
{'descr': '您不来住这酒店那就是亏大了，地板和家具颜色偏暗，可是楼层挑高3.8米。5层没电梯。床上用品120支。我是酒店出身。我懂内行。物超所值，借伞不用押金。下次还来。只要保定需要我。大家来感受一下吧。老板该请我免费住一晚。我是免费吆喝', 'star': 5}
{'descr': '酒店临近火车站，交通比较方便。早餐免费，服务态度也挺好。性价比还算可以的。', 'star': 5}
{'descr': '挺好的 里面蛮大 卫生也很好   靠金鹰  下次还会住', 'star': 5}
{'descr': '挺好的 里面蛮大 卫生也很好   靠金鹰  下次还会住', 'star': 5}
{'descr': '房间蛮宽敞的，就是隔音不好，整体一般。', 'star': 3}
{'descr': '房间蛮宽敞的，就是隔音不好，整体一般。', 'star': 3}
{'descr': '酒店位置不错，位于火车站附近，周边吃饭的地点也很多，干净、卫生，值得推荐！', 'star': 5}
{'descr': ' 房间很大。', 'star': 3}
{'descr': ' 房间很大。', 'star': 3}
{'descr': '靠着市中心，出行方便，房间干净，各方面都不错！', 'star': 5}
{'descr': '靠着市中心，出行方便，房间干净，各方面都不错！', 'star': 5}
{'descr': '不错哦，还是一样的干净，以后还会来住的！！！', 'star': 5}
{'descr': '不错哦，还是一样的干净，以后还会来住的！！！', 'star': 5}
{'descr': '温馨  舒适  像家一样让人心安\n交通也很方便\n', 'star': 5}
{'descr': '温馨  舒适  像家一样让人心安\n交通也很方便\n', 'star': 5}
{'descr': 'servcie is fine.\n\nin my first time lodging, found some odor in bathroom, because no window is design inside bathrrom. talk it to lobby.\n\nwhen I visit in second time, found less odor, because waiter ke', 'star': 5}
{'descr': '  \n1. fashion, especially in lobby, bathroom, and sitting room.\n2. nearby by Baoding railway station\n3. nearby restaurant\n4. easy to catch Taxi\n5. free breakfast\n6. good in seal of window against mosq', 'star': 5}
{'descr': '连续几次住如家了，环境优雅舒适，很给力，很如家。', 'star': 5}
{'descr': '连续几次住如家了，环境优雅舒适，很给力，很如家。', 'star': 5}
{'descr': '空间很大，价格很实惠，如家就是像家一样温馨，网络也不错', 'star': 5}
{'descr': '空间很大，价格很实惠，如家就是像家一样温馨，网络也不错', 'star': 5}
{'descr': '服务周到！环境不错！值！', 'star': 3}
{'descr': '服务周到！环境不错！值！', 'star': 3}
{'descr': '交通方便，服务热情，环境也还好，下次来还会入住', 'star': 5}
{'descr': ' 环境还不错 只是洗手池水好小 总体不错', 'star': 3}
{'descr': ' 环境还不错 只是洗手池水好小 总体不错', 'star': 3}
{'descr': '出差住的，还不错；我去的时候好像刚开业；环境什么的还开业。', 'star': 5}
{'descr': '出差住的，还不错；我去的时候好像刚开业；环境什么的还开业。', 'star': 5}
{'descr': '交通便利 安静卫生', 'star': 5}
{'descr': '总体还不错啦，交通方便，也挺干净的，推荐', 'star': 5}
{'descr': '总体还不错啦，交通方便，也挺干净的，推荐', 'star': 5}
{'descr': '位置很好！使用Elong订比金卡还要优惠。', 'star': 5}
{'descr': '位置很好！使用Elong订比金卡还要优惠。', 'star': 5}
{'descr': '蛮好，靠市中心，周围吃的东西蛮多，房间也大', 'star': 5}
{'descr': '蛮好，靠市中心，周围吃的东西蛮多，房间也大', 'star': 5}
{'descr': '打扫房间的速度很不给力，房间开好后竟然让我在门口等了半天，是没有房间吗？还没打扫完的房间竟然也开给我，还有就是边上还在施工！！！！', 'star': 1}
{'descr': '打扫房间的速度很不给力，房间开好后竟然让我在门口等了半天，是没有房间吗？还没打扫完的房间竟然也开给我，还有就是边上还在施工！！！！', 'star': 1}
{'descr': ' 环境还可以。', 'star': 3}
{'descr': ' 环境还可以。', 'star': 3}
{'descr': '整体都不错，附近吃的也不少。逛几步就是一个大超市，很方便！', 'star': 5}
{'descr': '整体都不错，附近吃的也不少。逛几步就是一个大超市，很方便！', 'star': 5}
{'descr': '住过好几次了，总体不错，要不然也不会常来，价格合理，也比较干净，就是这次住的房间电吹风是坏的，希望店家注意一点以后，其他都挺好的，给好评', 'star': 5}
{'descr': '住过好几次了，总体不错，要不然也不会常来，价格合理，也比较干净，就是这次住的房间电吹风是坏的，希望店家注意一点以后，其他都挺好的，给好评', 'star': 5}
{'descr': '新开的，硬件设施还有待遇提高，比如门店大厅比较混乱，而且房间里面的水龙头也有问题，凉水水龙头不管用，洗澡是只有热水，像蒸桑拿。', 'star': 5}
{'descr': '新开的，硬件设施还有待遇提高，比如门店大厅比较混乱，而且房间里面的水龙头也有问题，凉水水龙头不管用，洗澡是只有热水，像蒸桑拿。', 'star': 5}
{'descr': '环境很好，卫生很干净，就是洗手间地方有点小。', 'star': 5}
{'descr': '环境不错，服务真的没得说！！！！！！！！！！！！！！', 'star': 5}
{'descr': '环境不错，服务真的没得说！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很舒适  每次外出必住 如家\n喜欢房间的色调   ', 'star': 5}
{'descr': '很舒适  每次外出必住 如家\n喜欢房间的色调   ', 'star': 5}
{'descr': '还好。卫生间每次都 有黑色的飞的虫子。被子还蛮干净的', 'star': 5}
{'descr': '还好。卫生间每次都 有黑色的飞的虫子。被子还蛮干净的', 'star': 5}
{'descr': '干净！床也很大，服务也不错，有电吹风提供，推荐！', 'star': 5}
{'descr': '干净！床也很大，服务也不错，有电吹风提供，推荐！', 'star': 5}
{'descr': '非常好！房间、卫生都很好，热水热得很快。最近边上装修，有噪音，但晚上很安静。下次还会住。', 'star': 3}
{'descr': '非常好！房间、卫生都很好，热水热得很快。最近边上装修，有噪音，但晚上很安静。下次还会住。', 'star': 3}
{'descr': '价格挺便宜的，而且挺干净的，房间还好，惟一不足就是卫生间太小了，两人个就转不开身。早餐吧，是很居家的那种，前台服务还好，只是希望酒店再能有一个微波炉，为客人热东西，就更好了，总体还不错', 'star': 5}
{'descr': '房间比较大，灯蛮多的，也蛮温馨的，不错。就是卫生间稍微有点小了', 'star': 5}
{'descr': '房间比较大，灯蛮多的，也蛮温馨的，不错。就是卫生间稍微有点小了', 'star': 5}
{'descr': '酒店附近吃的很多呢，房间很干净，就是停车位少了点，有网线，房间里灯很多哦', 'star': 5}
{'descr': '酒店附近吃的很多呢，房间很干净，就是停车位少了点，有网线，房间里灯很多哦', 'star': 5}
{'descr': '非常干净，下次还来', 'star': 3}
{'descr': '环境不错，离大润发很近，去逛市中心也很方便', 'star': 5}
{'descr': '环境不错，离大润发很近，去逛市中心也很方便', 'star': 5}
{'descr': '还不错，服务挺好的很喜欢，下次还住这里，房间不隔音', 'star': 5}
{'descr': '还不错，服务挺好的很喜欢，下次还住这里，房间不隔音', 'star': 5}
{'descr': '房间宽敞，床也很大，我们和6岁儿子一点都不挤。就是车只能停在门前，幸好还有地方。', 'star': 5}
{'descr': '房间宽敞，床也很大，我们和6岁儿子一点都不挤。就是车只能停在门前，幸好还有地方。', 'star': 5}
{'descr': '一如既往的温馨舒适。早餐很丰富，周边大小餐馆太多了，环境都不错，购物也非常方便。', 'star': 5}
{'descr': '一如既往的温馨舒适。早餐很丰富，周边大小餐馆太多了，环境都不错，购物也非常方便。', 'star': 5}
{'descr': '酒店的房间很大,就是隔音效果太差了.店员的服务还可以,下次会推荐朋友来住', 'star': 5}
{'descr': '酒店的房间很大,就是隔音效果太差了.店员的服务还可以,下次会推荐朋友来住', 'star': 5}
{'descr': '地理位置尚可，服务尚可。唯一小遗憾：免费停车场无人员管理及引导，希改进！', 'star': 5}
{'descr': '地理位置尚可，服务尚可。唯一小遗憾：免费停车场无人员管理及引导，希改进！', 'star': 5}
{'descr': '方便，地理位置好，环境优雅，价格比同等条件的酒店便宜。', 'star': 5}
{'descr': '很温馨，一直都喜欢', 'star': 3}
{'descr': '很温馨，一直都喜欢', 'star': 3}
{'descr': '一如既往的好，祝生意兴隆~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~·', 'star': 5}
{'descr': '一如既往的好，祝生意兴隆~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~·', 'star': 5}
{'descr': '这是最后一次来盐城了，不知道以后有没有机会遇到这么高性价比的如家，每次过来都住得很愉快，相比其他我住过的如家，这家是最宽敞的了，卫生等各方面都不错，离大润发和金鹰都很近，推荐大家入住', 'star': 5}
{'descr': '这是最后一次来盐城了，不知道以后有没有机会遇到这么高性价比的如家，每次过来都住得很愉快，相比其他我住过的如家，这家是最宽敞的了，卫生等各方面都不错，离大润发和金鹰都很近，推荐大家入住', 'star': 5}
{'descr': '干净整洁还不错,价格适中，周围购物方面快捷', 'star': 5}
{'descr': '干净整洁还不错,价格适中，周围购物方面快捷', 'star': 5}
{'descr': '\u3000空间好大啊', 'star': 3}
{'descr': '\u3000空间好大啊', 'star': 3}
{'descr': '还不错，挺干净。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还不错，挺干净。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '住这边的次数很多很多了。但有时会遇到厕所脏的情况。极少数吧。总体来说在盐城很好的。 交通好 服务好 ', 'star': 5}
{'descr': '住这边的次数很多很多了。但有时会遇到厕所脏的情况。极少数吧。总体来说在盐城很好的。 交通好 服务好 ', 'star': 5}
{'descr': '地段不错，周边肯德基，世纪联华均在四五百米范围内，酒店南面六七十米还有一个包旺锅贴，营业到晚上一点，对于我晚上十点才入住的客人可真是福音啊，总体来说吃饭娱乐比起汉庭博物馆店要便利得多。', 'star': 5}
{'descr': '地段不错，周边肯德基，世纪联华均在四五百米范围内，酒店南面六七十米还有一个包旺锅贴，营业到晚上一点，对于我晚上十点才入住的客人可真是福音啊，总体来说吃饭娱乐比起汉庭博物馆店要便利得多。', 'star': 5}
{'descr': '保定锦缘酒店还不错，出火车站往北走200m即可，方便', 'star': 3}
{'descr': '干净，，，便宜，，，，交通方便，，，，服务态度较好！！！！！！', 'star': 5}
{'descr': '房间太小，特别是卫生间，一个人转身都费劲。价位还不低，朋友说这价位在保定有比锦缘好的多的酒店。', 'star': 1}
{'descr': '还不错，挺干净.。离火车站挺近，出门很方便。', 'star': 5}
{'descr': '1、酒店没有电梯，让携带较多或较重行李的客人上下楼梯，很不方便。  2、房间的电开水壶里的水垢很厚，也很难清洗干净，不敢烧水喝；而服务员认为水垢是很正常的现象，表示即使换一个，也会是这样。酒店没有把这个卫生问题把好关，让客人感觉不卫生。   3、卫生间的空间太小，完全连淋雨的空间都没有，太不方便了。\n但总体的服务态度还是好的。', 'star': 1}
{'descr': '环境整洁，服务态度也很好。很满意！', 'star': 3}
{'descr': ' 环境卫生还不错，距火车站很近，服务一般，房间略有点异味，快捷酒店连个万能充都没有，想多开票的朋友要考虑下', 'star': 3}
{'descr': '花洒非常不好用 早餐极其垃圾 隔音效果极差 蚊香片不管用 总之我一夜几乎没合眼 以后不会再来了', 'star': 3}
{'descr': '不错，挺干净的', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '不错，很好', 'star': 3}
{'descr': '不错，很好', 'star': 3}
