{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间住的很安心，前台服务也很好，下次会再来', '短评打分': 5}
{'短评内容': '房间很大，很舒适，主要是前台服务很贴心。给大家推荐一下这家店', '短评打分': 5}
{'短评内容': '早餐好吃，服务好，卫生干净。', '短评打分': 5}
{'短评内容': '干净 整洁', '短评打分': 5}
{'短评内容': '非常好，很棒，', '短评打分': 5}
{'短评内容': '住这里的原因就是方便 在榆林市城里面 外面不管是 在吃喝玩上都挺可以的 卫生也挺好 ', '短评打分': 5}
{'短评内容': '特别棒，服务态度也特别好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '出行方便   卫生干净    服务太度端正    WiFi速度快    总体上说优点大于缺点', '短评打分': 5}
{'短评内容': '不错，经常住汉庭的！也干净！', '短评打分': 5}
{'短评内容': '0.0.0.0.0.0.0.0.0', '短评打分': 5}
{'短评内容': '常常住汉庭，挺好的，舒适，', '短评打分': 5}
{'短评内容': '不错，下次继续住这个酒店', '短评打分': 5}
{'短评内容': '出行方便，门口对面就是车站。房间卫生也干净，前台美女服务很好，还给提供外卖电话，房见WIFI网速也给力。5分好评', '短评打分': 5}
{'短评内容': '差评，价格贵', '短评打分': 2}
{'短评内容': '紧邻汽车南站，挺安静，周边环境也不错，吃饭的地方也不少。', '短评打分': 4}
{'短评内容': '还可以，就住了一晚，起早走了，没太留意。', '短评打分': 4}
{'短评内容': '环境很好，服务不错，很好。。。。', '短评打分': 5}
{'短评内容': '酒店设施不错，房间空间也大。周围吃小吃的很方便，前台服务好。', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生干净，价格合理，服务态度好。', '短评打分': 4}
{'短评内容': '环境可以，服务好，房间干净卫生', '短评打分': 4}
{'短评内容': '酒店的位置不错，房间挺大，也挺干净的。', '短评打分': 4}
{'短评内容': '服务很好，出行很方便，处在闹市区，稍微有点吵。总体不错哦。', '短评打分': 5}
{'短评内容': '服务态度还不错，出行方便，有时堵车，外边就是很繁华的大街。吃饭旁边就有美食城和一些小饭馆，但是请客不合适。我住的房间底下就是KTV和街道，总有很烦的超重低音音乐声。卫生间防滑垫有股发霉的味道，不关上卫生间门满屋子都能闻到。房间的椅子上有很大一块污渍，也没及时清理。', '短评打分': 1}
{'短评内容': '地理位置非常好，就在南大街和商业街之间，对面就是长途客车站，到哪里都很方便。酒店服务态度非常好。', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 3}
{'短评内容': '环境不错，服务也很好。硬件设施也比较好。我很满意。', '短评打分': 5}
{'短评内容': '房间不错，够大，床也够大，团购一百挺划算，第二天就是189了', '短评打分': 5}
{'短评内容': '.接待热情，干净卫生', '短评打分': 3}
{'短评内容': '这是我第二次住汉庭，也是我住的最大的一间汉庭，非常好。', '短评打分': 5}
{'短评内容': '服务很好，卫生干净，离汽车南站咫尺之遥，交通便利，总体感觉还不错。', '短评打分': 5}
{'短评内容': '#酒店不错，房间大,服务很好,卫生干净。', '短评打分': 3}
{'短评内容': '房间还不错    干净\n就是有点小\n如果服务人员的态度在热情点就很好了', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '服务很好，打算在这一直住一周，屋子很宽敞，总感觉房子里其他配套设施少了点', '短评打分': 5}
{'短评内容': '前几日刚去的 ，住的特大床房，就是房间有点冷，不过服务人员态度还是挺好的……呵呵', '短评打分': 5}
{'短评内容': '酒店整体不错，就是现在大厅电梯维修，出行的走物业电梯比较麻烦。', '短评打分': 5}
