{'短评内容': '不错，值得入住', '短评打分': 5}
{'短评内容': '房间离厨房排烟管近，非常吵。性价比很一般的酒店', '短评打分': 4}
{'短评内容': '酒店里提供的早餐非常好，我們一家三口订商务单间一张1.8米的床就夠了，酒店位置也方便，酒店有停車位', '短评打分': 5}
{'短评内容': '无停车场，位置不错', '短评打分': 4}
{'短评内容': '设施陈旧，在这样的小城市，这个价格的酒店性价比很一般，新品种的矿泉水价目表不提供，随便收费', '短评打分': 3}
{'短评内容': '比较满意的酒店，房间空间大。', '短评打分': 5}
{'短评内容': '这个可以的！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错，感觉还是可以！Good', '短评打分': 5}
{'短评内容': '以前住过，将就吧，出差的话可以考虑，自由行的话不推荐～', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '实际就是商务酒店，但是酒店门口上贴的四颗星。', '短评打分': 3}
{'短评内容': '还不错，感觉很好，已经是二次住', '短评打分': 5}
{'短评内容': '挺好的  服务为什都还可以', '短评打分': 3}
{'短评内容': '腿房既然用了20几分钟', '短评打分': 3}
{'短评内容': '一般般，房间太小', '短评打分': 4}
{'短评内容': '空调不是很热，而且浴室 不是很好，其他的就马马虎虎了！', '短评打分': 5}
{'短评内容': '其实以前住过一次感觉很不错，房间也很大，但这次住的房间让我挺失望的，房间太小而且墙纸都脱落了，蚊子太多了，希望下次过去还可以像第一次入住时一样', '短评打分': 5}
{'短评内容': '还不错！大堂漂亮，房间不大，可能因为忽然降温，浴室热水有点凉，其他的还行', '短评打分': 5}
{'短评内容': '大堂装修的挺好，服务上挺周到，设施还算齐全，总体感觉挺舒适。', '短评打分': 5}
{'短评内容': '我觉得在这个县城里算是不错的酒店了，还是值得推荐的。', '短评打分': 5}
{'短评内容': '周边交通购物吃饭都很方便，内部环境干净舒适，服务也挺周到，值得推荐。', '短评打分': 5}
{'短评内容': '房间宽敞干净，有的房间还带阳台，可以看看风景，网速相当不错，使用很方便。', '短评打分': 3}
{'短评内容': '服务挺好，房间挺大挺舒适，早餐很丰盛，口味也不错。', '短评打分': 3}
{'短评内容': '房间宽敞舒适，晚上也不是很吵，睡着挺踏实，设施基本齐全，总体感觉很不错。', '短评打分': 3}
{'短评内容': '服务上挺好，有求必应，态度也挺好的，这的隔音效果挺好，晚上休息的很好。', '短评打分': 5}
{'短评内容': '酒店看着还比较新，服务挺周到的，有的房间还配备电脑，网速也不慢，使用挺方便。', '短评打分': 5}
{'短评内容': '位置不错，周边交通购物挺方便，酒店也有专门的停车场，停车也挺方便的。', '短评打分': 3}
{'短评内容': '服务卫生很好，出行交通很便利，就是价格稍微贵点。', '短评打分': 3}
