{'短评内容': '挺干净的，很好！', '短评打分': 5}
{'短评内容': '一直住的酒店，离家近方便', '短评打分': 5}
{'短评内容': '位置好找，停车方便，就是酒店空调主机没开，有点冷', '短评打分': 4}
{'短评内容': '不错环境', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '卫生很好，关键可以', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '就是早餐的菜市太少了', '短评打分': 5}
{'短评内容': '还行，马马虎虎', '短评打分': 3}
{'短评内容': '总体不错，不过无线网络一般', '短评打分': 5}
{'短评内容': '为什么携程给的返现还没有到账？', '短评打分': 5}
{'短评内容': '酒店环境设施都不错，而且价格便宜。适合旅游和普通商务出行', '短评打分': 4}
{'短评内容': '不错，住的挺舒服，去过好多次，很好，就是早餐需改进，每次去就是几个烂馍，鸡蛋，白菜叶，以及万年不变的豆浆和白粥。早餐需改进。', '短评打分': 3}
{'短评内容': '环境可以。房间装修也可以。地理位置理想。狠安静。', '短评打分': 5}
{'短评内容': '服务不错，设施中规中矩，为什么被套上有鞋映？？？？？', '短评打分': 4}
{'短评内容': '挺干净，服务也不错，离火车站近，就是周边吃的东西不多', '短评打分': 3}
{'短评内容': '酒店很干净，装饰挺现代，推荐入住', '短评打分': 3}
