{'descr': '好好好好好好好好好好好', 'star': 5}
{'descr': '很刚哈更很刚哈更很刚哈更很刚哈更', 'star': 5}
{'descr': '在！在这里我就知道是我自己', 'star': 5}
{'descr': '会哈更会哈更好会哈更11hi', 'star': 5}
{'descr': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', 'star': 5}
{'descr': '还不错444', 'star': 5}
{'descr': '还好，，，，，，，，，，，，，，', 'star': 5}
{'descr': '还可以，设施好', 'star': 5}
{'descr': '还不错，房间装修特别好，干净卫生，价格便宜，周边吃饭特别便宜，满分(⊙o⊙)哦', 'star': 5}
{'descr': '还可以，，，，，', 'star': 5}
{'descr': '房间挺好。设施齐全，下次还来', 'star': 5}
{'descr': '条件还可以，相对来讲！', 'star': 3}
{'descr': '方便', 'star': 5}
{'descr': '不错，住过几次，感觉很好', 'star': 3}
{'descr': '第八次从电脑都从份呢哦', 'star': 3}
{'descr': '地理位置不错，出入方便，性价比很高，工薪阶层首选', 'star': 5}
{'descr': '客房面积不大，但挺干净的。洗刷的玻璃杯没有消毒，但在北京这个价格值了。', 'star': 5}
{'descr': '脏。。。。。。。。。。。。。床不舒服。。。。。。。。。。', 'star': 1}
{'descr': '条件不是很好，比较传统的门锁，总感觉不是很有安全感。', 'star': 1}
{'descr': '不得不说，这个酒店令我很失望。前台人员爱理不理人的态度当时就让我想不住就走，但是，我忍了。开了房间之后，房间里的怪味让人难受；洗澡时，下水道下水速度远远不及水龙头的出水速度。要说这个宾馆有什么好的话，应该就是水温还算稳定。接下来，以为就这样了，这样也还是可以忍受的，但是，当我掀开被子时，被子居然还是脏的，我当时就一阵恶心，幸好我是一个人住，当时还有一张床，另一个被子幸好是比较干净的。换了一下，心情', 'star': 1}
{'descr': '酒店附近公交还行但是酒店的卫生差点', 'star': 3}
{'descr': '还不错,卫生再好点就更不错了', 'star': 3}
{'descr': '宾馆还可以，周围买东西挺方便的，老板服务态度好', 'star': 5}
