{'短评内容': '环境差，也不值得一去，地方比较偏，不推荐', '短评打分': 1}
{'短评内容': '房间的味道很重，很潮湿，墙壁都在掉，毛巾味道也很重', '短评打分': 1}
{'短评内容': '整体不错的，房间稍微有点旧，上网速度很快，空调制冷到位。距离火车站打车16元。', '短评打分': 5}
{'短评内容': '还行，就这价位！位置有点偏。。。服务态度有待改进哦', '短评打分': 1}
{'短评内容': '同价钱，     已是很好的，   环境卫生都还很好。', '短评打分': 5}
{'短评内容': '环境不错，距离公园很近，没事可以溜溜公园，有超市。', '短评打分': 5}
{'短评内容': '若房间墙壁能再粉刷一下就好了，还有房门有点松动\n', '短评打分': 5}
{'短评内容': '治安不好，三更半夜有人敲门，叫一下那流氓就用力踢门，有种破门而入的感觉，还好门算坚固，吓得一夜没睡好。', '短评打分': 1}
{'短评内容': '有怪味道，卫生很糟糕，整个环境和照片比起来差太多，不过便宜啦', '短评打分': 1}
{'短评内容': '价钱实惠，地方大，很贴心有取电卡，声音吵了点，去火车南北站都有车，就在门口临街的地方，旁边有个火车售票处，地方稍微偏了点', '短评打分': 5}
{'短评内容': '设施太简陋，不过这个价格也就这样了，卫生方面还是需要改进的。', '短评打分': 1}
{'短评内容': '一般，就这价格了。下面好像有个幼儿园，有时候比较吵', '短评打分': 5}
{'短评内容': '酒店一般啦！就是吵了点，这个价钱也算是这样了。', '短评打分': 5}
{'短评内容': '床大，舒服！卫生间也大，用的是我很习惯的蹲厕（我是乡下人，乡下人喜欢蹲坑），不是马桶，洗澡的时候要注意脚下，不要走来走去，不小心踩坑里去。。。总的来说还算干净！电话机是个摆设，不能打外线，只能拨总台，开空调要额外算钱，自己带电脑上网网线要去总台拿，网速在4MB-3MB以内。按价位来说，自我感觉90元每晚应该够了。', '短评打分': 5}
{'短评内容': '还可以，总体还可以，干净程度算过得去。。空间大。。虽然有边角方面不够干净，被单方面不是特别干净，但总体还算过的去吧。。', '短评打分': 5}
{'短评内容': '我们是艺考生，大老远的从别地来这，网上预定的时候说离学校近说的很好，结果来这里离学校特别远，房间潮湿阴暗，厕所门是坏的，交通很不方便，最后我们要退房的时候他还不肯，', '短评打分': 1}
{'短评内容': '价格便宜，还不错啊，。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很老旧的，没有空调不能制暧。还要怕爬六楼，没电梯。子房间杯子有污，根本不敢用', '短评打分': 1}
{'短评内容': '环境一般,没电梯,真受不了', '短评打分': 3}
{'短评内容': '空间还可以，就是墙面和网速差强人意，11月底还有蚊子，也就这个价格了', '短评打分': 5}
{'短评内容': '酒店很小，服务台在3楼，房间在6楼，无电梯。似乎是居民楼改建。床上用品感觉还好。位置尚可。\n', '短评打分': 1}
{'短评内容': '虽然很便宜，但是我绝对我不会住第二次，单说旅馆还可以，但是周边环境太差！！！', '短评打分': 1}
{'短评内容': '房子空间很大，服务态度较好；交通方便，周边饮食购物具可实现！', '短评打分': 5}
{'短评内容': '就是那种住了一次之后 不会再想住第二次的旅馆', '短评打分': 1}
{'短评内容': '旅馆位置不错，交通方便，前台在三楼，房间在五楼，也是比较有特色的，房间不错，只是五楼是公共的洗手间，晚上房间比较安静，人员服务态度也很好……………………………………', '短评打分': 5}
{'短评内容': '酒店不太好找，一看外观会以为不太好。但是内置不错。尤其是床上用品，很干净。很合适休息。', '短评打分': 3}
{'短评内容': '酒店很干净，房间也很大。很舒服。晚上也很安静。\n就是地方有点偏僻，第一次去不好找。\n如果下次去还会去那里住。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '                                                                                                                                  在王庄附近，离市区远了一些，但内部环境还行吧。', '短评打分': 5}
{'短评内容': '环境好房间好价价格优惠值得入住', '短评打分': 3}
{'短评内容': '不错。。。。。。。222222222222222222222222222222', '短评打分': 5}
{'短评内容': '这家分店 除了没有电梯 爬楼以外其他的都很舒服 房间很大 床也非常大 床很舒服 房间也很干净 刚看到外观可能觉得一般 但房间内部还是不错的 总体来说很满意', '短评打分': 5}
