{'短评内容': '挺好的，每次去唐山都住在那里', '短评打分': 5}
{'短评内容': '就是没有窗户，别的都挺好的', '短评打分': 4}
{'短评内容': '就是程序麻烦，其他还好', '短评打分': 4}
{'短评内容': '早餐15元一位，自助餐', '短评打分': 4}
{'短评内容': '位置临近车站', '短评打分': 5}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品', '短评打分': 5}
{'短评内容': '房间环境好，干净卫生整洁，性价比高，地点位置优越。距离商圈较近。', '短评打分': 5}
{'短评内容': '干净，交通方便', '短评打分': 5}
{'短评内容': '干净，交通方便', '短评打分': 5}
{'短评内容': '不错，很如家', '短评打分': 5}
{'短评内容': '感觉一般', '短评打分': 4}
{'短评内容': '交通便利，房间整洁!', '短评打分': 5}
{'短评内容': '没有电梯，房间小，淋雨不行，wifi信号好差', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '隔音太差，房间太小，灯光暗，服务态度可以', '短评打分': 4}
{'短评内容': '离万达广场比较近，出门打车起步价就能到。', '短评打分': 4}
{'短评内容': '临街的房间窗户隔音不好，马路晚上太吵', '短评打分': 4}
{'短评内容': '酒店环境很好，卫生也很干净，地理位置很好，距离政府、百货大楼和万达广场很近，一楼的餐厅菜做得也很好。就是房间的价格比其他城市的要贵，早餐15元一位也比较贵。', '短评打分': 5}
{'短评内容': '位置很好，环境很好，三楼会热', '短评打分': 3}
