{'descr': '很好。', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '还好吧，家里离得近，每次来人都住这里。', 'star': 5}
{'descr': '环境可以，房间暖气不行，有点冷。', 'star': 4}
{'descr': '周边没有其它酒店，条件还是可以的，不知道大家是什么标准来评判的，预订房间的时候写免费瓶装水，而且水瓶上也没有标价格，然后离店时被告知是收费的，不是钱多少的事', 'star': 5}
{'descr': '不错，环境很好，下次还要来。。。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '前台的态度，简直了', 'star': 3}
{'descr': '早餐自助每位10元，味道可口，家常的味道。标间不能加床，床挺宽，带小点的孩子没问题，交通方便，有停车场', 'star': 5}
{'descr': '&hellip;     &hellip;     &hellip;', 'star': 5}
{'descr': '以前的格林豪泰，后面不合作了。房间大，因为带着孩子，所以想住大点，才选了这个宾馆。有停车位，但不多。不是节假日去的，如果是节假日去，停车位得更紧张。房间服务很好，每天房间里被孩子折腾的很乱，第二天中午回来，保证收拾的整整洁洁的。早餐10块，还可以，免去去外面找地方吃饭的烦恼了。 门前的路往东走一个路口就到了单行道了，我去的时候没看到有明显的标志，600米的路程闯了2个单行道。石家庄限号太狠了，好在', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '没想到这么好，酒店是格林豪泰，卫生好，主要是安静，没什么噪音，设施齐全(⊙o⊙，值得一住，，赞赞赞，，，，，，下次有空在住', 'star': 5}
{'descr': '条件还凑合吧！', 'star': 5}
{'descr': '嗯嗯', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '好好很好很好很好会', 'star': 5}
{'descr': '算是北方很一般的商务连锁酒店——感觉南方的连锁酒店整体质量好于北方。原属格林豪泰现在已经不加盟了，但是毛巾杯子等还是格林豪泰的标志。早餐非常一般，只能算将就填饱肚子了。', 'star': 4}
{'descr': '还不错，离家近', 'star': 4}
{'descr': '很不错的选择，加油', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还不错,下次还去', 'star': 5}
{'descr': '凑合', 'star': 3}
{'descr': '该酒店卫生服务较好。但经你公司安排价格与到酒店价格有差别，直到酒店价格低约每间16元左右，望今后能提供优惠的酒店。', 'star': 3}
{'descr': '总体不错 属于性价比比较高的酒店 房间里的配置比附近的宜家365要好很多 ', 'star': 5}
{'descr': '总体不错 属于性价比比较高的酒店 房间里的配置比附近的宜家365要好很多 ', 'star': 5}
{'descr': '总体不错 属于性价比比较高的酒店 房间里的配置比附近的宜家365要好很多', 'star': 5}
