{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '服务质量好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '舒适，服务周到', '短评打分': 5}
{'短评内容': '非常不错，挺好的', '短评打分': 5}
{'短评内容': '京东预订，很方便，当天早上订的房，中午去，酒店环境好，近地铁，去五一广场才三个站', '短评打分': 5}
{'短评内容': '11111111111', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '设施环境比高原红好多了 新多了 特别是洗手间 干净多了 早餐也比高原红好 ', '短评打分': 5}
{'短评内容': '酒店地理位置一般吧，去哪都要打车。周边没啥景观，但是落地窗不错。房间够大，床够大，洗手间够大，但是隔音不好', '短评打分': 4}
{'短评内容': '酒店地理位置一般吧，去哪都要打车。周边没啥景观，但是落地窗不错。房间够大，床够大，洗手间够大，但是隔音不好', '短评打分': 4}
{'短评内容': '酒店位置不错，出行也比较方便。环境和服务都满意，价格还算合理，有早餐方便。已多次入住，以后还会继续。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置不错，内部环境很好', '短评打分': 5}
{'短评内容': '还不错…', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好?', '短评打分': 4}
{'短评内容': '酒店房间很大，设施较新，交通很方便。', '短评打分': 5}
{'短评内容': '干净舒适，购物也很方便，袁家岭地铁站就在附近。', '短评打分': 4}
{'短评内容': '是长沙最名不符实的酒店！充其量就是三星级水平，软件硬件都不行。在长沙这种酒店多得很而价钱却只有潇湘一号的一半，甚至不到。本人被忽悠而做了一次冤大头！', '短评打分': 1}
{'短评内容': '很好的酒店.........................', '短评打分': 5}
{'短评内容': '很好的酒店.....................', '短评打分': 5}
{'短评内容': '很好的酒店...............', '短评打分': 5}
{'短评内容': '酒店环境不错，房间很大，很干净，交通也很便利，可能是新建的原因，很司机都不知道', '短评打分': 5}
{'短评内容': '位置很好，服务态度很好', '短评打分': 3}
{'短评内容': 'bucuo xingjiabi hengao jiaotongyehenbianli ', '短评打分': 5}
{'短评内容': '还行，房间象5星，房间以外的配套象4星，如果只为了睡个觉可以来这里', '短评打分': 5}
{'短评内容': 'Clean room and good breakfast. But not many people know it as it is quite new.', '短评打分': 5}
{'短评内容': '酒店设施不错,新开的,还在试营业,房间很大,很干净,床铺也很舒适,早餐很好.美中不足的是,千万别让酒店帮你找车去机场,打车只要80元,他们却要200元,简直是宰人.尤其不能包他们的车去周边玩,包车费用比外面高很多,还说司机当导游,结果司机是文盲,一问三不知,连本地的情况和周边景点的情况都不知道,一点基本常识和历史知识都没有,大概小学都没毕业.酒店给顾客提供这样的高额服务,简直不负责任,让顾客花高额', '短评打分': 1}
{'短评内容': '新酒店，酒店招牌很袖珍，房间设施还过得去。', '短评打分': 5}
{'短评内容': '设施不错，早餐中式特色，多点果汁的话那就更好', '短评打分': 5}
{'短评内容': '新开的酒店，当然相对很干净舒服，房间也很大，很舒服', '短评打分': 5}
{'短评内容': '环境不错，硬件设施完善。可以长期住。没有噪音，也没有骚扰。服务态度也好。早餐很丰富。房间也很大，就是价格在降点就好了', '短评打分': 5}
{'短评内容': '入住，酒店看起来还很豪华', '短评打分': 3}
{'短评内容': '不错！设施很新，拖鞋沐浴露什么的都有。没有牙刷这是国际惯例。不像有些酒店，什么都没有。', '短评打分': 5}
