{'短评内容': '前台服务差，大清早装修把人能吵死，房间不干净，空调不暖。', '短评打分': 1}
{'短评内容': '这个价位还算值', '短评打分': 5}
{'短评内容': '酒店还算整洁，交通位置很好，不过房间里的设施有待更新了，不过至少对得起这样经济型酒店的价格，早餐还可以，简单的还蛮丰富的', '短评打分': 3}
{'短评内容': '卫生不理想，设备破旧', '短评打分': 2}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '很方便，快捷很不错，非常满意，', '短评打分': 5}
{'短评内容': '这是住过比较差的一晚上，入住当天服务员不敲门就直接进入房间拿东西，装修声音难以入耳。', '短评打分': 2}
{'短评内容': '厉害了我的哥', '短评打分': 5}
{'短评内容': '酒店有些设施陈旧。整体还不错就是浴室洗澡的地方洗个澡导致外面全是水很容易滑倒，希望酒店能有所改善。前台服务很好，一个保安很热心，帮忙倒垃圾。早餐也比较丰富。整体还不错。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '房间卫生还可以，但房间感觉潮潮的、被子不干爽、设施有点陈旧。', '短评打分': 3}
{'短评内容': '酒店比较老了，不过还算性价比较高', '短评打分': 4}
{'短评内容': '老旧了，服务还可以', '短评打分': 4}
{'短评内容': '来金华的首选', '短评打分': 5}
{'短评内容': '非常棒????，住的很舒服', '短评打分': 5}
{'短评内容': '环境卫生都还可以接受，处于闹市区，可是给我的房间窗户关不紧，外面空调的排气扇好吵，一晚上都没睡好。', '短评打分': 4}
{'短评内容': '酒店还不错，地理位置很好，周围很方便，早餐11点都可以吃，总体不错', '短评打分': 5}
{'短评内容': '酒店一般。墙壁什么的不大干净，里面有电脑,不过，电脑太老，很卡，吧网线接到自己笔记本上，不能上网', '短评打分': 1}
{'短评内容': '挺好的。就是房间小了点。其他没什么意见。希望下次入住', '短评打分': 5}
{'短评内容': '房间还不错，挺温馨的 房间带电脑，冰箱·值得推荐', '短评打分': 5}
{'短评内容': '还行,交通比较便利,房小了点,设施老了点,但这不影响推荐,交通确实相当方便的。', '短评打分': 5}
{'短评内容': '酒店不错，位于江南主干道81南街上，附近有功商城等商业场所，边上即有拉芳舍咖啡馆，利于商业会谈交流', '短评打分': 5}
{'短评内容': '蛮不错的酒店。就是床很摇摆。希望下次要整修啊。\n', '短评打分': 5}
{'短评内容': '希望退房时间可以延迟希望退房时间可以延迟', '短评打分': 1}
{'短评内容': '希望退房时间可以延迟，服务员态度可以改进', '短评打分': 5}
{'短评内容': '酒店还不错，服务也挺好的，早餐到可以同时适合睡懒觉的人！', '短评打分': 5}
{'短评内容': '每次来金华都首先考虑这里，因为办事方便，因为早餐时间长，期待前台的服务能有所提高', '短评打分': 5}
{'短评内容': '入住很多次了，设施还是老这样子，总体过得去，就是软件上没什么提高', '短评打分': 5}
{'短评内容': '这家酒店不错，交通便利，房间设施和房价的性价比还是可以的！', '短评打分': 5}
{'短评内容': '前台服务越来越差，之所以还住这里是因为离我的客户单位很近，以及早餐时间符合我睡懒觉，如果不是真的不值得推荐', '短评打分': 1}
{'短评内容': '之所以会推荐是因为卫生还部错，另外就是早餐时间比较人性化，早餐服务员也挺礼貌，唯独作为酒店的门面，前台的几个服务员真是太差了，碰到一次冷脸我能理解可能是今天心情不好吧，但是我也住了五六次了，每次前台的服务员都是要吗不爱理人，要吗态度强硬冷冰冰，素质太差，建议向早餐服务员学习', '短评打分': 5}
{'短评内容': '前台服务有很大改善空间，作为服务行业，连起码的微笑都没有，冷冰冰的，客人问话也是很不耐烦的态度', '短评打分': 5}
{'短评内容': '早餐不错，还行吧·····希望退房时间可退后', '短评打分': 5}
{'短评内容': '早餐很不错············很实惠', '短评打分': 5}
{'短评内容': '好的,希望退房时间可以延长·····················', '短评打分': 5}
{'短评内容': '还不错，性价比还行，比较安静，网速比较慢', '短评打分': 5}
{'短评内容': '适合商旅出差', '短评打分': 3}
{'短评内容': '希望退房时间可以延迟·············', '短评打分': 5}
{'短评内容': '不错的，希望退房时间可以延长 隔音效果好一些\n其他都不错', '短评打分': 5}
{'短评内容': '卫生不错，早餐时间人性化，就是类型太少了', '短评打分': 5}
{'短评内容': '感觉不错，没有理由的喜欢这个地方！', '短评打分': 3}
{'短评内容': '性价比不错。交通方便。但是晚上有很多蚊香', '短评打分': 5}
{'短评内容': '性价比非常高，迷你房间唯一的缺陷就是没有窗户，不过装修还算精致，在一个就是，房间的洗漱用品好像没有。。。或者是放在什么地方我没看到。', '短评打分': 5}
{'短评内容': '很好很温馨\n尝试日本风的朋友可以试试看啊\n~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很好,方便实用!', '短评打分': 3}
{'短评内容': '卫生不错，早餐时间也比较长，但样数不多，隔音一般，电源插头很少，建议别在酒店的电脑上输入任何带密码的软件等等，我登陆了qq号马上被盗，当然有可能不是每个房间的电脑都这样。服务态度不错，我住过很多酒店，如果是网上预订的话，一般第一次都态度不错，以后看吧！', '短评打分': 5}
{'短评内容': '各方面不错 如果退房时间可以再延迟就好了', '短评打分': 5}
{'短评内容': '早餐和环境都还不错，就是隔音实在太差了，半夜2 3点隔壁有人入住，洗澡讲话的声音都能听见，睡不着', '短评打分': 5}
{'短评内容': '装修挺温馨的    只是隔音差了点~~~', '短评打分': 5}
{'短评内容': '风格布置别有情趣，早餐丰富，值得一住。', '短评打分': 3}
{'短评内容': '位置很方便，离江北商业区很近。店里设施不错，就是沐浴乳与洗发液免费的只有一份，也没有其它酒店一样有瓶装水送，电视机比较旧了，看了一半突然没用了，不过服务态度很好，打客房马上来修理，频道很多，就是颜色有点不好。总体来说还是不错的。值得推荐。', '短评打分': 5}
{'短评内容': '最近两次都住这家酒店，主要是早餐的服务及品种都还不错，若只住100多块钱一晚的而言。228元的日式房不好，电脑也不好。上次住的228的办公房电脑不错，但都不是标房。200元以内的电脑好象都不好。', '短评打分': 5}
