{'短评内容': '还可', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '酒店不错，卫生好，服务很好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，下次来还住这里', '短评打分': 5}
{'短评内容': '一般吧，，', '短评打分': 3}
{'短评内容': '马马虎虎过得去', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 3}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 3}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 3}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦啊', '短评打分': 3}
{'短评内容': '还可以，离海峡会展中心特近。', '短评打分': 3}
{'短评内容': '卫生条件有点差。', '短评打分': 3}
{'短评内容': '酒店还可以，有大型免费停车场，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '晚上睡觉只要有大车经过好像整栋楼都震动了，住这也只能是方便', '短评打分': 3}
