{'短评内容': '热水出来的慢，环境还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不错 老板很热情 位置也不错 离枫桥很近', '短评打分': 5}
{'短评内容': '老板很热情，住的很满意', '短评打分': 5}
{'短评内容': '老板态度好', '短评打分': 5}
{'短评内容': '位于枫桥以东，沱江下游，避开吵闹的旅游团居住区，很安静安逸舒服，吊脚楼紧挨江边，阳台有摇椅两把，静静得欣赏风景。客栈老板也很不错，到路边来接我们，还帮拿行李，服务很热情，很实在，不乱推荐。客栈性价比高。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '特别安静舒适的院子，环境很雅致，房间很宽敞，和招牌一样，住在这里很幸福。', '短评打分': 5}
{'短评内容': '很喜欢这家客栈的装修风格，各方面都还可以，比较干净，服务也好，床很干净，很软，睡起来特舒服，值得推荐', '短评打分': 5}
{'短评内容': '入住后感觉真的很不错，位置很好找，房间卫生干净，性价比较高，坐了一天的车超累的，终于可以美美的睡一觉了，超级幸福的。', '短评打分': 5}
{'短评内容': '房间布置的挺精致漂亮，位置也挺不错的，就在古城附近，最重要的是价格实惠，真是物有所值。', '短评打分': 5}
{'短评内容': '服务特别好，还提前打电话告诉你怎么过去，接送很到位，32个赞??！', '短评打分': 5}
{'短评内容': '在凤凰城里，离酒吧街有段距离，晚上睡觉非常安静，最重要的是很临江，完美！老板娘很热情，给我们讲了游玩的路线，省掉了走重复路和弯路的时间。', '短评打分': 5}
{'短评内容': '老板娘真的是个很好的人，环境也很安静，还没下高速老板娘就发信息指路，并且把房间照片发信息给我，到了酒店，很温馨的格局，老板娘仔细讲解古城的景色，并且把地图上值得一去的地方都划出来告诉我们，下次来，还住幸福里。', '短评打分': 5}
{'短评内容': '客栈给人感觉很温暖，住得很舒服。预定时是被名字所吸引，来到客栈以后真的没有失望呀。房间很舒适，美女老板还会给每一位客人详细讲解古城地图和出去玩的注意事项。感谢美女老板邀请我一块儿在客栈吃晚餐，还带着我逛古镇夜景一起聊天吃好吃的，虽然第一次见面但就像相识多年的好朋友一样，住得都不想走啦，下次去凤凰还来找你！愿幸福里越来越好！', '短评打分': 5}
{'短评内容': '非常负责周到的服务! 感谢!', '短评打分': 5}
