{'短评内容': '服务跟不上', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '毛巾不干净', '短评打分': 3}
{'短评内容': '毛巾不干净，没有微波炉', '短评打分': 3}
{'短评内容': '房间内如果有微波炉就更好了。枕头芯有黄渍，有味道，毛巾也洗的不干净，干毛巾擦在手上有粘粘的感觉，像是洗衣粉没用水漂洗干净。白毛巾污涂涂的，没有清洁感。建议自带毛巾。', '短评打分': 2}
{'短评内容': '酒店干净卫生，房间宽敞舒适，服务态度好', '短评打分': 5}
{'短评内容': '不错，比较满意。。。。。', '短评打分': 5}
{'短评内容': '其实是第二次来了。总之感觉就是，家的温馨，来深圳这种大都市，来这里就对了。久违的自在感！', '短评打分': 5}
{'短评内容': '房间干净，地理位置好，服务好', '短评打分': 5}
{'短评内容': '性价比很好，附近也很方便，深夜都可以吃到東西，買到水果', '短评打分': 5}
{'短评内容': '价格不错，比较了好几个公寓。附近各公寓住过的客人的评价最多，评分很高。刚预定就过来，还没有空房可以入住，等了半个小时。房间不错，可谓麻雀虽小，五脏俱全，卫生干净，色调很暖，不同于一般酒店。通风也不错，没有怪味道。', '短评打分': 5}
{'短评内容': '住的挺舒服，也干净，还有洗衣机和冰箱。有需要还会再来。', '短评打分': 5}
{'短评内容': '酒店入住还可以，不过建议大家还是用糯米团或同程网订好，携程的返现都是骗人的游戏，太令人伤心了', '短评打分': 4}
{'短评内容': '周围吃饭地方很多', '短评打分': 4}
{'短评内容': '周围吃饭地方很多', '短评打分': 4}
{'短评内容': '周围吃饭地方很多', '短评打分': 4}
{'短评内容': '周围吃饭地方很多', '短评打分': 4}
{'短评内容': '装修还可以，比较温馨，但是卫生状况不太好，沙发不干净，床单上有短的头发，应该不是一客一换的。', '短评打分': 1}
{'短评内容': '实际与图片出入不大，备配还算齐全，如能刷卡结帐会更好，下次会考虑再入住。', '短评打分': 3}
{'短评内容': '强烈推荐，住的一室一厅的房，网络给力，装修很新，洗浴是干湿分离的，有厨房可以做饭，有全自动的洗衣机可用，位置很好，服务很赞，到东门和罗湖口岸都很近，停车很方便，现在免费。楼下对面吃饭有个茶餐厅很不错，周边很热闹。', '短评打分': 5}
{'短评内容': '位置不错，环境与图片一致。很有家的感觉，下次还会再住这里。', '短评打分': 5}
{'短评内容': '房间虽然不大 但干净整洁 设施齐整 配有洗衣机 对出差在外换洗衣物帮助很大 不错 会推荐给朋友', '短评打分': 5}
{'短评内容': '挺不错的，里面装修还可以，舒适的公寓。挺喜欢那张沙发~~！~！~！', '短评打分': 5}
