{'短评内容': '太湖边，环境不错', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店早餐一般，周边环境可以，有停车位很方便', '短评打分': 4}
{'短评内容': '服务接待很差，早餐实在太差（无法形容）。作为经常出差的我，可能找不到比他差的宾馆，绝不适宜住宿，不建议订此家。', '短评打分': 2}
{'短评内容': '周围环境不错，设施一般，吃挺好的！', '短评打分': 4}
{'短评内容': '酒店在装修，设备陈旧，服务也跟不上，不建议入住。', '短评打分': 2}
{'短评内容': '原本以为是硬件过关的度假村～没想到设施非常陈旧，屋内的电话是坏的，电视机坏，卫生也不知是怎么打扫的，床底下都是灰尘。竟然没有一次性拖鞋，里面仅有的塑料拖鞋里还嵌着污垢～服务员还声称是用开水消过毒的，说实话挺对不起这四百多一天的价格的。', '短评打分': 2}
{'短评内容': '最差的一次住店，晚上居然有蜈蚣爬到身上，太可怕了', '短评打分': 2}
{'短评内容': '最糟糕的一次住店，既然在装修，就不该在网上挂网，可以预定。', '短评打分': 2}
{'短评内容': '房间比较差，订的是湖景房。给的是临马路的房间，这价格怎么算啊？', '短评打分': 2}
{'短评内容': '如果不是推窗能见太湖，就一无是处。设施欠保养，园里卫生一般，早餐不能入口。', '短评打分': 1}
