{'短评内容': '环境优美，室内干净有设计', '短评打分': 5}
{'短评内容': '还不错，适合家庭，朋友自驾旅游，处于涪陵城区繁华商圈区域，周边美食较多，大型超市也有，特别推荐有一家中式刀叉牛肉的，绝。', '短评打分': 5}
{'短评内容': '还不错，适合工薪阶层旅游住宿。', '短评打分': 5}
{'短评内容': '酒店服务态度好，热情，环境不错，性价比高', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '出差经常在这个酒店环境还可以，设施比较旧，但是单人房的房间比较大。', '短评打分': 4}
{'短评内容': '出差基本都在这家酒店，设备比较旧了，但睡的还挺舒服，单人间的面积很大，比较空旷，周边吃的还比较多，商业街附近，不错。', '短评打分': 4}
{'短评内容': '方便，不错', '短评打分': 4}
{'短评内容': '可以的，前台服务好，空间大，交通方便', '短评打分': 5}
{'短评内容': '地段不错，出门挺热闹，但房间隔音太差，隔壁打喷嚏打呼噜打电话全都听得一清二楚，休息不好！', '短评打分': 4}
{'短评内容': '还行，除了房间旧点。', '短评打分': 3}
{'短评内容': '整体感觉不错，但是细节的需要改善，第一房间安全问题，一晚上发招嫖信息卡的都塞满房间门口了。要是能够凭卡去楼层就好了。这样入住和睡眠都安全放心了。第二 酒店设施稍微陈旧了一点，淋浴设施应该跟换。', '短评打分': 3}
{'短评内容': '感觉各方面还可以，房价有点小贵。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '房价有点虚高，其它都还好。服务一般。', '短评打分': 4}
{'短评内容': '酒店不错，还有早餐，非常方便。设备也很好，卫生间比较大，前台服务也很好。', '短评打分': 5}
{'短评内容': '感觉还是比较干净，就是装修比较老，交通还是方便在市中心', '短评打分': 3}
