{'短评内容': '挺好的，就是那个蒸汽一般这正常的温度设置不行，还好研究了一下，特意调高很多温度', '短评打分': 5}
{'短评内容': '其他都挺满意的，就是那个蒸汽不知道怎么回事用不了', '短评打分': 5}
{'短评内容': '哦哦', '短评打分': 5}
{'短评内容': '好久没人住，有点味道！', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '还不错的，值得一住。', '短评打分': 5}
{'短评内容': '环境很差，装修很差，相当差&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般~~~~~~~~~~~~~~~~~~~&amp;#183;&amp;#183;', '短评打分': 3}
{'短评内容': '价格合理，房同干净', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '迷人', '短评打分': 5}
{'短评内容': '还行，值得推荐，方便简单。', '短评打分': 3}
{'短评内容': '还不错，环境也ok！干净卫生！', '短评打分': 5}
{'短评内容': '环境不错，洗手间特好，就是空调的噪音很大，有必要改一下出风口的设计，室内的灯光也不够。', '短评打分': 5}
{'短评内容': '环境不错，桑拿室很好，只是空调的噪音很吵，还有很大的水管声，隔音也不行，走廊有人走过都听到，房间里的灯光不足。', '短评打分': 5}
