{'短评内容': '进门一股浓烈烟味', '短评打分': 3}
{'短评内容': '可以不错哦，哈哈', '短评打分': 5}
{'短评内容': '可以，不错哦 哈哈', '短评打分': 5}
{'短评内容': '还可以吧，不错', '短评打分': 5}
{'短评内容': '相当不错的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '前台态度不错！', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '为了在西北师范大学参加考试预订的，师大旁边好一点的酒店，这家如家酒店已不错，是第二次在这里住，总体还行吧', '短评打分': 4}
{'短评内容': '房间的网络不是很好，其他的还好！', '短评打分': 4}
{'短评内容': '性价比比较高的一个酒店，下次还住这里。', '短评打分': 4}
{'短评内容': '下楼就是小吃街  不错', '短评打分': 5}
{'短评内容': '位置不错  服务很好', '短评打分': 5}
{'短评内容': '刚开始不太好，后来联系携程客服，如家酒店也及时调整。十分满意。。。', '短评打分': 4}
{'短评内容': '酒店就在兰州交大的对面，很方便，就是房间小了点', '短评打分': 3}
{'短评内容': '给公司同事订的房，同事反映还行，总体不错，价格便宜，服务都不错，酒店卫生也都不错，性价比很高，总体满意。\n\n', '短评打分': 5}
{'短评内容': '一般般，同类型，价格稍高', '短评打分': 3}
{'短评内容': '学习跟前，每次都能想起以前上学的时光，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '＋挺好的，干净～附近买东西也方便', '短评打分': 3}
{'短评内容': '“如家”家一样的感觉！', '短评打分': 3}
{'短评内容': '  房间很干净卫生,粉色的墙,黄色的墙感觉很温馨,设施也不错,吃饭购物都很方使.', '短评打分': 3}
{'短评内容': '酒店坐落在中心区，家住在安宁的更方便，只是服务有待提高。', '短评打分': 5}
{'短评内容': '兰州西宁西路的如家酒店，环境好，卫生好，服务好。', '短评打分': 5}
{'短评内容': '酒店总体来说挺不错的，服务也很好，就是晚上空调的噪声挺大的。', '短评打分': 3}
{'短评内容': '房间蛮干净,服务态度很好,只是酒店门前正修路不方便。', '短评打分': 3}
{'短评内容': '干净、卫生，宽带，24小时的热水，温馨、简约的房间，使旅人有家的感觉，如其名字——如家。\n工作人员都很热心，面带微笑，彬彬有礼，让人顿觉旅途不再疲惫。', '短评打分': 5}
{'短评内容': '房间太小了，卫生间也小，价格相对高，性价比低，又没有早餐，不过周围饭馆较多。', '短评打分': 1}
{'短评内容': '酒店位于交大正门口,方便好找,周围吃饭方便，全是学生的天下。酒店内部设施干净,热水很给力。如果有机会还会去住。', '短评打分': 5}
{'短评内容': '环境安静 舒适，挺好在安宁算挺不错的一家店，前台服务态度挺好', '短评打分': 5}
{'短评内容': '酒店位置不错，服务还可以。楼下附近就有很多酒吧和小吃店，还算方便。洗澡水有时候不太热，不知道是怎么回事。早餐性价比不高。', '短评打分': 5}
{'短评内容': '前台服务人员很热情，合理要求也会满足。打扫卫生人员素质参差不齐。有一天在睡觉，挂了请勿打搅的牌子，还是不停的敲门，很郁闷。希望加强员工的培训。', '短评打分': 5}
{'短评内容': '周边交通方便，有很多公交车。饭店很多，档次有高有低。购物也算方便，好几家商场。只是正在修路，有点点吵闹。停车可以在附近商场前面。', '短评打分': 5}
{'短评内容': '   还不错，离大学校区还比较便捷。酒店要注意细节方面的，不断强化温馨服务。呵呵，50字的点评还真是一件麻烦的事情，希望要改一下啊！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '交通便利、服务不错、周边吃饭点多便宜，靠近兰州交大，下次还会入住', '短评打分': 5}
{'短评内容': '预定了也不会给留房间，服务态度也不好！总而言之就是差！！！', '短评打分': 1}
{'短评内容': '非常干净舒适！', '短评打分': 3}
{'短评内容': '前台办理速度很慢，无论是入住、还是退房，环境一般，建议大家入住时把被子好好看看，贴身的一面，感觉很脏，无奈兰州安宁目前就一家快捷，没得选！', '短评打分': 1}
{'短评内容': '服务很好，离学校很近，值得推荐，但价格比北京的如家还贵吗？', '短评打分': 5}
{'短评内容': '1 地点不错。\n2 酒店比较干净。\n3 服务还需提高，在酒店居住的第二天，没有整理房间，第三天才整理并补充牙具等；另外换洗毛巾时，缺少了干净的脚踏巾。\n4 价格也适中。', '短评打分': 5}
{'短评内容': '房间干净舒适，楼层服务员热情接待，很满意！', '短评打分': 5}
{'短评内容': '不错  干净  舒适 服务态度好 旁边小吃的比较多 方便', '短评打分': 5}
{'短评内容': '地理位置不错，离我要去的地方非常近，附近有小吃街以及超市，不错～', '短评打分': 5}
{'短评内容': '卫生条件还不错，服务也很好，唯一不好的一点就是早餐需要收费的而且性价比不高。设施还可以，舒适度也不错。', '短评打分': 5}
{'短评内容': '总体来说还可以，性价比一般。卫生还挺好，服务也挺好。', '短评打分': 5}
{'短评内容': '我喜欢如家，比莫泰168好，比7天好，小商品很多很全。', '短评打分': 5}
{'短评内容': '酒店各方面都不错  交通也方便  附近有个小吃街 出门在外主要就是方便.', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '隔音太差', '短评打分': 5}
{'短评内容': '离市中心远了点。其他都OK。', '短评打分': 5}
{'短评内容': '大学城附近方便', '短评打分': 5}
{'短评内容': '周围有小吃街', '短评打分': 3}
{'短评内容': '干净，不吵，就是房间有点小，好像是非常旧的楼改建的。', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店服务还可以，并且位置不错，楼下就是很多酒吧和小吃店，但是公交车太少了，去市里太不方便，洗澡水冶不太热，不知道是怎么回事', '短评打分': 5}
{'短评内容': '设施一般，隔音效果不好。。', '短评打分': 5}
{'短评内容': '总体来说还算可以，比较干净', '短评打分': 5}
{'短评内容': '经常住如家，这家环境和地段不错，价格合适，下周去还会住', '短评打分': 3}
{'短评内容': '地理位置非常好,离机场很近,出行都很方便,很适合转机的朋友,但就是床感觉不太舒适,其它的都不错.', '短评打分': 3}
{'短评内容': '地址不好，距离市区太远，而且周边商业设施不完善，办完事后到了晚上就没有事情做了，感觉旅途乏味。', '短评打分': 1}
{'短评内容': '总体一般!门脸不是太好找,房间空气味道有点浓.', '短评打分': 1}
{'短评内容': '酒店的位置不是很好的但是硬件设施都是不错的,整体的感觉还可以,性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店周边有商场和超市，便于购物；地处安宁区繁华地带，交通便利；房间干净整洁，装修很有特点，晚上很安静，能够休息很好。美中不足的是，酒店门面比较小，不是很好找；另外，有点房间窗户比较小，通风不太好。', '短评打分': 5}
{'短评内容': '酒店的卫生非常好，服务也不错，酒店位置在市中心，交通还是很方便的', '短评打分': 5}
{'短评内容': '酒店的硬件设施感觉和别如家差不多，卫生条件挺好，挺干净整洁的', '短评打分': 5}
{'短评内容': '同意', '短评打分': 3}
{'短评内容': '价格略贵', '短评打分': 5}
{'短评内容': '如家还是不错的，不过这家离市区有点远。如果是要继续西行的自驾车主，住这里还是挺方便的，第二天直接西行不必经过市区了。', '短评打分': 3}
