{'短评内容': '很一般，但是价格很实惠！', '短评打分': 3}
{'短评内容': '一进门，床上凳子上面都有长头发，设施很旧，最不能容忍的一点就是好吵，像是抽水泵的声音，隔10多分钟又在那里响好久，是那种整个房间的吵，一响房间都振，忍了两天晚上，晚上醒了好多次，好无奈', '短评打分': 2}
{'短评内容': '服务态度很差劲，在我外出的时候，没有征求我的同意，随意更换我的房间，并且乱动我的东西，就冲这一点，以后都不会住你们酒店，要订这酒店的看一看，这种侵犯别人隐私毫无安全感的地方考虑一下吧，并且在质问为什么不先问我的时候，客服竟然说电话打不通，然后就直接换我的房间了，这也能作为理由？不道歉就算了，还有理由来反驳我？呵呵，理都是他们家的。', '短评打分': 2}
{'短评内容': '没有早餐，其他还可以', '短评打分': 4}
{'短评内容': '经济实惠房，旧是旧了点，如果房间味道少一点就更好了，住过几次，基本上还满意，值得推荐出差人士来住！！', '短评打分': 4}
{'短评内容': '东方大酒店哪里都好，价格对的起这个酒店的装修，唯独前台服务员态度不好，去了三次没一次态度让我满意，麻烦你们酒店服务员与人交流时微笑一下好吗？', '短评打分': 1}
{'短评内容': '住好多次了，一直觉得不错', '短评打分': 5}
{'短评内容': '在柳州出差一直住', '短评打分': 5}
{'短评内容': '酒店服务非常好，地理位置也非常方便，下次还来住。', '短评打分': 5}
{'短评内容': '酒店服务非常好，地理位置也非常方便，下次还来住。', '短评打分': 5}
{'短评内容': '酒店服务非常好，地理位置也非常，电视网络非常给力，下次还来住。', '短评打分': 5}
{'短评内容': '很差，一晚都没法睡，打电话去前台说换房，客服回复每间房都一样，都是有水泵抽水声，以后打死也不住了', '短评打分': 2}
{'短评内容': '相当差劲的酒店，酒店设备陈旧，地毯很臭非常臭，床上用品很旧，跟招待所差不多。第二天果断换酒店。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '要交押金300，环境不错', '短评打分': 5}
{'短评内容': '二星级，里头很好，就是服务前台服务不太好', '短评打分': 5}
{'短评内容': '酒店二星级，位置很好，是老酒店新装修，房间很高，干净。但门口停车位紧张。', '短评打分': 3}
{'短评内容': '房间马桶冲水系统进水故障，酒店工作人员花了半小时处理，态度很好。\n', '短评打分': 5}
{'短评内容': '房间很大！\n外面墙体有点旧，但是内部装修还比较新。\n就是停车要收费。', '短评打分': 5}
{'短评内容': '价格合理，内部空间较大，比较满意，下次还会住此酒店', '短评打分': 5}
{'短评内容': '价格公道。交通便利。缺点是电视小了点，不过不影响住宿。下次去还住这儿。', '短评打分': 5}
{'短评内容': '酒店在旧城区，装修也还可以，下次还去那里住', '短评打分': 5}
{'短评内容': '还行，只是设施老了一点，而且停车收费——如果在这附近办事可以考虑入住，否则不是很好的选择。', '短评打分': 5}
{'短评内容': '整体还不错，价格合理，服务态度也不错。下次有机会继续。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店条件不错，房间大，离我办事的地方也很近，服务还算可以！值班得推荐', '短评打分': 5}
{'短评内容': '这次换了一个商务套房，房间很大，还有冰箱，夏天很实用。', '短评打分': 5}
{'短评内容': '环境设施还可以，周边有两个公园可以逛逛，交通便利，性价比不错，下次还住这家。', '短评打分': 3}
