{'短评内容': '我公司的客户来天津看我，为了距离机场近一点所以订单下到该酒店。总体感觉还是可以的！打车到机场很近很方便！', '短评打分': 4}
{'短评内容': '老顾客，做事情很方便', '短评打分': 5}
{'短评内容': '很好很满意，因为考试旅程太远提前订的，很方便', '短评打分': 5}
{'短评内容': '这个宾馆有年头了，考试的考点在附近，这可以说是附近最好的宾馆了。', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '离武警医院比较近', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '出来玩住的酒店，酒店一楼的cant', '短评打分': 3}
{'短评内容': '出差住还可以', '短评打分': 4}
{'短评内容': '帮朋友定的，还是不错的！', '短评打分': 4}
{'短评内容': '环境不好', '短评打分': 3}
{'短评内容': '出差选择住了一晚，还算可以！~~', '短评打分': 4}
{'短评内容': '酒店不错，价格不高，上档次，唯一不足就是中央空调不能用，望尽快完善！', '短评打分': 4}
{'短评内容': '酒店真心一般。是11月上旬住的，天气已经转凉，房间温度低，空调又不置热，早上热水没啥温度，感觉不舒服。另外遗憾的是，酒店还不供应三餐。希望酒店方改善吧。', '短评打分': 2}
{'短评内容': '环境不错，空调暖风声音有点大。别的都很好～', '短评打分': 5}
