{'短评内容': '我只能说脏乱差', '短评打分': 1}
{'短评内容': '小宾馆，有点旧，老板态度挺好的，适合出门临时住', '短评打分': 4}
{'短评内容': '没有早餐，位置介于高铁站和汽车站之间', '短评打分': 3}
{'短评内容': '隔音不太好，大半夜的房客说话吵死', '短评打分': 4}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '总体来说还是不错的。不过隔音差一点，临窗有些吵。', '短评打分': 3}
{'短评内容': '还不错总体', '短评打分': 5}
{'短评内容': '服务周到，交通便捷，环境不错', '短评打分': 5}
{'短评内容': '呵呵，环境我只能呵呵了，就是和火车站边的小旅馆一个样。价格确不低哦。只有态度还好了。', '短评打分': 3}
{'短评内容': '还是挺干净的，要是价格能稍微再便宜点就好了。', '短评打分': 3}
{'短评内容': '服务很到位，给人一种到了这里就像到了家里一样', '短评打分': 3}
{'短评内容': '不错，挺好', '短评打分': 3}
{'短评内容': '好评', '短评打分': 3}
{'短评内容': '酒店卫生环境一般。相比周边环境 个人感觉符合市情。', '短评打分': 3}
{'短评内容': '脏', '短评打分': 1}
