{'短评内容': '还行，不错', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '位置挺好的  开车要早点来  车位比较紧张', '短评打分': 4}
{'短评内容': '位置很方便，交通便捷', '短评打分': 5}
{'短评内容': '房间比较旧也比较小', '短评打分': 4}
{'短评内容': '价格实惠一般，最不好的就是洗澡冷热水不好调节，要么冷死，要么烫人，是不是该换换了，这样谁受的了啊。多下下功夫，还回来', '短评打分': 4}
{'短评内容': '设施有些旧了', '短评打分': 3}
{'短评内容': '每次来淮北都会选择这家酒店，舒适安心', '短评打分': 5}
{'短评内容': '每次来淮北都会选择这家酒店，舒适安心', '短评打分': 5}
{'短评内容': '还不错，性价比好！', '短评打分': 4}
{'短评内容': '又住这里今晚，舒服啊。', '短评打分': 5}
{'短评内容': '住了几天了，还没走，离市区很近，很方便', '短评打分': 5}
{'短评内容': '靠近人民医院的淮北如家特价房的价格合适,服务人员也很好,就是特价房靠近前台,尤其是晚上有人大吵大闹,没有窗户可以理解,但是不能因为价格而给一间吵闹的房间.', '短评打分': 3}
