{'短评内容': '还不错哦哦哦', '短评打分': 3}
{'短评内容': '很一般，太旧了', '短评打分': 2}
{'短评内容': '不怎么样，靠着马路，太吵了', '短评打分': 3}
{'短评内容': '早餐不错！', '短评打分': 5}
{'短评内容': '很不错，房间卫生', '短评打分': 5}
{'短评内容': '还可以，这么多年了 不过不知道 这个价格是不是还有的低', '短评打分': 5}
{'短评内容': '房间尚可，服务和设施也还行，早餐品种虽多但不精。总的来说，性价比还好！', '短评打分': 4}
{'短评内容': '房间尚可，服务和设施也还行，早餐品种虽多但不精。总的来说，性价比还好！', '短评打分': 4}
{'短评内容': '房间尚可，服务和设施也还行，早餐品种虽多但不精。总的来说，性价比还好！', '短评打分': 4}
{'短评内容': '房间尚可，服务和设施也还行，早餐品种虽多但不精。总的来说，性价比还好！', '短评打分': 4}
{'短评内容': '房间尚可，服务和设施也还行，早餐品种虽多但不精。总的来说，性价比还好！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务不错', '短评打分': 4}
{'短评内容': '性价比不错 ，房间也干净', '短评打分': 3}
{'短评内容': '临时入住，check in等了好久', '短评打分': 4}
{'短评内容': '大堂及电梯2星，房间设施及卫生4星。虽近郊区购物不便，但交通出行还算便利。自助早餐东西不多，还是对得起18大洋。中晚餐若办酒宴则不接待普通住客！', '短评打分': 4}
{'短评内容': '还是网上的方便，实惠些！', '短评打分': 4}
{'短评内容': '旺府酒店真的很不错，服务态度好，环境优美，房间卫生，打车出行方便。OK', '短评打分': 3}
{'短评内容': '卫生，干净整洁。', '短评打分': 3}
{'短评内容': '益阳旺府商务酒店是一家不错的酒店。我今年11月15日至11月24日间断在那里住了7天。那里的服务水平、卫生条件、房间的设施、免费早餐等，都给我留下了良好印象。还有，那里的交通条件不错，处于益阳大道和银城路交叉路口，有多条公共汽车路线，可通往闹市区、火车站等地，到益阳汽车东站步行只要10分钟。离长沙至吉首的高速公路只有1公里。', '短评打分': 5}
{'短评内容': '房间比较大，服务挺好。', '短评打分': 3}
{'短评内容': '528', '短评打分': 3}
{'短评内容': '离开市中心远。。。很不方便。。。\n早餐烂。。七点供应到九点半。。。\n但九点去吃已经没什么好吃。。。服务员赶着收拾。。。\n答道：没了。。不再供应了。。。', '短评打分': 1}
{'短评内容': '很好 态度不错 很好 态度不错 很好 态度不错 很好 态度不错 很好 态度不错 ', '短评打分': 5}
{'短评内容': '该酒店服务态度好，价格适中，今后再来益阳还住该酒店。', '短评打分': 5}
{'短评内容': '交通方便，不错的酒店。', '短评打分': 3}
{'短评内容': '酒店设施很好服务周到，下次来益阳还首选它', '短评打分': 3}
{'短评内容': '房间设计比较好比较大，圆床房也比较有情调', '短评打分': 5}
{'短评内容': '酒店蛮干净，服务也不错。就是晚上有点隔音不好。电视也收不到几个台。', '短评打分': 5}
{'短评内容': '酒店很干净不错，就是电视收台太少了，只有4个台，我想这是全中国收得最少台电话的酒店吧。', '短评打分': 5}
{'短评内容': ' 房卡打不开房门 与跑了三次总台换卡 仍打不开 无语 生气后才有服务员帮开门 晕', '短评打分': 3}
{'短评内容': ' 很满意 只是预定人应为朱斌而非朱文斌 谢谢', '短评打分': 3}
{'短评内容': '我住的是商务双人房，房间空间较大，居室环境干净整洁，装修较新，美中不足的是地理环境较为偏远！', '短评打分': 5}
{'短评内容': '房间还是很一般，位置离市区还是有些偏，性价比也就一般。', '短评打分': 3}
{'短评内容': '8711', '短评打分': 3}
{'短评内容': '酒店房间不错，服务也还可以。只是早餐是冷的，有点减分。', '短评打分': 5}
{'短评内容': '还可以！我信用卡结账有疑问！找谁？怎么解决？', '短评打分': 5}
{'短评内容': 'OK!但是我有一问题，希望解决：我交押金是刷卡2800，最后结账1091，但我的信用卡还是扣除了2800！我找谁？结账当时服务员说只会扣除1091的？\n', '短评打分': 5}
{'短评内容': '房间还可以，就是离市区远了点。', '短评打分': 3}
{'短评内容': '价格相对便宜、交通尚好、环境可以、短期可以入住。', '短评打分': 5}
{'短评内容': '环境不错,房间较大,服务态度好,价格便宜,.下次去益阳还住旺府.', '短评打分': 3}
{'短评内容': '酒店蛮好，干净，房间较大。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店的一次性拖鞋不干净.距离客运站距离火车站远.其它各方面还不错.', '短评打分': 5}
{'短评内容': '比较新，但是早餐有点差，品种太少。', '短评打分': 5}
