{'descr': '地理环境好', 'star': 5}
{'descr': '便宜，交通不错，旁边是拱极门，只是靠街面的房间比较吵，卫生太一般了', 'star': 5}
{'descr': '很好可以洗澡', 'star': 3}
{'descr': '喜欢洗澡的人可以去入住，房间设施还不错。', 'star': 1}
{'descr': '房间很宽敞，价格很合适，住着还不错哦，可以去二楼泡泡澡，下次会继续关注。', 'star': 5}
{'descr': '酒店不错，还可以洗澡，美中不足就是前台服务态度不算好。', 'star': 5}
{'descr': '房间还是不错的，服务特差，人员杂', 'star': 3}
{'descr': '酒店外观还是不错的，就是内部设施很简陋，服务态度也不怎么好，如果你不洗浴的话服务员对你还嘟囔几句，半夜很吵杂，隔音效果太差，一晚上也没休息好。', 'star': 1}
{'descr': '＋挺好的，挺安静的一个地', 'star': 3}
{'descr': '地理位置优越，在市中心，周围设施齐全，吃饭娱乐一应俱全，\n早饭简单但实用', 'star': 5}
{'descr': '房间还凑合，位置也不错，边上吃饭娱乐的地方也不少。', 'star': 5}
{'descr': '酒店不错,位置很好找，西直门外大街，宝德饭店旁，内部环境不错，服务不错！', 'star': 3}
{'descr': '酒店设施简陋\n\n是在居民小区内的 感觉很吵 \n\n人员比较杂 也许是离开北站太近了吧', 'star': 1}
{'descr': ' 经济 舒适 温暖', 'star': 3}
{'descr': '环境一般，洗浴好贵，不小心就被宰，夜里很吵，没法好好休息。。。。。。。。', 'star': 1}
{'descr': '住宿条件一般，服务态度很好，环境普通，', 'star': 3}
{'descr': '酒店交通便利，服务尚可，离阳澄湖蛮近的，总之这价位还可以的，早餐不是很好，但早餐时间到十点，赞!,', 'star': 5}
{'descr': '环境还算干净，就是床不太好睡，隔音不好！', 'star': 3}
{'descr': '环境不错，服务态度很好，总之一句话物超所值。不足之处就是没有包含早餐。', 'star': 5}
{'descr': '还可以，交通方便，地点不太好找,建议在进入酒店的外面挂一个牌子', 'star': 5}
{'descr': '还可以，下次去北京展览馆还住这家，离得比较近，条件还可以', 'star': 5}
{'descr': '挺不错的，下次我去北展附近，还会考虑住在这里的', 'star': 5}
{'descr': '交通便捷，周围商场超市以及餐饮店较多，性价比高。', 'star': 5}
{'descr': '非常难找，建议宾馆在路口挂个醒目的牌子，像隔壁的速8那样。', 'star': 5}
{'descr': '作为首都的住宿已经很便宜了，比较干净。住起来也比较安静，就是地方不好找。', 'star': 5}
{'descr': '服务不错,出行方便', 'star': 3}
{'descr': '房间隔音不是太好，交通方便，价位还算合理', 'star': 5}
{'descr': '之前来过，地理位置很好，离动物园很近，乘坐地铁也很方便', 'star': 5}
{'descr': ' 服务态度很好。设施也不错', 'star': 3}
{'descr': ' 酒店不错 离动物园相当近 我快晚上12点到 还一直等着我来 除了设施稍微有点陈旧了 其它都不错', 'star': 3}
{'descr': 'GOOD', 'star': 3}
{'descr': '在网上看过评价才预定的，为什么没有人提到过所有房间的窗子都是开向楼道的呢？虽然有窗帘，但是隔音不好，可能别人不介意，我是蛮介意的。\n其他部分还好，对得起价格', 'star': 1}
{'descr': '环境挺好的 离北展很近 价格特合理 服务态度也不错', 'star': 5}
{'descr': '在京城这样的价钱住这样的酒店，性价比是很高的了。卫生很好，房间也不是很窄，最重要的是卫生间很宽敞，用起来很方便。', 'star': 5}
{'descr': '卫生服务基本达标，主要是地理位置很好，很方便出行。', 'star': 5}
{'descr': '其实位置出行很方便的，就是没去过的话会比较难找，环境也很安静，卫生也很不错。', 'star': 5}
{'descr': '在北京算是物美价廉的酒店了，逛街吃饭都很方便，下次过去还会入住这家。', 'star': 3}
{'descr': '第一次去的话位置会不是很好找，但是地段出行真的很方便。', 'star': 3}
{'descr': ' 不错，态度挺好，离动物园近，方便！', 'star': 3}
{'descr': '酒店算是比较达标的，价格也比是经济实惠的，卫生服务也很达标，去北京玩的话还是可以考虑入住。', 'star': 5}
{'descr': '北京地铁2号线 这个价位的宾馆 设施已经够满意的了', 'star': 5}
{'descr': '对酒店印象还不错，前台服务态度很好，很热情。服务也很到位。', 'star': 3}
{'descr': '静春园宾馆不错挺干净', 'star': 3}
{'descr': '整体来讲感觉还不错，设施配置也比较达标，就是房间面积小了点。', 'star': 3}
{'descr': '可以', 'star': 3}
{'descr': '酒店的性价比很不错，设施环境都很达标。房间也很干净。', 'star': 5}
{'descr': '床还是比较大比较舒适的，卫生做的也很好，房间入住体验干净舒适。', 'star': 5}
{'descr': '凑合', 'star': 3}
{'descr': '酒店房间面积不设施环境都还蛮达标的，晚上休息的话也很安静。', 'star': 3}
{'descr': ' 静春园交通很方便，步行至西直门地铁站、北京北站只需10分钟左右。沒有噪音好睡眠。房间不很寛畅。', 'star': 3}
{'descr': '一般，挺隐蔽的，但是还算卫生，北京也就这价格了，交通方便，可以了', 'star': 5}
{'descr': '+不错', 'star': 5}
{'descr': '我们的目标就是动物园，所以选了离动物园近的酒店，这里的服务和设施还行吧，经济型酒店就这样。', 'star': 5}
{'descr': '位置很好,离动物园和展览馆很近,房间太小', 'star': 5}
{'descr': '宾馆位置不太好找，以至于到的当晚打了N个电话，后来宾馆服务员到路口接我们才终于找到。不过，总的大位置不错，在二环，坐地铁出行非常方便，离机场也不远。周边环境一般，房间干净但通风很差，有一股霉味。值得一提的是宾馆服务员态度很好，有求必应，很周到、很亲切！', 'star': 1}
{'descr': '该酒店所在位置交通便利，价格合理，卫生也可以，我感觉唯一不好的就是房间太潮。', 'star': 5}
{'descr': '房间卫生还可以设施还算齐全但是房间没有窗户特别小，价格也还行不算很贵，位置不是很好找在一个胡同里面。', 'star': 1}
{'descr': '酒店位置还不错，但是在小区里面，小区门口环境差，酒店设施陈旧服务一般。', 'star': 1}
