{'descr': '就那样，习惯就好', 'star': 5}
{'descr': '', 'star': 2}
{'descr': '出门有公交站  走一会有地铁站  挺方便的  就是隔音稍稍差了点  听说有停车场   但是是大厦的停车场   不一定有位置', 'star': 5}
{'descr': '离两路口地铁站挺近。早上去没房间，先寄存的行李在前台，前台人挺好的。房间清洁和卫生一般，没有看到一次性拖鞋。', 'star': 4}
{'descr': '这环境，很不满意', 'star': 1}
{'descr': '不推荐', 'star': 3}
{'descr': '红红火火哈哈哈', 'star': 5}
{'descr': '特别满意，地点好，方便出行，离地铁站不远，公交车线路很多！房间干净整洁，就是设施有点旧，服务人员态度好', 'star': 5}
{'descr': '服务较差', 'star': 3}
{'descr': '酒店重装了，漂亮多了，很舒服', 'star': 5}
{'descr': '床上的被单睡着不太舒服 ，但总体来说还可以。', 'star': 3}
{'descr': '出行非常便利，服务态度还可以，宾馆内环境一般，不是对这方面要求特别高的人，推荐可以住。', 'star': 4}
{'descr': '老板人很好，住的挺舒服的', 'star': 3}
{'descr': '房间小，卫生间太差，干湿区未分开，卫生还行。', 'star': 4}
{'descr': '网速有些慢，其他的还可以，被褥有些单薄，可能是因为夏天的缘故', 'star': 5}
{'descr': '环景不错\u3000安静就是有点偏僻', 'star': 3}
{'descr': '已成功入住，环境还好，就是永远不知道几点了，', 'star': 3}
{'descr': '不错,价格实惠,值得推荐', 'star': 3}
{'descr': '价格偏高，我住的128元一间的，床只有1.2米宽，房间也没有网络，我认为只值78元一个房间，完全被宰了。卫生间是蹲坑。', 'star': 1}
{'descr': '酒店离车站较近，宾馆的性价比还是比较高的，交通方便，卫生。重庆人也很热心，生活的闲适真是让人小羡慕啊！', 'star': 5}
{'descr': '服务不错，非常好，到位，位置佳在市中心，方便', 'star': 5}
{'descr': '屋子太小；靠近大街太吵；热水反应超慢。设施简陋。', 'star': 1}
{'descr': '价格108还行,环境很一般', 'star': 3}
{'descr': '房间不错，服务态度很好', 'star': 3}
