{'短评内容': '环境好，房间大，早餐丰富，来湘潭唯一选择', '短评打分': 5}
{'短评内容': '还可以，房间挺大', '短评打分': 5}
{'短评内容': '好，很好，非常好！', '短评打分': 5}
{'短评内容': '高端配置，能量睡眠', '短评打分': 5}
{'短评内容': '习惯到湘潭就住盘龙，房间大，没有味道，安静！', '短评打分': 5}
{'短评内容': '服务员态度差，调房间需要加高价，高的离谱。', '短评打分': 1}
{'短评内容': '奸', '短评打分': 5}
{'短评内容': '很不错，园林非常漂亮', '短评打分': 5}
{'短评内容': '免费升级房间了，还不错！', '短评打分': 5}
{'短评内容': '挺好挺好', '短评打分': 5}
{'短评内容': '酒店不错，五星级酒店，房间很大，很安静', '短评打分': 5}
{'短评内容': '环境一流', '短评打分': 5}
{'短评内容': '应该是当地最好的酒店了，硬件服务绝对没得说！花园式酒店，没事可以在酒店范围内逛一逛，处处是景！风味餐厅非常亲民，味道很地道！性价比超高，让人觉得不可能是五星级酒店说能提供的服务！赞！赞！赞！', '短评打分': 5}
{'短评内容': '应该是当地最好的酒店了，硬件服务绝对没得说！花园式酒店，没事可以在酒店范围内逛一逛，处处是景！风味餐厅非常亲民，味道很地道！性价比超高，让人觉得不可能是五星级酒店说能提供的服务！赞！赞！赞！', '短评打分': 5}
{'短评内容': '价格便宜，酒店服务一流！', '短评打分': 5}
{'短评内容': '好棒', '短评打分': 5}
{'短评内容': '环境好，设施齐全', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '家庭', '短评打分': 5}
{'短评内容': '最心仪的五星级', '短评打分': 5}
{'短评内容': '18日中午礼宾员服务非常好，工号15', '短评打分': 4}
{'短评内容': '一直很信赖的酒店！值得推荐！特别是服务', '短评打分': 5}
{'短评内容': '很好的体验，服务员很细心很体贴，早餐也不错，无烟楼层感觉不错', '短评打分': 5}
{'短评内容': ' 湘潭盘龙山庄大酒店度假村设计，周围奇花异草环绕郁郁葱葱，安全，安静，卫生，是旅游度假和商务会议的良好选择。', '短评打分': 3}
{'短评内容': '几年前是蛮好，现在看设备有些陈旧，性价比不好了', '短评打分': 5}
{'短评内容': '酒店环境是不错，但是酒店前台服务员和黑出租有狼狈为奸，黑车价格是出租车的两倍，特此反映！\n酒店前台服务员和黑出租有狼狈为奸，黑车价格是出租车的两倍，特此反映！\n酒店前台服务员和黑出租有狼狈为奸，黑车价格是出租车的两倍，特此反映！\n', '短评打分': 5}
{'短评内容': '性价比很高的酒店，感觉不错！酒店园林环境很好，设施条件也不错，服务也比较热情，把药放在桌上出门，回来时多了一杯白开水和一张留言条，很温馨很感动！下次来一定还住这里！！！', '短评打分': 5}
{'短评内容': '湘潭最好的酒店，没什么可说的了,每次都住这里！\n', '短评打分': 5}
{'短评内容': '湘潭最好的酒店，没什么可说的了！湘潭最好的酒店，没什么可说的了！湘潭最好的酒店，没什么可说的了！湘潭最好的酒店，没什么可说的了！', '短评打分': 5}
{'短评内容': '性价比很高的酒店 出行很值得考虑的酒店 吃饭交通都比较方便', '短评打分': 5}
{'短评内容': '好, ..                                ..\n\n................', '短评打分': 5}
{'短评内容': '我住的房间感觉不是太好设施摆设布局不是太好卫生挺干净的，服务态度赶不上其他的五星级，硬件很好但是软件方面不是太好，地理位置还是挺好的，价格还是可以接受。', '短评打分': 5}
{'短评内容': '房间面积很大，环境非常好，有时间再去。。。。', '短评打分': 5}
{'短评内容': '环境优美。给人感觉舒适！', '短评打分': 3}
{'短评内容': '房间还不错，前台服务还可以。价格稍微贵了一些。', '短评打分': 3}
{'短评内容': '酒店环境还不错位置还算是比较好找周围环境确实挺好的。酒店内部也还行，服务价格蛮好的，房间也不错。', '短评打分': 5}
{'短评内容': '其他都可以，只是游泳池的水还差一点', '短评打分': 5}
{'短评内容': '酒店的性价比还是比较高的,就是位置相对来讲有点偏不过不影响出行,硬件和软件服务相当到位.', '短评打分': 5}
{'短评内容': '性价比太差了。。558的一个豪华房。。只有一个大字。。。诺大一个酒店。。每座楼下面都没一个服务员。。想找个人问路都没有。。房内连两瓶赠送的水都没有。。这个连四星的都不如', '短评打分': 1}
{'短评内容': '性价比高哦~~谢谢~~', '短评打分': 5}
{'短评内容': '感觉不错，环境好，设施好，服务有点一般。', '短评打分': 3}
{'短评内容': '感觉很不错，设施和环境都很好。房间也很大。就是冬天卫生间可是有点冷啊。还有在湘潭的宾馆都有点贵，南苑这个破宾馆还要200多，以此相比盘龙山庄倒也不贵，但总觉得在湘潭，盘龙山庄的价格在350以下比较合适（我说的是标间）。早餐很丰富。', '短评打分': 3}
{'短评内容': '真的还不错哦~~~我喜欢', '短评打分': 3}
{'短评内容': '对于湘潭市来讲，盘龙山庄绝对是超出预期值的。但美中不足的是，酒店的管理有点更不上，如果请一个国际性的大公司管理的话，将非常完美！&lt;br /&gt;\n早餐和西餐有点差，但扒鹅肝相当不错！', '短评打分': 5}
{'短评内容': '盘龙还可以，真的平面式的结构！很惬意！不错！不错！', '短评打分': 3}
