{'短评内容': '空调不管用，晚上冻死了，房间设施不行', '短评打分': 3}
{'短评内容': '十一期间去的，什么垃圾，还酒店，就是个招待所还差不多，服务态度很硬，好像欠他的一样，房间里到处是灰。携程上订的，不是有返现50吗？怎么没有？', '短评打分': 2}
{'短评内容': '十一期间去的，什么垃圾，还酒店，就是个招待所还差不多，服务态度很硬，好像欠他的一样，房间里到处是灰。携程上订的，不是有返现50吗？怎么没有？', '短评打分': 2}
{'短评内容': '周边环境好、卫生设施好，唯一不足是没有电梯。', '短评打分': 5}
{'短评内容': '房间还不错！什么都有！', '短评打分': 3}
{'短评内容': '离山门很近    楼下有院子  傍晚坐在楼下吹风看夕阳很是惬意', '短评打分': 3}
{'短评内容': '酒店很干净，服务人员也热情，停车场很方便,早餐非常丰富。', '短评打分': 5}
{'短评内容': '挺好的，人也热情', '短评打分': 3}
{'短评内容': '6＋还可以 ？就是位置有些偏不太好找', '短评打分': 3}
{'短评内容': '比较干净，房间也不小，一面面对高速路但是不吵，另一面面对小山，山上有很多橘子树，空气不错，就是应该出高速就拐入南侧的一条乡间小路上，通到这个家庭酒店，没有明显的标识和说明，所以走错路了，7月1日带家人及朋友入住13间房子，大家都评价都还可以，电话订25人晚餐稀饭、馒头、青菜220元，不贵吃的很舒服，缺点没有电梯，我们25个老人上楼费了点劲，要是有电梯以后去了还住这里。', '短评打分': 5}
{'短评内容': '家里人说酒店很干净，服务人员也比较热情，停车场很方便，下次去还住这家！', '短评打分': 5}
{'短评内容': ' 房间挺大也干净，很安静，可以睡个好觉。入住后晚上在景点门口走走，空气清新舒适。', '短评打分': 3}
{'短评内容': '此酒店服务不错，环境较好，就是网上介绍不完整，不够明确。总的来说还不错，给个8.5分。', '短评打分': 5}
{'短评内容': '酒店价格实惠，离景区很近，老板的服务态度不错，就是好像有点像家庭酒店。', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
