{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '很好的房间', '短评打分': 5}
{'短评内容': '早餐没有啊！酒店位置好的！', '短评打分': 4}
{'短评内容': '房间小，味道重，更主要的是服务态度太差还有房间一点不隔音', '短评打分': 2}
{'短评内容': '位置比较好，靠近地铁站  交通方便 但是卫生什么的不敢恭维', '短评打分': 3}
{'短评内容': '外滩，步行街很近，这价格可以接受了，环境不错', '短评打分': 5}
{'短评内容': '小酒店，入住率不太高，但安全性感觉还不错，没有乱塞小广告的。老板娘很亲切。离店办事还可以免费寄存行李。', '短评打分': 4}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '淋浴不好，固定有问题，进屋有臭味，窗临路很吵又没纱窗，11月中还有蚊子，洗澡拖鞋也没有，只是胜在酒店的地理位置。', '短评打分': 3}
{'短评内容': '淋浴不好，固定有问题，进屋有臭味，窗临路很吵又没纱窗，11月中还有蚊子，洗澡拖鞋也没有，只是胜在酒店的地理位置。', '短评打分': 3}
{'短评内容': '淋浴头不好洗，固定不了，没有可以洗澡的拖鞋，窗临路很吵，11月还有蚊子，最受不了的就是一进房有臭味，只是胜在酒店地理位置。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间有受潮的味道，两天没见到香皂，还特意和前台说过...', '短评打分': 2}
{'短评内容': '不错，就是有点贵', '短评打分': 5}
