{'短评内容': '价格不贵，每天都有人收拾房间，比较不错', '短评打分': 5}
{'短评内容': '环境设施一般，其他都挺好的，也挺干净', '短评打分': 5}
{'短评内容': '西苑快捷酒店真的很干净，房间设备完善，经济实惠，五星好评', '短评打分': 5}
{'短评内容': '酒店的位置很好找，导航过去的，周边有饭店，家家悦超市，还是很方便的，停车场不算很大，不过也够停的，威海的空气很舒服，下次去还会选择这个酒店！', '短评打分': 5}
{'短评内容': '酒店临街交通方便,房间狭小，淋浴离马桶太近不太方便，其他还好。没有早餐。', '短评打分': 4}
{'短评内容': '订了4天的家庭间，带着一家老小去威海玩了5天，除了厕所没窗没排风扇没门垫其他都不错', '短评打分': 5}
{'短评内容': '服务很好  卫生不错 设备很齐全', '短评打分': 5}
{'短评内容': '好好的好好的', '短评打分': 5}
{'短评内容': '没有电梯，洗澡水太小了，其他还行。', '短评打分': 4}
{'短评内容': '很好，感觉很干净', '短评打分': 5}
{'短评内容': '酒店位置不错，周围公交车很多。去哪儿都方便。卫生还可以，隔音稍差，邻近主干道，没法开窗，否则会很吵。附近有大超市哦，出行方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，周围公交车很多。去哪儿都方便。卫生还可以，隔音稍差，邻近主干道，没法开窗，否则会很吵。附近有大超市哦，出行方便。', '短评打分': 5}
{'短评内容': '隔音效果一般，其他的都不错', '短评打分': 3}
{'短评内容': '你的人。你是我们最好的一面。你的时候我会告诉你们这个世界观人生观价值观是我', '短评打分': 5}
{'短评内容': '经济    实惠     干净', '短评打分': 3}
{'短评内容': '性价比高，交通方便。', '短评打分': 3}
{'短评内容': '延住勾选了代金劵也无法返现，一定要下新的订单', '短评打分': 5}
{'短评内容': '.今晚已入住，谢谢！', '短评打分': 3}
{'短评内容': '很好，特别干净', '短评打分': 3}
{'短评内容': '酒店干净，整洁，服务态度较好！感觉不错！', '短评打分': 3}
{'短评内容': '酒店卫生条件很好，有免费的停车场，服务态度也很好，唯一的不足是隔音有些不太好。总体来说还是很推荐的。', '短评打分': 5}
{'短评内容': '感觉非常好，很干净，所以推荐。感觉非常好，很干净，所以推荐', '短评打分': 5}
{'短评内容': '挺干净的，而且什么都有，这个价格住这样的酒店很划算。唯一就是早上总能听见做清洁的阿姨在门外说话，而且她每天都会进房间打扫，给我们换拖鞋，铺被子等等。', '短评打分': 5}
{'短评内容': '不错的酒店，价格合适，卫生干净，交通很方便', '短评打分': 3}
{'短评内容': '酒店不大，还不错，卫生条件，服务态度都可以。就是隔壁ktv有干扰，希望管理一下。', '短评打分': 5}
{'短评内容': '不错不错 老板娘很热情 房间新装修的 干净 只不过比较小', '短评打分': 3}
{'短评内容': '一个字：值；两个字：超值。\n主要表现在：房间干净整洁、服务态度好、提供停车位', '短评打分': 5}
{'短评内容': '环境很好，窗外是花园，内部装修简洁温馨，离市中心近啊，交通那个便利呀', '短评打分': 3}
{'短评内容': '位置不错，但是酒店的服务太差劲，前台的人就想欠她钱一样，隔音效果差，走廊的人说话你都能听得清清楚楚，床咯得慌..........', '短评打分': 1}
{'短评内容': '酒店真的不怎么样，前台的态度很差劲，感觉我欠他钱一样.......   房间内的床还不舒服，咯得慌，房间的隔音效果差，走廊里有人说话听得清清楚楚，二楼的客房晚上能听见一楼KTV的人唱歌，半夜吵得人睡不着..........', '短评打分': 1}
{'短评内容': '挺干净的，不错', '短评打分': 3}
{'短评内容': '装修的环境还不错，应该是新装不久的，缺点是楼下有个KTV晚上会有声音，如果介意的可以选择住在3、4楼，我当时住在2楼声音有些大，总体来说还不错，如果接待人员再专业一些就更好了！', '短评打分': 5}
{'短评内容': '不满意，服务员一大姐势利又事儿多，明明我网上订的标准间房间写明可以上网，到她那儿就硬生生的说不能上网，上网要么多交钱，要么去单人间。神啊，那是单人间嘛，小的进门就是床，整个房间只有一个小小的床头灯，门缝有两厘米，床单明显没换有头发沾满衣服绒毛。这些都算了，退房的时候明明说到点赶车麻烦快一点，况且门口不好打车，结果还是让怠慢的服务耽误了，遇到这种极品大姐真是无语！！！', '短评打分': 1}
{'短评内容': '就是 价格实惠  其他的没有可以好说的了 可以推荐的', '短评打分': 5}
{'短评内容': '话说服务还是比较好的，窗外大山的风景不错，就是有点吵。走路到海边20分钟，稍微远点。', '短评打分': 5}
{'短评内容': '规规矩矩的一家快捷酒店，没什么特点，胜在交通便利。入住时询问酒店是否能刷卡，服务员告知正在修理机器，等结账时可以刷卡。结果住了4天也没有修好，非常不方便。', '短评打分': 1}
{'短评内容': '非常好，强力推荐~住着干净舒服，房间很温馨。服务态度很不错的说', '短评打分': 5}
{'短评内容': ' 挺好的小酒店…装饰的比较温馨，交通也很方便，性价比很高', '短评打分': 3}
{'短评内容': '室内装修不错，房间很干净！感觉很舒适！我以后出差都\n会来这住!', '短评打分': 5}
{'短评内容': '刚装修好的酒店，整洁干净，很有回到家的感觉，整体的色调非常温馨。淋浴喷头、水温、下水、床铺、地理位置与交通等各方面都很满意。\n不足之处：盥洗盆上的水龙头出水量太小；房门的隔音效果太不理想；中午退房不能延迟到2点；\n其他都满意，推荐！', '短评打分': 5}
{'短评内容': ' 交通便利,也挺安静,房间很干净,性价比高,不错', '短评打分': 3}
{'短评内容': '房间整洁干净，而且床睡着很舒服，建议卫生间内洗澡的区域单独隔一下，不然水淌一地，很容易滑倒。旁边有个比较大的饺子馆很不错。\n', '短评打分': 5}
{'短评内容': '服务周到，价格合理，比较干净，就是晚上有点吵', '短评打分': 5}
{'短评内容': ' 价格低一些 卫生间太小了 还赶上修路！！停水！！晕！！', '短评打分': 5}
{'短评内容': '西苑酒店的确不错。干净卫生 服务也不错', '短评打分': 3}
{'短评内容': '客房干净整洁，不错！', '短评打分': 3}
{'短评内容': '不错，离海边很近。房间干净，吃饭购物都还方便。', '短评打分': 5}
{'短评内容': '前台服务友好热情。酒店位置优越，交通比较方便。房间设施齐全：网线、空调、电视机，甚至连吹风机都有。房间内干净整洁。住得很舒服。', '短评打分': 5}
{'短评内容': '位置很好，闹中取静，新装修的很干净，设备设施也不错，就是卫生间下水不是很畅通。总之很满意，同行的都说不错。', '短评打分': 5}
{'短评内容': '新装饰的，干净整洁，交通便利，离夜市、码头也较近，推荐！50字50字50字50字50字50字50字50字50字50字50字', '短评打分': 5}
{'短评内容': '酒店很干净 离码头也不远  很不错 下次还会入住', '短评打分': 5}
{'短评内容': '干净整洁，出入方便，周边公交较多。服务周到，新酒店。', '短评打分': 5}
{'短评内容': '很喜欢这家酒店的风格！也很实惠！地理位置不错，离哪里都很近！闹中取静！', '短评打分': 5}
{'短评内容': '装修很现代！房间不是太大，但设计的还可以！没有缺点！强力推荐！', '短评打分': 5}
{'短评内容': '位置不错，地处市中心闹中取静的位置，到滨海公园只有2公里吧。是今年新装修的，房间很干净、装修很新，作为快捷酒店该有的设施都有了。卫生间没有干湿区，下水有点不畅，一会就满地水了。服务态度基本还好，房间面积比较小，当然价位摆在这里，总之很超值，下次去威海还会考虑住在这里。', '短评打分': 5}
{'短评内容': '地理位置很好，房间大小也可以，不过是临街的房间会有点吵，总体来说服务还是不错的~~', '短评打分': 5}
{'短评内容': '酒店还可以 还比较方便 值得大家选择 房间不是太大', '短评打分': 5}
{'短评内容': '性价比高，交通很方便，服务很好。早餐需要加强，当天早餐鸡蛋都没熟。', '短评打分': 5}
{'短评内容': '位置不错, 环境整洁干净, 就是停车要当心, 最好听到后院或隔壁的停车位里, 别学人家在酒店门口停车, 警察来了可不讲情面!', '短评打分': 5}
{'短评内容': '房间有点潮，但是很干净。服务比较好，老板挺热情的。但是洗澡的热水很小，而且下水很慢', '短评打分': 5}
{'短评内容': '价格还行, 位置不错, 房间较大, 可容纳一家三口, 也比较干净, ', '短评打分': 5}
{'短评内容': '还行，，，房间有点小，，，，晚上有打电话要不要足疗的。。。。。。', '短评打分': 5}
{'短评内容': '该酒店设施感觉像是新装修一样，干净整洁，淋浴的热水也很大，晚上周围环境相对还是很安静。这样的价格为物超所值！强烈推荐！', '短评打分': 5}
{'短评内容': '环境不错 房间小了一点  刚装修的 就是有的没有网线这个很不好', '短评打分': 5}
{'短评内容': '条件不错，性价比高。干净，网络快，设备新（新装修），服务态度好。房间需要打扫的时候叫服务员就可以了，不会轻易打扰客人。', '短评打分': 5}
{'短评内容': '强烈推荐，酒店设司很新，很干净，离码头仅五站，打车十元以内。晚上比安静。这样的价位太值了。\n(四川电力调试所刘代祥)\n', '短评打分': 3}
