{'短评内容': '住宿条件还不错，早餐有待改进，服务态度很好！', '短评打分': 5}
{'短评内容': '因为考雅思所以要定山大千佛山校区附近的酒店，我的评价是非常不错~\n隔音确实不好，但是好在我住的时候并没有太被打扰，只是有一天晚上隔壁电视声音很大，过了一会也就好了~\n地理位置很好，并不难找，打车到考点也就5分钟多吧，起步费，很近很方便\n周围吃的东西，小吃多，但是正儿八经的饭店不多\n住的设施挺好的\n总体来说我觉得物超所值~！性价比非常非常高！', '短评打分': 5}
{'短评内容': '地理位置不错，坐车方便，但环境稍微差一点，装修稍旧。', '短评打分': 5}
{'短评内容': '周围的吃饭、购物以及交通都很便利，环境很好，卫生条件我特别满意，这次住宿是出游几天最舒服的一天。', '短评打分': 5}
{'短评内容': '酒店除了隔音不好，位置有点难找之外其他的还行。', '短评打分': 5}
{'短评内容': '整体环境还不错，房间也挺干净，很舒服！推荐一下！', '短评打分': 5}
{'短评内容': '宾馆的服务和设施还是不错的，早餐也还可以，这个价位很适合家庭自费的人入住。出了门就是市场，买小吃很方便，就是周边环境差了点，主要还是市场的缘故。\n出门向东100米是民族大街，路口南边的老张家常菜的老板娘热情厚道，饭菜价格也实惠。路口北的海龙饭庄的女老板态度很恶劣，不但饭菜价格很宰人，吃完饭要发票时居然把发票的兑奖联都撕了自己留下。', '短评打分': 5}
{'短评内容': '酒店房间干净卫生，服务热情，就是门前的路太差了！', '短评打分': 3}
{'短评内容': '位置挺好的  \n\n房间比较干净卫生\n\n就是房间空间比较小\n\n服务员态度一般', '短评打分': 5}
{'短评内容': '十卫生挺干净房间隔音效果欠佳', '短评打分': 3}
{'短评内容': '交通方便，吃饭很方便，楼下有个市场，不过隔音效果一般', '短评打分': 5}
{'短评内容': '酒店不错，就是设施旧了点，客服很贴心，，，离考点不远', '短评打分': 5}
{'短评内容': '地点比较偏僻，房间隔音效果较差，早餐不怎么样。自驾的朋友开车请注意酒店所在的道路非常狭窄。', '短评打分': 1}
{'短评内容': '条件不错，服务态度好，房间隔音不好，空调噪音大。', '短评打分': 3}
{'短评内容': '服务态度还好\n房间隔间太差，半夜里有人喝醉酒发酒疯，吵得一层楼没睡好', '短评打分': 1}
{'短评内容': '酒店在一条小巷子里，好难找啊，早餐特单调，大厅没暖气', '短评打分': 1}
{'短评内容': '杯子刷的很不干净，前台服务态度不热情，电视信号不稳定，感觉连一百都不值', '短评打分': 3}
{'短评内容': '态度很好，服务也周到。房内色调宜人。不错的酒店。', '短评打分': 5}
{'短评内容': '位置在市中心，去几个景点方便，如泉城广场，趵突泉，我们都是晚上去的；千佛山是利用等回程火车前三四个小时去的。\n酒店洗澡水小，电视看不了，无信号', '短评打分': 5}
{'短评内容': '很干净，服务不错。主要是位置，正好就在要去的地方对面，很方便。', '短评打分': 5}
{'短评内容': '酒店在小巷子菜市场内里，不是很好找，但电话至前台询问时接待人员语气亲切，感觉不错。酒店卫生整洁，可充分体验一下济南老百姓的生活一面。', '短评打分': 5}
{'短评内容': '国庆聚会帮朋友订的这家酒店，位置还算优越，门口就是菜市场、金德利吃饭很方便，去附近植物园、英雄山都挺方便，火车站有直达公交车，服务质量和住宿条件的确是差点，不过这个价位在这个位置凑和一晚也算值了，下次朋友来还订这家酒店。 \n', '短评打分': 5}
