{'短评内容': '挺好的。环境，卫生，装潢，都挺适合年轻人的的几个。住的挺舒服。', '短评打分': 5}
{'短评内容': '很干净，大床房床很大，够一家三口住，但是房间没窗户，空间小，隔音差，暖气很热，早餐没吃不知道咋样，没电梯', '短评打分': 5}
{'短评内容': '酒店设计不人性，没有洗漱用品', '短评打分': 3}
{'短评内容': '空调和暖气都不好。晚上睡觉有点冷', '短评打分': 3}
{'短评内容': '房间很大，布置的很好，更适合男女朋友住，环境很浪漫。提个建议，219房间本身靠街，晚上碎觉挺吵(其实是很吵)，要么就换隔音窗户，要么给客人配备耳塞这种贴心的服务，门口四周的缝隙太大了，都要看进来了，冬天屋子里的空调一晚都开到30度，屋外的冷风还是嗖嗖的吹进来。如果暂时解决不了，期间房价就应该再合理一些，做优惠。近350元有些不合理，在屋内都一直没脱袜子。很冷', '短评打分': 5}
{'短评内容': '环境不错，态度好', '短评打分': 4}
{'短评内容': '还好还好', '短评打分': 4}
{'短评内容': '卫生不太好，被子都是脏的', '短评打分': 2}
{'短评内容': '性价比还是个很好的，在鸟巢附近能有这么划算的屋子很不错了，房间也比较大。', '短评打分': 5}
{'短评内容': '体验还不错，很宽敞，新装修，整体看着很新，附近也很安静', '短评打分': 5}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很好！就是设施比较差！Wi-Fi暂时无法使用！经过与前台沟通！才能收到！前台美眉很热情！单纯住宿不错！值得推荐！', '短评打分': 4}
{'短评内容': '干净卫生 ，环境优美', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '房间小就算了，洗漱台居然没水', '短评打分': 3}
{'短评内容': '还不错～离地铁稍微需要自己百度地图找一下～但还是蛮近的～因为在国际会议中心开会所以离得很近。房间有暖气都不用开空调了很舒服。服务也很不错哦～', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '温馨', '短评打分': 4}
{'短评内容': '无线网网络时有时无。卫生间洗脸器下无存水弯，有异味！', '短评打分': 3}
{'短评内容': '还不错，性价比可以，网速很快，就是热水不太稳定', '短评打分': 5}
