{'短评内容': '房间比较多，服务一般', '短评打分': 4}
{'短评内容': '卫生间干湿不分离', '短评打分': 4}
{'短评内容': '服务态度不端正心态极大问题，', '短评打分': 3}
{'短评内容': '在郊区环境清幽', '短评打分': 4}
{'短评内容': '只是位置比较偏僻。其实也不算偏，主要是周围没有什么商业，买东西、吃饭颇感不方便。 客房条件很好，不是接待会议时，住客较少。很清静。', '短评打分': 4}
{'短评内容': '值得推荐，很好', '短评打分': 5}
{'短评内容': '值得推荐，很好', '短评打分': 5}
{'短评内容': '性价比高，美中不足就是交通不便，餐饮也离得有些远。', '短评打分': 5}
{'短评内容': '最近经常定这个海螺酒店，新酒店，酒店设施很不错，而且价格也比较合理，很喜欢这里，就是早餐太简单了一点，希望品种再能丰富一点', '短评打分': 5}
{'短评内容': '酒店时间比较久了。', '短评打分': 2}
{'短评内容': '出差入住，性价比很高，只是附近吃饭不太方便', '短评打分': 5}
{'短评内容': '总台没有手机充电器价格还可以，房间还可以，水很大，早餐很差', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以 就是位置有点偏', '短评打分': 4}
{'短评内容': '浴室没有花洒 其他的还好吧', '短评打分': 3}
