{'短评内容': '不错的酒店，就是空调好像不太冷，也没有配套的牙膏和牙刷', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床铺很干净，但有房间没有朝外的窗。离香洲码头很近，去海岛方便。', '短评打分': 5}
{'短评内容': '还不错，就是感觉厕所有点小~~~~~~~~~~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '我们住的是603，房间设备都不错，有大电视有吹风筒，配置洗刷用品需要付钱才能使用。洗漱太是开放式的，厕所和浴室是分开的，但是两室之间是透明玻璃间隔。这家酒店离情侣路很近，5分钟就到香洲港了，国庆价格高一些，平日价的话过来入住不错。', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 3}
{'短评内容': '双人房的窗口根本就不是窗口，太压抑了.双人房的窗口根本就不是窗口，太压抑了', '短评打分': 1}
{'短评内容': '这家酒店 房间，很干净，服务很好，让我非常满意。很温馨，LP说以后小窝就要这样装修，套房真的很实惠！', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '虽然周末是168一晚，但是隔音也太差了吧，开水龙头的声音，隔壁的叫床声，住四楼但楼下的行人声！！简直一晚都没有睡！厕所真的小得可以！！！完全没有下次~~ 不过有点还好的是，装修算新，房间算干净。', '短评打分': 1}
{'短评内容': '地理位置还可以，房间的设施的卫生还凑合就是房间太小了，价格还是算高了应该可以再便宜些，服务态度还行。', '短评打分': 1}
{'短评内容': '位置不错，价格比较合理。标准房有点小，隔音一般。', '短评打分': 5}
{'短评内容': '隔音太差了。连隔壁房说话的声音都听到。更不要说门外的人说话了！热水也不行。一点都不热。已经调到最大了。', '短评打分': 1}
{'短评内容': '比较新的酒店，灯光明亮，感觉还可以，就是房间布局不太对，进门就是床了，人躺在床上离房门太近，感觉像睡在大街上，窗户外面是走廊，只能看见走廊的地面和离地一尺高的空间，要是刚好有人走过，就只能看见人家的脚了，拜托千万别穿绣花鞋来这里哟！', '短评打分': 5}
{'短评内容': '还行，一般。', '短评打分': 3}
{'短评内容': '不能上网，反应给他们，说是我电脑的问题，郁闷的很。到别家宾馆都没问题。自己公司上网也没问题。服务意识差。', '短评打分': 1}
{'短评内容': '在离情侣路不远的地方，周围环境一般，但房间设施很好，很干净也很温馨，我和LP都一致认为是我们这次广珠深之行最好的一个酒店，性价比不错。', '短评打分': 5}
{'短评内容': '地址要更新.导航上没有该酒店,要用梅花园酒店才能用导航到达附近.', '短评打分': 5}
