{'短评内容': '一般般还算可以', '短评打分': 4}
{'短评内容': '房间宽敞舒适，交通便利，有小车位停车，对面有酒楼饮茶，下一次来还继续。', '短评打分': 5}
{'短评内容': '还不错，房间蛮大，蛮干净', '短评打分': 5}
{'短评内容': '挺不错的，服务挺好，早餐还有待改善，希望品种多样化学元素', '短评打分': 5}
{'短评内容': '交通便利，环境好。', '短评打分': 5}
{'短评内容': '地段位置好，价格便宜，性价比很高，好', '短评打分': 5}
{'短评内容': '交通方便，房间大', '短评打分': 3}
{'短评内容': '性价比挺高的，总体不错', '短评打分': 4}
{'短评内容': '房间显然很久没睡人了，一股味儿，床头柜子竟然一堆垃圾在里面！！其他还行吧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '一间我住了好多年的商务酒店，以前床软干净卫生，现在更换是太慢了，床硬还偶尔有脏脏的污迹，比较好的就是电视空调等设备挺新的。真心希望酒店重视质量，重回以前的素质', '短评打分': 4}
{'短评内容': '非常不错。谢谢。', '短评打分': 5}
{'短评内容': '酒店房间设施比较优雅大方，以后还会推荐客户入住。', '短评打分': 3}
{'短评内容': '环节干静卫生、服务态度好、交通方便！', '短评打分': 5}
{'短评内容': '干净整洁～环境上好', '短评打分': 5}
