{'短评内容': '整体一般，设施陈旧，停车位较少，早餐券双份就一张，房间押金没开条却问我要，不够严谨！还有为什么要凑字数！', '短评打分': 3}
{'短评内容': '不错各方面都好', '短评打分': 5}
{'短评内容': '没什么好说的，就是一个字，差', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '早餐还可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般般，有些脏', '短评打分': 5}
{'短评内容': '干净洁白卫生，饮食很棒。', '短评打分': 5}
{'短评内容': '房间偏旧，服务很一般', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '出差住的，打车不好打', '短评打分': 3}
{'短评内容': '一般吧，涵江区出差，附近有吃饭的地方，打车很难', '短评打分': 3}
{'短评内容': '酒店总体不错，如果早餐丰富点更好。', '短评打分': 4}
{'短评内容': '性价比还是可以，就是该从新装修了', '短评打分': 4}
{'短评内容': '经常住这里，非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！？？？？！！？！！！！！', '短评打分': 5}
{'短评内容': '经常住这里，非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！？？？？！！？！！！！！', '短评打分': 5}
{'短评内容': '非常不错好！！！！！！！！！！！！！！！！！！！！！！！？？？？？！！！？？？？？？？？？！！！！！', '短评打分': 5}
{'短评内容': '一般吧，莆田涵江区就那样', '短评打分': 4}
{'短评内容': '酒店比较旧，设施也差，周边环境也不是很好，总体上看性价比低，不推荐。另外，，门缝里至少被塞进了二十张小卡片。。。。。。', '短评打分': 3}
{'短评内容': '真的很不错 蛮多小卡片', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我们的生活费的确是不是要求太原', '短评打分': 4}
{'短评内容': '这个酒店真的狠不错尤其是早餐相当棒，就是标双没电脑', '短评打分': 5}
{'短评内容': '性价比高，客房清洁，饭菜可口，价格合理。下次还住那里。', '短评打分': 3}
{'短评内容': '非常好，很不错，安静，舒服，是我在莆田住过的相当不错的酒店了', '短评打分': 5}
{'短评内容': '强烈推荐，此次出行休息最舒服的酒店，性价比很高，难得的是没KTV在楼下吵，福建旅行近1个星期了，这家是我们订的最成功的酒店！顺便提下，酒店的菜肴也是十分的实惠，面可是一大盆的上哦！', '短评打分': 5}
{'短评内容': '服务不错，设施很新很洋气。。房间也非常宽敞。。地毯对好。就是出来吃饭不方便', '短评打分': 5}
{'短评内容': '服务一般，房间设施差一点。没有冰箱也没有保险柜等。其他的还可以。', '短评打分': 5}
{'短评内容': '酒店较新，配备比较好的，这个价位来说很不错了，差不多相当于四星级的水平了。', '短评打分': 5}
