{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '环境还行啦，位置真的挺好的 ，看演唱会超级方便。交通也真的挺方便', '短评打分': 4}
{'短评内容': '还不错 离演唱会现场比较近', '短评打分': 5}
{'短评内容': '房间异味重，有的还漏水。。设备简陋', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '明明注明有送双早，但到酒店后却说没有含双早的，假信息。', '短评打分': 3}
{'短评内容': '不推荐，。 ', '短评打分': 3}
{'短评内容': '酒店干净、床型大，适合全家出游临时落脚、洗漱，酒店位置也不错，靠近白鹭洲公园，交通也方便;酒店外贴满了拆字    ', '短评打分': 5}
{'短评内容': '酒店干净、床型大，适合全家出游临时落脚、洗漱，酒店位置也不错，靠近白鹭洲公园，交通也方便，就是酒店外环境差一点。', '短评打分': 5}
{'短评内容': '房间里还行，就是太热，蚊帐止不住蚊子，然后在携程上收了一个房间的担保，和第二个房间的房费，按道理只用在收取一个房的费用，前台收了两个房间的，还说携程会全退，差评，乱收费，不讲信用，还好是携程客服说酒店拒绝退款，携程直接退给我们，你们这是趁机吃钱', '短评打分': 2}
{'短评内容': '房间里还行，就是太热，蚊帐止不住蚊子，然后在携程上收了一个房间的担保，和第二个房间的房费，按道理只用在收取一个房的费用，前台收了两个房间的，还说携程会全退，差评，乱收费，不讲信用，还好是携程客服说酒店拒绝退款，携程直接退给我们，你们这是趁机吃钱', '短评打分': 2}
{'短评内容': '不错的酒店，这个价位的房间满值的，服务态度还行，就是前台的服务的对自己酒店的了解不够，咨询酒店的房间的情况，酒店的位置什么的都不清楚', '短评打分': 5}
{'短评内容': '豪华房间一般，就和普通标间一样', '短评打分': 3}
