{'短评内容': '停车方便，环境不错。', '短评打分': 5}
{'短评内容': '停车场挺大的，可以免费停车，大厅特别的大，还有很多小商品可以购买，前台有位值班经理人特别好，还帮我代收快递，很感谢', '短评打分': 5}
{'短评内容': '房间很大很宽敞，早餐味道很好，服务员也很热情，打扫房间的阿姨人特别好，看到我感冒了，还主动问候，提醒多穿衣多喝水。', '短评打分': 5}
{'短评内容': '早餐真的特别好，种类特别多，炒菜，牛奶面包，还有胡辣汤，可以自己煎蛋，炸的油条味道也特别好，还有水果，真的挺好。', '短评打分': 5}
{'短评内容': '房间干净整洁，床很柔软，睡起来很舒服，卫生间也很大，热水温度很适合洗澡，特别舒服，最喜欢房间床头的那幅画，感觉很有意境，挺好的。', '短评打分': 5}
{'短评内容': '京东购物是我不二的选择！谢谢京东！', '短评打分': 5}
{'短评内容': '郑州房价还是挺贵的。不值这个价', '短评打分': 5}
{'短评内容': '为什么要6个字才能提交？', '短评打分': 5}
{'短评内容': '非常满意年押金，环境很好！', '短评打分': 5}
{'短评内容': '不错，很好，就是价格高', '短评打分': 5}
{'短评内容': '酒店配置一般般，不过旁边也没什么好的酒店了，真是别别别', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '给老公订的，他还挺满意！', '短评打分': 4}
{'短评内容': '酒店有點舊，大堂居然沒有洗手間，而且是和其它企業辦公混合在一起。', '短评打分': 2}
{'短评内容': '不错的感受，位置很好找。离地铁口近，房间整洁', '短评打分': 4}
{'短评内容': '非常满意。', '短评打分': 5}
{'短评内容': '设备全，但有些旧了。', '短评打分': 4}
{'短评内容': '感觉条件一般', '短评打分': 4}
{'短评内容': '外面天气很冷，酒店里面很暖和。', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
