{'descr': '还可以房间挺大的', 'star': 5}
{'descr': '老地方，熟悉的感觉！', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '位置有点远其他都还好好。', 'star': 5}
{'descr': '还可以不出', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '很好，好好好', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '京东的服务是很好的服务，值得称贊。', 'star': 5}
{'descr': '很好很好，一直京东订房又快又方便的', 'star': 5}
{'descr': '考试去那边住，离考试学校20-30分钟步行行程，周围环境稍稍荒凉了一些，不过本来闵大荒也不繁华。反正考试暂住一晚的，总体来说还是性价比比较高的。', 'star': 4}
{'descr': '没什么说的，锦江之星环境各方面都很好，住着很舒服，吃饭的话蛮方便的，就在吴泾镇的核心地带，交通也方便！', 'star': 5}
{'descr': '不是太好，周边环境较乱，设施较旧', 'star': 3}
{'descr': '周边环境一般，地处老镇！', 'star': 4}
{'descr': '还好还好还好', 'star': 5}
{'descr': '还可以吧，在镇上', 'star': 4}
{'descr': '一般，主要送弟弟，凑合着住没问题', 'star': 3}
{'descr': '房间很好很干净，锦江之星一如既往的好，房间也很安静的不会打扰休息，服务态度也很好，位置也是不错的，出行比较方便，下次到这边还会选择这的。', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '推荐，华师大附近，每次看我女朋友住这里，这次去马桶坏了。。。哈哈，也没返卷。条件还可以。', 'star': 5}
{'descr': '我定的是标间B，很早就预定了，但是去了之后前台说没有标房了只有大床房。。。没有办法，总不见得流落街头吧，房间在三楼，居然没有电梯，箱子是我自己提上去的。打开房间更是傻眼，非常陈旧，被子感觉也很旧，而且紧邻对面的居民区，估计直线距离不足2米，房间的床头灯也是坏的，立马打电话询问是否还有标间A（新装修的），差价还挺大，对方称没有了。房间吹风机没有，整个酒店也就一个，询问的时候已经被人借走了，等此客人还', 'star': 1}
{'descr': '，员工态度和蔼，房间干净，交通较方便，总体不错。', 'star': 3}
{'descr': '有点吵后面好像是个洗浴城价位态度还可以', 'star': 3}
{'descr': '有点旧了，虽然交通很方便，但整体硬件实在需要改善，这价格住同地区速8，7天性价比更高', 'star': 3}
{'descr': '酒店人员态度很好、环境卫生很好。总结就一个字“好”', 'star': 5}
{'descr': '干净，房子不错，位置好，外面热闹，里面安静。设备少，各种小东西不多，没电脑，没Tt', 'star': 3}
{'descr': '南京天星楼宾馆2012.4.2-4入住，位置好、交通方便、性价比高;酒店虽12：00退房，但是可以免费存放行李，不耽误行程。', 'star': 5}
{'descr': '＋比较干净，离我老婆学校很近，下次还住这里。', 'star': 3}
{'descr': '还可以,环境不错!', 'star': 3}
{'descr': '除了在夫子庙里面外，其他条件太差，像个招待所，住的后面的天源楼，晚上灯都不开，感觉好阴森晚上~建议给走廊铺上红地毯，房间里面的墙壁太脏了，好歹刷刷挂个壁画什么的啊', 'star': 1}
{'descr': '环境好 价格实惠 只是周围店面比较少好吃的不多', 'star': 5}
{'descr': '好!干净舒服.', 'star': 3}
{'descr': '总体来说环境不错，设施齐全，服务周到，主要是艺考方便。', 'star': 5}
{'descr': '环境比较嘈杂但交通还算便利，过得去吧', 'star': 3}
{'descr': '比较差,除了地段,没什么可推荐的.保安很强大,对任何人没好脸色,白天没空调,这么冷的天打个文件差点冻死我.', 'star': 1}
{'descr': '该酒店就在夫子庙（瞻圆）旁，位置非常好，有个好大的院子有免费停车场，闹中取静。是单位的堷训中心，只是房间设施比较旧，但是这个价格在这个地段值了。', 'star': 5}
{'descr': '酒店环境很不错', 'star': 3}
{'descr': '优势就是位置好，离夫子庙非常近，很方便。价格一般。房间小点，设施就一个字：旧！', 'star': 3}
{'descr': ' 环境不错 就是没有一次性拖鞋 整体不错 值得一住', 'star': 3}
{'descr': '挺好的 值得推荐 价格不是便宜 周边具有优越性', 'star': 5}
{'descr': '相对还好，就是实习生有点多，业务不够熟悉', 'star': 5}
{'descr': '总体感觉还好，下次还是会选这里，不过要住标A间', 'star': 3}
{'descr': '位置真滴很不错 虽然里面有点陈旧 不过还算干净 这个价位 这个地段 很值了！不过这个酒店不能刷卡 要付现金滴。。。', 'star': 5}
{'descr': '房间很小，有一股霉味，设施非常简单，房费应该是100元左右才合适。地段好，离夫子庙2分钟路程，闹中取静，停车很方便。', 'star': 3}
{'descr': '地段很好，停车方便，房间实在太破！', 'star': 3}
{'descr': '地理位置不错，旁边就是夫子庙，很方便。\n内部条件么，太一般，能住，但是比较安静。', 'star': 5}
{'descr': '不错是个闹中取静的好地方.去哪儿都方便.周边有很多馋人的风味小吃.', 'star': 3}
{'descr': '真的很一般的酒店，房间很小，唯一优点就是环境还比较安静。连三星级酒店的标准都打不到，墙面上有霉斑，灯罩是破的，毛巾是破的，连天花板都掉了一块漆……无语了。', 'star': 1}
{'descr': '房间挺干净的，很温馨，有家一样的感觉。', 'star': 3}
{'descr': '交通便利，但不是很安静。附近类似这样条件好点的宾馆几乎没有。', 'star': 5}
{'descr': '锦江之星嘛。大家都清楚，主要是价格适中，适合不是很讲究的旅游人群，中规中矩，没什么可以多说，住那里主要是离要去办事的地方很近，附近也没有什么像样子的旅馆。', 'star': 5}
{'descr': '总体不错。周边是剑川路，环境有点嘈杂而已。\n酒店干净整洁，新开的，很多东西是新的。\n服务人员态度很好。\n附近就是公交车站，离吴泾商业街也不远。\n在吴泾地区，锦江之星是一个不错的住地。\n当然，期待有更好的旅馆出现。', 'star': 5}
{'descr': '干净整洁，离吴泾商业街很近。附近车站去地铁也方便。关键是价格便宜。\n比周边小旅馆档次还是高不少的，价格只贵了几十块钱。\n来吴泾出差或办事，住在锦江之星应该是不错的选择。', 'star': 5}
{'descr': '房间很卫生。房间很卫生。\n房间很卫生。房间很卫生。\n房间很卫生。房间很卫生。\n房间很卫生。房间很卫生。\n房间很卫生。房间很卫生。', 'star': 5}
{'descr': '位置非常好，就在瞻园附近，闹中取静。只是房间有点旧。早上那位前台小姐也很帮忙', 'star': 3}
{'descr': '环境幽静，卫生好，房间大，距夫子庙百米，购物旅游方便', 'star': 5}
{'descr': '似乎以前是招待所的样子，房间老旧。但是地理位置真的很好，也可以停车。', 'star': 5}
{'descr': '服务差：房间没有网线要客人自己去总台去取；\n设施差：订的两个房间潮到墙皮都掉了，霉味刺鼻；', 'star': 1}
{'descr': '从机场过来到这是比较方便的，秉承着锦江之星一贯的优良风格，值得一住。', 'star': 5}
{'descr': '还行，还行，还行，还行，还行，还行，还行，还行，还行，还行，还行，还行，', 'star': 5}
{'descr': '酒店本身环境很好，只是地段是在一个娱乐城旁边，半夜很吵，第一天晚上有人打架，吵得没法睡~不过总体还是不错啦', 'star': 3}
{'descr': '很好很好很强大，很好很好很强大很好很好很强大', 'star': 5}
{'descr': '位置很好设施较陈旧', 'star': 3}
{'descr': '位于夫子庙东门，离美丽的瞻园一步之遥。闹中取静，整体环境像进了大学校园，前台客服也挺热情。缺点是内部装修比较陈旧，卫生做的不够到位，卫生间一直有股奇怪的味道。', 'star': 5}
{'descr': '闹市中取静，原为航空部门内部招待所之类', 'star': 3}
{'descr': '新的装修，稍有味道。但地理位置很好，离夫子庙走路只要2-3分钟。是个闹中取静的地方。不错。', 'star': 5}
{'descr': '天星楼除了地方离夫子庙近，房间过于陈旧', 'star': 3}
{'descr': '工作人员不诚实，不能提供满意的服务，我们定过的酒店，说没有定，而且改资料，把我们安排到等级差的房间', 'star': 1}
{'descr': '地点不错，就在夫子庙内，整体环境还可以，闹中取静。但室内环境一般，只能是一般了，室内的设备也很一般。如果10分满分的话，给个6分吧。', 'star': 5}
{'descr': '满意。', 'star': 3}
{'descr': '离瞻园的确近得超出我的想象，到夫子庙旅行很方便，还算安全，但是房间实在比较糟糕，价格便宜。', 'star': 1}
{'descr': '设施新，卫生还可以，有点偏远，价格在上海的锦江之星不算贵了，', 'star': 5}
{'descr': '卫生清洁，环境优雅，服务周到，出行方便，生活便利，价格合理。', 'star': 5}
{'descr': '就是学校招待所，硬件、服务完全符合招待所的标准，但是优点也很鲜明：地理位置好，就在夫子庙里面，环境超安静，洗澡水很大很热。不足之处床太小、价格贵了些。', 'star': 5}
{'descr': '该酒店服务态度很好！', 'star': 3}
{'descr': '简洁、干净、小了点，服务员态度较好，问你要不要去别的地方出差，可以代订锦江之星的旅店。\n', 'star': 5}
{'descr': '环境没有想象的好，住这里就是图离华东师大近，过了马路就是。总体上还算满意，不过屋子地板都是坏的！而且我订了两件，只有一件送免费的洗漱用品，另一件竟然不送！总体上性价比一般吧。。。', 'star': 5}
{'descr': '会向您的朋友推荐这家酒店会向您的朋友推荐这家酒店', 'star': 5}
