{'descr': '床换了新的，睡着很舒服，中央空调给力，房间好暖和。', 'star': 5}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好好好', 'star': 5}
{'descr': '好很好很好', 'star': 5}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '酒店不错，价格合理，唯独房间偏小', 'star': 5}
{'descr': '这次是最不愉快的一次，只能说太差了', 'star': 1}
{'descr': '价格实惠，京东上订的比会员还便宜。空间大，地理位置优越，但是就是无线不好使。。。。', 'star': 5}
{'descr': '很好！！！！！！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '房间比较小，还算精致，床单有点脏，卫生间很小，电梯只有一部，而且每次只能上五个人，非常不方便，周边比较荒凉，离轻轨站比较近。', 'star': 4}
{'descr': '网络差', 'star': 4}
{'descr': '无线网太慢', 'star': 4}
{'descr': '就这样吧', 'star': 4}
{'descr': '那么多房只有一部电梯，安全通道标识不清', 'star': 4}
{'descr': '感觉一般般', 'star': 3}
{'descr': '房价合适，房间比较大，总体良好。', 'star': 4}
{'descr': '差不多了', 'star': 3}
{'descr': '太冷，没暖气，中央空调没用，卫生间更冷，都没敢洗澡', 'star': 5}
{'descr': '房间非常大、设施较旧。返现后95元超值。给携程赞一个！', 'star': 4}
{'descr': '干净，不错叮叮当当', 'star': 5}
{'descr': '有拖鞋，香皂，送矿泉水2瓶，有沙发 周围是工业区没啥玩的吃的 离火车站近 浴室是玻璃围的，不爽。。。现在没有开空调，但不是很冷\r\n感觉还算干净。。。服务啊。。。没感觉热情度一般。', 'star': 5}
{'descr': '位置不错,方便.\r\n没吃早餐,不知道怎么样.有宽带.', 'star': 5}
{'descr': '我喜欢  是我必须的选择 经济实惠 卫生也不错，', 'star': 5}
{'descr': '第二次入住啦，价格比较合适，被子有点潮湿，淋浴很不给力', 'star': 5}
{'descr': '酒店价格很优惠 房间还算可以 出行很方便', 'star': 5}
{'descr': '价格很合适，服务很好，房间也很干净。但是位置有点偏，床睡的也不是很舒服。', 'star': 5}
{'descr': '绝对超值~', 'star': 3}
{'descr': '酒店空调太弱，在屋里出汗，房间就像没有打扫，椅子和长沙发上还有瓜子皮头发.....还有很多污渍看了恶心.以后再也不住了.', 'star': 1}
{'descr': '方便快捷，我很喜欢，卫生不错，服务也不错，就是洗浴水龙头很多不能用，希望修理。', 'star': 5}
{'descr': '蛮好，推荐入住！168的价格，268的硬件，呵呵', 'star': 5}
{'descr': '酒店交通便利，环境还不错，卫生也很好，服务很好，被罩有点不干净，不过整体还行。', 'star': 5}
{'descr': '挺好的 在这订酒店是实惠很多神马会员都是浮云啊', 'star': 5}
{'descr': '酒店环境好，有特色，性价比高，隔音很好，很舒服。', 'star': 5}
{'descr': '性价比高，交通便利，位置优越，紧邻车站，滨海新区', 'star': 5}
{'descr': '这是第二次入住莫泰，感觉比以前有了更好的服务，态度有了很大改善，下次还入住～没有订到大床房有点儿可惜！', 'star': 3}
{'descr': '交通便利，酒店环境不错，服务良好，就是隔音有点差，价钱比较便宜吧，挺不错', 'star': 5}
{'descr': '酒店交通便利，环境卫生都不错，服务员态度很好，性价比高，来这住是个不错的选择。', 'star': 5}
{'descr': '半夜太吵，隔音十分不好', 'star': 3}
{'descr': '环境不错，价位便宜，很不错', 'star': 3}
{'descr': '房间挺干净的，卫生间也不错，就是房间隔音效果不怎么好，水龙头不好。距离轻轨站挺近的，交通还是很便利的。', 'star': 5}
{'descr': '房间挺干净的，卫生间也不错，就是房间隔音效果不怎么好，水龙头不好。距离轻轨站挺近的，交通还是很便利的。', 'star': 5}
{'descr': '环境不错，很清净，房间也很干净，服务也不错。 ', 'star': 5}
{'descr': '酒店很好，卫生，便宜，我喜欢。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '周边环境实在不怎么样，安静程度还可以，吃饭什么的基本要打车到三大街了。', 'star': 1}
{'descr': '环境不错，很清净，房间也很干净，服务也不错。', 'star': 5}
{'descr': '几乎每次来塘沽都住这家，性价比很高，唯一缺点就是电视信号太差了，十分不稳定，并且居然没有体育频道，欧洲杯啊', 'star': 5}
