{'短评内容': '位置还不错 很安静', '短评打分': 5}
{'短评内容': 'wifi用不了，设备都快坏了。', '短评打分': 2}
{'短评内容': '太老了，无线网络用不了，设备都快坏了。', '短评打分': 2}
{'短评内容': '1，卫生间洗漱设备简陋，洗漱用具不齐。2，马桶用一次堵一次。十分让人讨厌！如果再来深圳出差绝对不会再住这里。', '短评打分': 3}
{'短评内容': '卫生、安静满意。', '短评打分': 5}
{'短评内容': '呃', '短评打分': 5}
{'短评内容': '环境不错，离学校比较近。20楼的房间门很难打开，服务台叫人维修好了，可能是设施旧了。', '短评打分': 5}
{'短评内容': '就是便宜，酒店就那么回事', '短评打分': 5}
{'短评内容': '就是便宜，酒店也就是那回事儿吧', '短评打分': 5}
{'短评内容': '设施一般，住了两晚，第二天竟然没有补充基本用品，牙膏、厕纸都没有了！', '短评打分': 4}
{'短评内容': '服务态度很好，及时帮忙修改了订单，非常感谢。', '短评打分': 5}
{'短评内容': '可以，环境不错，离学校比较近', '短评打分': 5}
{'短评内容': '还可以，比直接从携程订便宜', '短评打分': 5}
{'短评内容': '总体还可以，酒店餐厅有待改善', '短评打分': 4}
{'短评内容': '房间挺好的。离桂庙近，吃的东西多。', '短评打分': 5}
{'短评内容': '可以，不错哦', '短评打分': 4}
{'短评内容': '可以，还不错啦', '短评打分': 4}
{'短评内容': '还不错，可以推荐咯', '短评打分': 4}
{'短评内容': '可以花几十块钱做饭咯', '短评打分': 5}
{'短评内容': '基本可以接受', '短评打分': 4}
{'短评内容': '一如既往的不错，这次还是给了个靠北方向的房间，大窗户，深大还有腾大，风景很不错！价格划算！楼下吃饭也方便！就是离地铁站稍微远点', '短评打分': 5}
{'短评内容': '很不好', '短评打分': 2}
{'短评内容': '比较旧 就酱紫吧', '短评打分': 4}
{'短评内容': '无', '短评打分': 3}
{'短评内容': '房间清洁，工作人员也热情。酒店位置很好，但是大门开到小区里面了，不熟悉的人还真的不好找。', '短评打分': 4}
{'短评内容': '周边环境还可以，相对比较安静，比较干净，离商业中心圈也比近，房间比较简洁，价位与整体配套设施稍稍贵了点。', '短评打分': 5}
{'短评内容': '大床房不错！', '短评打分': 3}
{'短评内容': ' 很舒服。就是贵了点。', '短评打分': 3}
{'短评内容': '客房不错，设施齐备，地点也很方便，就是隔天换的毛巾很烂，像抹布一样', '短评打分': 5}
{'短评内容': '干净、整洁，设施齐全', '短评打分': 3}
{'短评内容': '刮风下雨的时候门窗拼命的摇晃啊，吓得睡不着！\n唯一值得称道的是，豪华标间有露天阳台，可以晒衣服，还是不错的！', '短评打分': 1}
{'短评内容': '酒店不错，硬件很全，景色也好，就是没有冰箱。', '短评打分': 3}
{'短评内容': '总体来说不错，喜欢房间的大飘窗...就是房间的空调不太给力，晚上睡觉有点热...', '短评打分': 5}
{'短评内容': '不错的，住在高层可以看见深圳夜景。阳台的感觉很好！', '短评打分': 5}
{'短评内容': '酒店还算可以，不过住的当晚电闸里的一个接触器啪啪几声就坏了，虽然维修人员很快就上来修好了，还是吓了一跳，而且房间是点焦味，让人有点不安。酒店离深圳大学很近。', '短评打分': 5}
{'短评内容': '不是很好。首先装修非常简单，几乎没有装修。里面家居也很一般，几乎没有家居。我住的是最大的那种房，但依然觉得很小。厕所相当糟糕。如果不是地理位置靠近深大，这个房间下来也就100块以内可以解决。不推荐。', '短评打分': 1}
{'短评内容': '酒店位置不好找比较偏在小区里面·房间不错很舒服', '短评打分': 5}
{'短评内容': '性价比来说一般 豪华单人变标准单人 卫生间有点不干净', '短评打分': 5}
{'短评内容': '挺安静的，附近也有吃宵夜的地方，就价格来说已经挺不错了', '短评打分': 3}
{'短评内容': '环境很不错，但酒店里设施就不怎么好了，过于简陋，连个浴帽都没有，那些毛巾看着像抹布，虽然现在一般人都会自己带上，但看着也觉得有点恶心。被子也是，主要是颜色不好，显得又旧又脏。但住30楼的感觉还是很好的，深圳的夜景尽在眼底。', '短评打分': 5}
{'短评内容': '靠近深大西门，环境不错。吃的地方也多，晚上还有烧烤吃。', '短评打分': 5}
{'短评内容': '入住主要是因为地点合适，价格可以接受。设施太过于简陋，有味。', '短评打分': 1}
{'短评内容': '比预期的要差，洗澡不方便，房间也很小，还不如住其他便捷酒店', '短评打分': 1}
{'短评内容': '住宅楼改建的酒店，位置不好找，招牌不易发现，前台小姐一个个的板着个脸。房间内还行，有备用的毛毯。', '短评打分': 1}
{'短评内容': '这样的价钱，有这样的房间很不错了，而且周围也比较繁华，方便~~！', '短评打分': 5}
{'短评内容': '入住的套房，环境还可以，只是格局不是很好', '短评打分': 5}
{'短评内容': '屋内设施还好，空调不能用，隔音有点差，其他一切还好。交通便利，餐饮也多。总体来说，还算满意', '短评打分': 5}
{'短评内容': '地方有点偏僻,入住时的士司机找了很久,房间还好,也干净,隔音效果差一点.', '短评打分': 5}
{'短评内容': '没想到深圳没有暖空调，屋子冷得像冰窖，虽然有毯子依然无济于事。', '短评打分': 1}
{'短评内容': '环境优雅，内部设施一般，还算干净，性价比偏高', '短评打分': 5}
{'短评内容': '房间干净、环境安静、设施一般，满意。', '短评打分': 3}
{'短评内容': '实在是很破很旧，真不知道别的住客为啥说的嘎好', '短评打分': 1}
{'短评内容': '酒店房间很小，卫生间气味难闻，连房间里也有。床单被套是褐色，很不好看。相对来说价格偏高。只住了一天，换到深大正门对面桃园路上的南航富豪城大酒店，那里不错。', '短评打分': 1}
{'短评内容': '临近深圳大学，周围餐饮发达，有家百姓渔港味道不错，就是晚上比较吵，房间比较简单。', '短评打分': 5}
{'短评内容': '酒店楼层高，较豪华，能欣赏都市美景。就是房间不够大。', '短评打分': 3}
{'短评内容': '环境，交通各方面都不错，帮朋友定的，以后会长期选择', '短评打分': 5}
{'短评内容': ',还不错，很安静', '短评打分': 3}
{'短评内容': '物美价廉，学生挺多…一对一对的', '短评打分': 3}
{'短评内容': '比想像的条件好得多，我住了3天，下次还会来。', '短评打分': 3}
{'短评内容': '酒店服务不错', '短评打分': 3}
{'短评内容': '服务不错，楼层高房间也大，住了一个星期还是比较舒服的。离深大很近，交通相对方便。就是卫生间不是很大。毕竟是公寓么！', '短评打分': 5}
{'短评内容': '房间小，早餐差，最难忍受的是手机信号很差，会误事的.这样的价格，这样的酒店还有人给好评很奇怪了，优点只是离深大近，去深大办事的比较方便。', '短评打分': 1}
{'短评内容': '各方面还行。就是房间有疑似木柜的异味,窗外景色不好。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位置不错，视野也蛮好~~就是没有暖空调，如果天冷可能连澡也没法洗，建议注意。', '短评打分': 5}
{'短评内容': '服务不太好', '短评打分': 3}
{'短评内容': '该酒店干净、卫生、安全，服务态度好，交通也很便利', '短评打分': 5}
{'短评内容': '推荐朋友也住了，感觉不错，还是比较满意的，也还方便', '短评打分': 5}
{'短评内容': '还不错，挺干净，也很安静，就是不熟悉的人不太容易找到', '短评打分': 5}
{'短评内容': '靠近深大，非常方便，但是房间还是有点偏小的。', '短评打分': 5}
{'短评内容': '环境很好，服务业很好，离海岸城也很近，就是不容易找', '短评打分': 5}
{'短评内容': '洗澡干湿不分不好', '短评打分': 3}
{'短评内容': '这个酒店实在是有些太差，房间很小，设备极其不全，连制暖空调都没有。床头灯开关也没有。房间很小，地毯很脏。我住的还是豪华单间，简直就是廉价小间。以后再也不会住了。而且价格一点都不便宜。', '短评打分': 1}
{'短评内容': '其他都还是蛮不错的，就是太冷了，没有暖气。', '短评打分': 5}
{'短评内容': '还可以啊！卫生打扫很即使！房间也够大！只是煤气的热水器我容不好！呵呵', '短评打分': 5}
{'短评内容': '如需修改订单联系人信息或修改消费券使用金额，可进入订单详细页（点击对应的订单号）进行修改', '短评打分': 5}
{'短评内容': '请勿发表违反国家法律的言论，请勿发表违反国家法律的言论', '短评打分': 5}
{'短评内容': '酒店比较新，性价比高,服务态度好！值得考虑', '短评打分': 5}
{'短评内容': '环境不错~价格稍贵~房间设施不错~服务态度还行', '短评打分': 5}
{'短评内容': '经济适用', '短评打分': 3}
{'短评内容': '房间很小，电水壶刚开始烧水就跳闸了，有十几分钟是在黑暗中度过的。房间没有备矿泉水或者小吃，只能到附近便利店去购买。', '短评打分': 1}
{'短评内容': '房间不值此价，房间小，桌子只有40多厘米宽，洗手间小且设置不合理，如果淋浴会直接淋到马桶上，我才170cm身高，睡在床上，脚都要出床了，且入住那天寒流南下，房间里还没有被子，问客房服务，说空调是单冷的，被子我等了有40分钟才给送来，交通不便，打车难，非常不满意！', '短评打分': 1}
{'短评内容': '我只能用差字来表达, 其他的就不多说了!\n是我住过的最差的酒店, 这哪叫酒店,就是一个出租屋!', '短评打分': 1}
{'短评内容': '位置在深大后面，周围没啥配套，设施陈旧，服务一般，电梯要等很长时间，公寓楼改的，确实不咋的。', '短评打分': 1}
{'短评内容': '卫生情况一般，虽在高层，噪音还是比较大。', '短评打分': 1}
{'短评内容': '非常靠近深大，很方便。环境不错，就是房间小了点。', '短评打分': 5}
{'短评内容': '位置不错，临近高新区，交通方片，到机场很方便，房间也不错', '短评打分': 5}
{'短评内容': '酒店环境不错，吃的也不错、还有网可以上，真乃人间陷境室外逃园是也。', '短评打分': 5}
{'短评内容': '房间的设施有点旧, 地毯不大干净的感觉. 空调要特别叫服务员开,但服务态度都算满好的. 床品的颜色好象有些暗淡,换成白色或浅色更清爽.', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '安静，很安静，因为没靠路边。\r\n\r\n飘窗对着小区花园，较舒适。', '短评打分': 5}
{'短评内容': '酒店位置优越，位于深大旁边，风景很好，酒店装修前卫', '短评打分': 5}
{'短评内容': '房间超级小，开业这么久了，竟然还是只有烧水壶（很容易由于漏水引起的跳闸哦，最好自备电筒）和电吹风（无法在有镜子的洗手间使用），饮料和矿泉水之类的只能到楼下去购买。。', '短评打分': 1}
{'短评内容': '地段很好，交通很方便，有很大的落地窗。卫生间太小，水还忽冷忽热。不过总体性价比还算可以', '短评打分': 5}
{'短评内容': '+酒店位置不错，房间有点小，装修水平一般，但总体性价比不错，值得推荐。', '短评打分': 5}
{'短评内容': '隔音效果比较差，不能在此聚会。但卫生不错', '短评打分': 5}
{'短评内容': '房间很好套房落地窗很靓。下次还会入住。不过另外的房间就比较鸡肋。。', '短评打分': 3}
{'短评内容': '酒店附近逛街不错！', '短评打分': 3}
{'短评内容': '还', '短评打分': 5}
{'短评内容': '套房 性价比不是很高 不过酒店设施 布局还是蛮不错  还是会入住', '短评打分': 5}
{'短评内容': '房间有点小\r\n交通比较便利\r\n总体还行。', '短评打分': 3}
{'短评内容': '帮朋友订的。\r\n周边环境应该还行。\r\n内部环境不清楚。', '短评打分': 5}
{'短评内容': '处在深圳大学的旁边，但是很不好找。 \r\n房间有点小。性价比还可以。 ', '短评打分': 5}
{'短评内容': '位置很不好找...坐的士会很贵..不过交通很方便 视野也很好 比较快捷~\r\n嗯嗯 卫生间也比较小  没有独立卫浴。。比较简陋 不过简单的洗澡还是很好的', '短评打分': 5}
{'短评内容': '相当不错，值得推荐！就是有点旧了的感觉的了', '短评打分': 5}
{'短评内容': '之前也是听人家的推荐，这次帮客户定的，呵呵，人家很满意！！', '短评打分': 5}
{'短评内容': '房间太下，下面的餐厅不好，总体性价比一般', '短评打分': 3}
{'短评内容': '房间太下，下面的餐厅不好，总体性价比一般', '短评打分': 1}
{'短评内容': '主要是前台服务人员态度差，不会随机应变。明明订了房间，还说我们没有订。花时间在查订房上，花的时间太久！！', '短评打分': 1}
{'短评内容': '//lljjkllhuihiohkjnkjn', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '这个价格相对房间设备简陋了一点 不过位置还行', '短评打分': 5}
{'短评内容': '位置是不错的，卫生间的淋喷头位置设置不合理，洗澡到处溅水。', '短评打分': 5}
{'短评内容': '入住及退房速度太慢,如果只是要隨便住住不要求高品質的話,是可以去的', '短评打分': 5}
{'短评内容': '房间不错，安全干净，就是前台服务和效率有待提高', '短评打分': 5}
{'短评内容': '感觉就象一般居屋里放了两张床,性价比不好.电梯很难等.', '短评打分': 1}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '很舒服~', '短评打分': 3}
{'短评内容': '很不错呦，住的很舒服', '短评打分': 3}
{'短评内容': '很喜欢飘窗，小而温馨~', '短评打分': 5}
{'短评内容': '客服人员的态度很热情，房间很干净，没有异味，还可以上网，就是电视的节目比较少。总体来说很满意', '短评打分': 5}
{'短评内容': '在增加个壁灯就好了，房间设施太简单了。', '短评打分': 1}
{'短评内容': 'ok啊近方便', '短评打分': 5}
{'短评内容': '房间真的不错，尤其是那个飘窗。\r\n如果是两个情侣，那么坐在飘窗上，吃点买来的美食，俯望窗外的夜景，真是是很美妙的时刻\r\n', '短评打分': 3}
{'短评内容': '房间太小了,与同价位的豪华标准间比起来简直就是两个档次\r\n因此强烈的不推荐此类房间.\r\n周围环境不错,吃的小馆子很多', '短评打分': 3}
{'短评内容': '顶层有些热，空调不好。\r\n其他还可以。', '短评打分': 5}
{'短评内容': '地点不错，紧挨深圳大学。附近吃饭的地方很多。', '短评打分': 5}
{'短评内容': '喜欢那个飘窗，很有家的感觉，，不错', '短评打分': 5}
{'短评内容': '价格实惠，较安静', '短评打分': 3}
{'短评内容': '价格优惠', '短评打分': 3}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '很好．非常安静，性价比可以．', '短评打分': 3}
{'短评内容': '这家酒店还可以了，房间面积比较大 设施比较齐全，感觉很整洁很舒适了，服务人员态度也很热情，价格方面觉得也蛮实惠的。', '短评打分': 5}
{'短评内容': '这家酒店给我的感觉很好，虽然房间面积很小，但是打扫的很干净，设施也很齐全，晚上也很安静，没有那么多骚扰电话，住起来挺舒适的。酒店的服务也很好，办事效率很高。我觉得这样的酒店值得推荐。', '短评打分': 5}
{'短评内容': '纯粹的公寓式布局，房间设施完备，交通也较方便。', '短评打分': 5}
{'短评内容': '不错，下次还选', '短评打分': 3}
