{'descr': '离夫子庙很近', 'star': 5}
{'descr': '这边不能提供早餐，酒店位置算是不错的，比较好找，但是我们去的时候被告知热水坏了，洗不了澡，让我们很失望，其他的都还不错。', 'star': 4}
{'descr': '地理位置不错，去夫子庙很近，去火车站和机场都方便，地铁直达，但是从服务到卫生都比较差，大冬天都没有热水，房间烟味很重，通风设备差，酒店内部电话是坏的，空调是坏的，热水壶也是坏的，服务员的态度冷淡生硬', 'star': 2}
{'descr': '周边环境确实不咋滴，每次都要吐槽杯具，一次性纸杯搞得热水都不敢喝，不过房间价格还是蛮实惠的，感觉一般般的', 'star': 4}
{'descr': '洗澡水不热，有点吵，其他还好。', 'star': 4}
{'descr': '嗯嗯嗯嗯嗯嗯', 'star': 5}
{'descr': '服务特别好，卫生很干净。睡的舒服，推荐大家来住', 'star': 5}
{'descr': '服务特别好，住的很舒服，而且设施很好！点个赞，', 'star': 5}
{'descr': '房间干净整洁，设施完善，地理位置好，床很舒服，前台小伙每次来都很热情！', 'star': 5}
{'descr': '服务特别好！干净整洁，设施完善，给个赞，推荐大家入住！', 'star': 5}
{'descr': '前台小伙服务特别好，房间干净，设施特别好，好评，推荐大家入住！最后特别要给前台服务一个赞。特别好！', 'star': 5}
{'descr': '还行吧&hellip;&hellip;是', 'star': 5}
{'descr': '环境不错，服务周到。', 'star': 5}
{'descr': '楼下在装修，性价比一般，离夫子庙还算近，要求别太高就还可以。', 'star': 5}
{'descr': '各当面都还不错，值得推荐', 'star': 4}
{'descr': '连锁七天，不用评价', 'star': 5}
{'descr': '呵呵呵呵呵', 'star': 4}
{'descr': '洗澡间地漏不下水，十二点的时候停电了，隔音不好（几乎所有的连锁酒店都这样）。主要是不下水有点不能忍，洗到最后水都盖过脚了。', 'star': 4}
{'descr': '酒店位置很好找，三山街地铁口不远，环境不错，卫生也好.', 'star': 5}
{'descr': '环境不太好…', 'star': 3}
{'descr': '全部很好！', 'star': 5}
{'descr': '很好！', 'star': 5}
