{'短评内容': '其他的都还不错，就是房间隔音效果太差太差了，真心不是一般的差，外面稍微有点声音就感觉很吵了', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还一般', '短评打分': 3}
{'短评内容': '酒店无早餐供应，外于路口，周边较堵车，生活方便', '短评打分': 5}
{'短评内容': '还可以的这家', '短评打分': 5}
{'短评内容': '早晚没热水，隔音效果差，空调没热风。', '短评打分': 1}
{'短评内容': '外面环境不好', '短评打分': 3}
{'短评内容': '不好，外面环境太乱了', '短评打分': 3}
{'短评内容': '烟味很大，设施陈旧，空气污浊，是最失败的一次住宿了。', '短评打分': 1}
{'短评内容': '房间太差噢', '短评打分': 3}
{'短评内容': '化工路那边周围环境不好', '短评打分': 3}
{'短评内容': '前台管理混乱，服务员素质差。', '短评打分': 3}
{'短评内容': '帮人预定，具体情况不知。', '短评打分': 3}
{'短评内容': '酒店卫生和装修超级差，一大早就有人吵', '短评打分': 3}
