{'短评内容': '出差就在这里', '短评打分': 5}
{'短评内容': '环境不错，房间也比较干净', '短评打分': 5}
{'短评内容': '酒店太差了', '短评打分': 1}
{'短评内容': '很棒，每次都住这里，价廉物美', '短评打分': 5}
{'短评内容': '环境还可以，早餐一般，其他都还不错，环境还可以，早餐一般，其他都还不错，环境还可以，早餐一般，其他都还不错，环境还可以，早餐一般，其他都还不错，', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '其它都比较满意，就是停车比较难。', '短评打分': 4}
{'短评内容': '全家出游，住得还算可以，就是停车比较难。', '短评打分': 4}
{'短评内容': '酒店很好。。。。。。', '短评打分': 4}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还行吧，就是酒店有点老了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '设施还可以，价格稍微偏高', '短评打分': 4}
{'短评内容': '价格贵了点', '短评打分': 5}
