{'短评内容': '#ud83d#ude1b#ud83e#udd11', '短评打分': 4}
{'短评内容': '住宿条件还行，还满意', '短评打分': 4}
{'短评内容': '很差的洒店，Wifi在走廊，房间没有，洗手盆坏的，浴巾很脏，床上用品也不干净！', '短评打分': 2}
{'短评内容': '服务态度和酒店设施都不好...', '短评打分': 1}
{'短评内容': '漠河酒店本身就少，10月2日雪花飞舞了。但没有暖气，希望以后能改进。', '短评打分': 5}
{'短评内容': '可以说是漠河县城性价比最好的酒店了。干净卫生，酒店位置也好。', '短评打分': 5}
{'短评内容': '老爸和几个老伙计去的，说住起来还算舒适，比较方便。', '短评打分': 4}
{'短评内容': '老爸和几个老伙计去的，说住起来还算舒适，比较方便。', '短评打分': 4}
{'短评内容': '房间太差了，气味太重，熏人，电视还是大头机器呢，天冷还不供暖，差差差。', '短评打分': 2}
{'短评内容': '天黑了才到酒店，住的还算可以，就是早餐地方太小，人太多，还要站排。', '短评打分': 4}
{'短评内容': '位置还好 干净整洁 风景很好 希望有机会再去', '短评打分': 5}
{'短评内容': '＋房间很大，还算舒服，没装空调，其实也不需要，很凉快哈，早饭没啥吃的，管饱。价格对谟河来说有点小贵。', '短评打分': 3}
{'短评内容': '酒店很干净，但是设施不是很好，希望下步改进', '短评打分': 5}
{'短评内容': '380的房费，在漠河那个小县城来说，的确算是比较贵了，定的大床房，前台给留的标间，说是房间大一些，但我不想一个住两张床后，前台说大床房的房间小，我也没有计较，房间最让我满意的是层高很高，估计有4米吧，但是洗澡水要放10分钟才会热，早餐选择很少，酒店没有电梯，行李大的话，搬起来不方便，房间的网络不太灵，床很软很舒服。', '短评打分': 5}
{'短评内容': '环境一般 住的地方还有蜘蛛网 房间里面还有味道 不过服务还可以', '短评打分': 1}
{'短评内容': '房间干净明亮，尤其净空很高。', '短评打分': 3}
