{'descr': '价格有点小贵的快捷酒店', 'star': 4}
{'descr': '性价比挺好，市中心位置也算是闹中取静，以后还会选择。', 'star': 5}
{'descr': '酒店的地理位置非常好。酒店的卫生也很到位。另外不得不说酒店的保安很热心，昨夜肚子不舒服，想买药又不知去哪里，下楼问保安，保安热情地告知并带出门外详细指路，真是太感谢了。', 'star': 5}
{'descr': '感觉不是很干净，房间里还有蟑螂。', 'star': 3}
{'descr': '1）酒店位置非常好。\n2）打扫非常差，经理有必要加强监督。\n3）前台的其中一位工作人员，服务差劲，做事不仔细与没耐心！有够丢格林豪泰的风格！\n', 'star': 1}
{'descr': '交通倒是方便，离地铁挺近的。客房还算整洁，就是陈旧了点。总台的小妹应该换，热情就不说了，客人问路没法解决！问公车在哪条路上，哪个方向都不知。瞎指！如果入住这酒店还是建议自己搞定路线！', 'star': 1}
{'descr': ' 酒店很脏，一晚上没脱衣服没盖被，设施不好，电视变色，卫生间是见过的最差的。建议订他对面的汉庭，肯定比这个强。', 'star': 3}
{'descr': '房间有点小 不过位置很好的原因吧 离地铁站很近 步行几分钟 而且地铁站里有很多好吃的 还有台湾小吃 奶茶店 很惊喜', 'star': 5}
{'descr': '交通方便房间整洁推荐入住', 'star': 3}
{'descr': '设施差，淋浴房的下脚是坏的，卫生不够，茶杯盖好像是旧的。不过交通还是比较方便。', 'star': 1}
{'descr': '还可以吧，马马虎虎，就是离我们展会距离近', 'star': 1}
{'descr': '地段很好 但是干净度不够 走的时候想寄放行李 前台婉拒了 理由是有贵重物品 以前住酒店没有碰到这样的情况', 'star': 5}
{'descr': '不错，比想象中的要好，并且比七天或者汉庭要好得多。。。', 'star': 5}
{'descr': '交通比较方便，房间很小，附近吃饭的地方很多。但是洗手间的设施感觉很旧，马桶按不下去，毛巾像上个世纪的.....但是这个价格也没什么好挑的', 'star': 1}
{'descr': '真的差！廊道像个仓库走廊 仿佛走进了地下通道！一进门 房间小的可怜 两个人都要排队走动 抬头一看还有一对恶心的苍蝇在飞舞！心情直落千丈~~接着电脑打不开 叫来了服务员弄了半天 结果网速乌龟的惊人 我手机都登陆查到信息了 这电脑网页还没打开 实在没有耐心 脾气都磨没了。要求大床房 加了钱 从1.5M换了1.8 又加电脑。结果只有床铺的一边能走 另一边已经顶到墙壁上了 空间可想而之，房间就是如此 卫生', 'star': 1}
