{'短评内容': '房间略小了点，床铺很软，比较干净，卫生间略小了点，就在市中心，早餐也比较丰盛，总的来说还是推荐的！！！', '短评打分': 4}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '酒店装修适中，位置在闹市太吵', '短评打分': 3}
{'短评内容': '房间还不错，达到连锁酒店的水准，卫生过得去，早饭是这个价位里面很好的了，一不小心就吃多了，很棒。', '短评打分': 5}
{'短评内容': '很不错，环境很好，早餐还自助餐，', '短评打分': 5}
{'短评内容': '很好，市中心周边小吃多', '短评打分': 5}
{'短评内容': '房间设施还不错，服务态度挺好', '短评打分': 5}
{'短评内容': '有点小房间的样子，如果再大一些就会感觉好一点，周边比较繁华，交通方便，四通八达的算还不错了，早餐吃的还比较好。', '短评打分': 5}
{'短评内容': '每次来都住这里，附近吃喝玩乐一应俱全。什么炖罐，生烫，稀饭，快餐。早餐很丰盛，房间价格也挺不错的。推荐。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '续住，早餐丰盛。', '短评打分': 5}
{'短评内容': '比去年贵了50元，性价比一般。', '短评打分': 3}
{'短评内容': '地处闹市区，房间、卫生间设施齐全，卫生良好。', '短评打分': 5}
{'短评内容': '酒店还可以 就是晚上小广告太多 影响休息', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '需进一步改进才对得起这三星宾馆的称号', '短评打分': 3}
