{'短评内容': '订的商务单人间，还不错。房间比较干净整洁，床挺大的', '短评打分': 5}
{'短评内容': '续订，满意', '短评打分': 5}
{'短评内容': '看了很多不好的评论，但是实际入住后觉得很满意，服务人员态度都很好，前台接待非常耐心，房间很安静，床品都很干净舒服', '短评打分': 5}
{'短评内容': '酒店服务很好，干净卫生，安静舒适', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '房间有点冷', '短评打分': 5}
{'短评内容': '无语', '短评打分': 3}
{'短评内容': '酒店位置好，附近是中国联通和通信管理局，办事方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错！！！！', '短评打分': 4}
{'短评内容': '五星标准 只是酒店稍微老了点 其余都还好', '短评打分': 5}
{'短评内容': '老酒店，服务不错，下雪给三点退房，赞一下', '短评打分': 3}
{'短评内容': '住宿一般，配不上价格！', '短评打分': 2}
{'短评内容': '一直入住这家酒店，地理位置不错，交通便利，周边吃喝玩乐也都方便', '短评打分': 5}
{'短评内容': '房间很好，价格合适。                                      ……', '短评打分': 5}
{'短评内容': '第一次入住，感觉不错！', '短评打分': 5}
{'短评内容': '便宜500，还不错哈', '短评打分': 3}
{'短评内容': '酒店服务周到，体贴，希望有机会来新疆还可以再来这住', '短评打分': 5}
{'短评内容': '可能这次住的房间处于拐角处，不是十分满意，感觉行政单间不如以前住过的好了', '短评打分': 5}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '房价有点贵、早餐太贵还不可口。门口单行道停车太困难。其他挺好', '短评打分': 5}
{'短评内容': '两点退房制度挺好。就是早餐太贵、没特色、不好吃。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': 'the road before the hotel is being repaired.Though  hotel service is good,it is not inconvenience to come in/go out during the stay.', '短评打分': 3}
{'短评内容': '进，真正做到硬件软件都要达到五星标准。下次还会选择这家。', '短评打分': 3}
{'短评内容': '环境不错，屋子明亮，干净。比较合适，价格略高。总体不错', '短评打分': 5}
{'短评内容': '房间还可以就是太贵标间678，还不带早餐', '短评打分': 1}
{'短评内容': '一般，不适合老外住。。。。。。。。。。。。。。。。。中国人住的话，太贵了，不值得！', '短评打分': 1}
{'短评内容': '价格太贵\n，最主要是每个标准房间只送一份早餐', '短评打分': 1}
{'短评内容': '态度好', '短评打分': 3}
{'短评内容': '酒店不错,给同事定的，房间里很干净,性价比不错，住起来很舒适', '短评打分': 5}
{'短评内容': '住过很多次了，还会继续住，虽然价格不低。', '短评打分': 5}
{'短评内容': '房间装修挺新的，交通与餐饮很方便，总体来说还不错。', '短评打分': 5}
{'短评内容': '乌鲁木齐的大酒店就这么几家，还是不错的。每次过来都住。', '短评打分': 5}
{'短评内容': '酒店还是不错的，价格略微有点高，不过出差能报销也还好。', '短评打分': 5}
{'短评内容': '房间硬件不错，早餐也不错，服务也挺好的， 交通便利', '短评打分': 5}
{'短评内容': ' 酒店不错 价有点高', '短评打分': 3}
{'短评内容': '房间内装修、设计和硬件设施绝对一流，我觉得比乌鲁木齐喜来登还舒服，酒店位置在夜市旁边，虽然热闹但是安全度稍差，服务一般，早餐品种多但味道一般', '短评打分': 5}
{'短评内容': '这应该算是乌鲁木齐最好的酒店了，大厅环境有五星级的感觉，房间内部设施一般，价格相对有点贵。', '短评打分': 5}
{'短评内容': '酒店还不错,服务环境都很好，价格就地方而言有点偏贵。', '短评打分': 5}
{'短评内容': '酒店不错,给同事定的。他们以前就住过，属于回头客了。\r\n', '短评打分': 3}
{'短评内容': ' 酒店不错！', '短评打分': 5}
{'短评内容': '开始住了三天，中间一天去了喀什，之后再次入住，发现还是有些地方有待改进：1、去游泳那个服务生竟然说一个房间只能给一个人游泳，另一个人得付费，住了全世界好多家酒店，头一次遇到，最后让他找经理后解决了，工作人员有待培训；2：我们第二次入住时依然要求无烟房，前台工作人员说这种房型竟然没有无烟房，让其做无烟处理，答复说做过了，进去后发现烟灰缸好几个都放在房间，动都没动；3：酒店房间没有浴缸，要泡浴的只好回', '短评打分': 3}
{'短评内容': '总体来说在西部城市中能有这样的酒店实属难得，房间很大，位置很好，五一夜市就在旁边，晚上很热闹，周边设施齐全。\n唯一遗憾的是游泳时服务生说一个房间只能有一个人是免费的，另一个人要收费，走遍全世界没有遇到此情况，之后又说柜子已满，需要等待，发了火之后才解决，所以从业人员素质有待提高', '短评打分': 5}
{'短评内容': '酒店的位置很好，市中心位置出行交通都很方便，房间的配置硬件设施都很不错，价格合理适中。卫生服务也很达标，值得推荐入住。', '短评打分': 5}
{'短评内容': '不错的酒店，这次入住和之前入住感觉一样好，前台人员态度热情周到，房间里很干净，设施也说的过去，性价比蛮好，住起来比较舒适', '短评打分': 5}
{'短评内容': '非常舒服！', '短评打分': 3}
{'短评内容': '非常舒服！', '短评打分': 5}
{'短评内容': '虽然07年重新装修过 可设施还是有些老 不过挺干净的', '短评打分': 5}
{'短评内容': '很一般。', '短评打分': 3}
{'短评内容': '挺差的饭店', '短评打分': 1}
{'短评内容': '房间不错,餐厅服务不行.', '短评打分': 5}
{'短评内容': '交通比较方便，酒店服务和环境部错。', '短评打分': 5}
{'短评内容': '还带一句话，，希望在价格上能够调整一下。。。\r\n应该调整到320标房为好。。。', '短评打分': 3}
{'短评内容': '感觉还算不错的一家酒店。。。\r\n就是最近新疆互联网不通。。。给大家商务的活动带来很多的不方便。。。\r\n很遗憾的是。。现在的新疆缺乏安全感。。。民族的情绪有点对立。。。\r\n新疆应该是很美好的地方才对啊。。。。', '短评打分': 5}
{'短评内容': '我觉得这个酒店是很不错的，我们到酒店给我们免费升级了房间，房间干净舒适，感觉很舒服，而且交通也挺方便的，我觉得还是很不错的，很满意。', '短评打分': 3}
{'短评内容': '酒店各方面感觉挺满意的,环境很好,就是价格有点偏高,其他都还不错', '短评打分': 5}
{'短评内容': '服务态度很好，地理位置非常方便，价格稍微高了一点', '短评打分': 5}
{'短评内容': '可能是在大西北的原因，总体来说什么都还不错，特别是服务员的态度。但是就硬件来说的话，在内地，怎么样也只能算是一个不错的4星。', '短评打分': 5}
{'短评内容': '我今天把握住过的酒店争取都做一个评价，尽量可观了，我每年差不多200天出差在外，经常让酒店搞得没脾气，所以希望用自己的经历给大家一个参考了。这个酒店真得不错了！我每次新疆之行都首选这里。尤其是商务间。', '短评打分': 3}
{'短评内容': '2月14日入住，迎宾楼260元标间，有宽带，还可以，周围环境也不错。', '短评打分': 3}
{'短评内容': '比较好。住过一次，五星中比较便宜的。', '短评打分': 3}
{'短评内容': '我前天才去过&lt;br /&gt;\n五星级了&lt;br /&gt;\n还好', '短评打分': 3}
{'短评内容': '希望此酒店更上一层楼！！！', '短评打分': 3}
