{'短评内容': '很干净，位置稍微有点偏，性价比不错的一家经济型酒店', '短评打分': 5}
{'短评内容': '房间挺干净，但前台服务差', '短评打分': 3}
{'短评内容': '环境挺好，挺物美价廉的，值得推荐。', '短评打分': 5}
{'短评内容': '房间的舒适度还好，性价比挺高的。', '短评打分': 3}
{'短评内容': '房间挺大的，床睡着挺舒服，设施需要改进了，价格上不算贵。总体感觉还好。', '短评打分': 3}
{'短评内容': '室内挺干净，有电视空调，有独立的卫生间，还能上网，价格还不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '大堂挺大的，服务挺热情，房间布置的挺温馨，住的也挺舒适的。', '短评打分': 5}
{'短评内容': '服务上挺热情的，设施方面还算齐全，就是有些陈旧，网速挺快的，使用挺方便。', '短评打分': 3}
{'短评内容': '位置一般，服务态度挺好，卫生也不错，价格挺实惠的。', '短评打分': 3}
{'短评内容': '居住环境挺安静的，房间打扫还算干净，设施简单，价格还算实惠。整体感觉还好。', '短评打分': 3}
{'短评内容': '酒店还算中规中矩，住的还比较舒适，性价比还不错。', '短评打分': 5}
{'短评内容': '挺不错，服务挺周到，能提供24小时热水，有宽带还能上网，感觉挺好。', '短评打分': 5}
