{'短评内容': '挺好的，交通方便 对面有不二心包子', '短评打分': 5}
{'短评内容': '位置好  环境好', '短评打分': 5}
{'短评内容': '市中心方便的很，离车站机场都很近', '短评打分': 5}
{'短评内容': '你以为寝宫你以为自我，你抹红，您您', '短评打分': 5}
{'短评内容': '名字自以为是我公公哦您，民工蜜汁芝', '短评打分': 5}
{'短评内容': '性价比可以，因为不贵嘛，不能做饭，有冰箱，总体还行吧', '短评打分': 5}
{'短评内容': '非常不错性价比非常高', '短评打分': 3}
{'短评内容': '午休时需要一个房间，便就近选了一间，价格还算便宜。设施还好，服务也可以。如果有机会到附近的话还是可以考虑一下的', '短评打分': 4}
{'短评内容': '还行吧，', '短评打分': 4}
{'短评内容': '老板很热情，酒店位置交通都很理想。有机会还住。', '短评打分': 4}
{'短评内容': '你懂得', '短评打分': 2}
{'短评内容': '房间非常好，价格也合理，推荐！', '短评打分': 3}
{'短评内容': '服务什么挺好，就是酒店的设施不太好', '短评打分': 4}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '还是不错的，地理位置很好的，地铁公交都方便！', '短评打分': 3}
