{'短评内容': '非常好，性价比很高！', '短评打分': 5}
{'短评内容': '酒店性价比较高，服务员态度好，网速快，周围环境不错，商务出差推荐入住！', '短评打分': 5}
{'短评内容': '有停车场，酒店位置好', '短评打分': 5}
{'短评内容': '差差差，不给开发票', '短评打分': 1}
{'短评内容': '非常差，房间设备陈旧，空调不制冷，电视不能用，房间消费的饮料不给开发票就算了，房费的发票都不肯开全。在网上实际付款270定的，在店里只肯开228！！！', '短评打分': 1}
{'短评内容': '入住体验很不好，干净整洁，房间够大，住的楼层比较高，所以视野也是棒棒哒', '短评打分': 5}
{'短评内容': '环境卫生一般，服务一般，交通还便捷，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '一般一般很一般！', '短评打分': 3}
{'短评内容': '房间大，但卫生一般，但重要的是住两天说了让打扫尽然不打扫卫生！！还说打扫过了，你家被子是这样呀！我一般不差评！', '短评打分': 3}
{'短评内容': '一如既往很好很舒服！！！！！！！！', '短评打分': 5}
{'短评内容': '周圍環境很舒服，很乾淨！！！！', '短评打分': 5}
{'短评内容': '浴缸真的赞，按摩浴缸，大大滴', '短评打分': 5}
{'短评内容': '服务很差，环境很差。', '短评打分': 3}
{'短评内容': '条件有点差，位置也不好。', '短评打分': 3}
