{'短评内容': '划算便宜好', '短评打分': 5}
{'短评内容': '武汉大学的国际会议中心，建在山坡上，形成了优良的地势和独特的山景酒店，老牌四星级，停车方便，就是周边餐饮少了点。', '短评打分': 5}
{'短评内容': '不错吃不错错', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '早餐还可以吧，比较适合我口味', '短评打分': 5}
{'短评内容': '酒店环境好，适合出差旅游。', '短评打分': 5}
{'短评内容': '环境优美，房间挺好的，洗浴用品简单了些，早餐马马虎虎还可以，服务不错，主要是有个漂亮的游泳池，住客免费喔', '短评打分': 5}
{'短评内容': '京东真是越做越好，本来只是随便看看的，没想到比携程和美团的价格都便宜，真心划算，也希望京东酒店越来越好', '短评打分': 5}
{'短评内容': '环境好，性价比高！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '开会回来好多次了。前台一个人，忙不过来，把同事的身份证给了别人，好久才找回。服务还说得过去吧。携程订比较便宜一点点。', '短评打分': 3}
{'短评内容': '环境优美，出行方便！！卫生明亮，适合商务', '短评打分': 5}
{'短评内容': '来开会，老酒店了，周边也没什么配套。来开会，老酒店了，周边也没什么配套。来开会，老酒店了，周边也没什么配套。', '短评打分': 3}
{'短评内容': '环境很好，早餐可增加一些品种，值得推荐的酒店，', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，交通方便，酒店设施也不错，酒店附近吃饭的地方不多，不过酒店里可以解决，下次还会入住的', '短评打分': 5}
{'短评内容': '非常不错，交通方便，早餐也很丰富，十二个赞', '短评打分': 5}
{'短评内容': '设施齐全，干净卫生，就是位置有点偏！', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '   酒店环境的确不错，适合修养 度假，硬件应该在四星水平，房间内装修材料及家具质感档次一般，希望酒店改善，前台工作人员和打扫房间的工作人员服务态度都很好，很亲切，门童的服务真的不敢恭维，和木头一般，另外酒店的其他工作人员遇到客人好像一点反应都没有，服务行业特别是酒店业不应该是这样的，我本人平时出差较多都是入住4，5星级酒店，国内标准的五星级的酒店只要是工作人员，不论任何岗位只要遇到客人都会给予亲', '短评打分': 5}
{'短评内容': '酒店不错，环境优美，就是入住的时候正值消防开会，有点吵！', '短评打分': 5}
{'短评内容': '房间不错，干净卫生，不过吃饭的地方实在少得可怜啊', '短评打分': 5}
{'短评内容': '安静  干净  温馨；我还会经常入住的；喜欢1011号房，', '短评打分': 5}
{'短评内容': '如其他网友评价，除了卫生间稍小、洗澡间有点透之外真的很不错，环境、服务都很满意，下次还会来~', '短评打分': 5}
{'短评内容': ' 一般', '短评打分': 3}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '环境非常好，房间也很舒适，服务到位，交通也方便，高速公路下来就到。', '短评打分': 5}
{'短评内容': '去三峡必经之路，在高速旁，非常方便！服务不错！', '短评打分': 5}
{'短评内容': '环境太好啊，估计是湖北不多的5星花园酒店，很安静。我们住的别墅区，设施很新。', '短评打分': 5}
{'短评内容': ' 酒店休闲度假好!', '短评打分': 3}
{'短评内容': '环境非常优雅！绿化非常好！服务比较人性化！', '短评打分': 5}
{'短评内容': '是一家会议中心，与正规酒店有差别，地理位置有些偏，不好打车，其他还可以。', '短评打分': 5}
{'短评内容': '环境超好，很幽静，西餐的东西很好吃，下次还住这里！', '短评打分': 5}
{'短评内容': '非常宁静的地方，就是不在市中心，不过也很好找 一下高速就是', '短评打分': 5}
{'短评内容': '有点偏，别墅单间离主楼有点远，早餐不错，服务设施有待完善...', '短评打分': 1}
{'短评内容': '酒店的环境还可以，设施配置也比较达标，位置稍微有些偏。', '短评打分': 5}
{'短评内容': '硬件设施有些陈旧,墙体颜色有些陈旧.卫生做得很好,位置也好方便出行.服务也很到位.', '短评打分': 5}
{'短评内容': '不错，环境很好', '短评打分': 5}
{'短评内容': '性价比很高的酒店，下次还会住的。', '短评打分': 5}
{'短评内容': '还不错！可以去感受一下！', '短评打分': 5}
{'短评内容': '这个洒店离市中心比较远，估计搭车需要8-10元钱，离高速路特别近。由于是刚修好的酒店，有些设施还没有完善。房间里的条件还是不错的，只是沐浴水压太大，四处喷溅不好调整。走廊和电梯里很热，因为这个酒店上面没有封顶，所以没有开冷气，一出房间就热，我个人认为这是酒店设计最失败之处。早餐还是比较丰富，只是服务人员缺少点基本常识，早餐时间是7-9点，如果9点钟到了仍然有客人用餐未走，最起码应该礼貌的去问问人家', '短评打分': 5}
