{'短评内容': '价优实惠，品质保证，相信京东', '短评打分': 5}
{'短评内容': '不错，一次是真的想', '短评打分': 5}
{'短评内容': '还好还好还好，便宜点就更好了，还好还好还好，便宜点就更好了，还好还好还好，便宜点就更好了。够不够够不够够不够', '短评打分': 5}
{'短评内容': '早餐种类挺多，不是十分好吃，如果想去七星岩还是定附近酒店吧', '短评打分': 5}
{'短评内容': '酒店豪华安静，在肇庆真的非常不错！而且价格不高，房间超大的！', '短评打分': 5}
{'短评内容': '价格不错，服务不错，房间很大，走廊也很大，走起来非常舒服。周边是商场，吃东西买东西看电影都很方便，值得推荐', '短评打分': 5}
{'短评内容': '不错的，早点不怎么丰富', '短评打分': 5}
{'短评内容': '值得一晚，舒服，中国好归宿。', '短评打分': 5}
{'短评内容': '一般般吧，感觉性价比不是很高。', '短评打分': 5}
{'短评内容': '酒店地处旺地，旁边麦当劳肯德基沃尔玛全齐。房间挺大，楼上酒家也很气派，人到不多，舒服不用挤。推荐，性价比比较高的选择。', '短评打分': 5}
{'短评内容': '房间还没收拾完就把房间租给我们，登记的速度慢，主要还要我们等到上房间才知道房间还要等服务员收拾完才可以住', '短评打分': 1}
{'短评内容': '房间够大，位置相对偏一点点', '短评打分': 5}
{'短评内容': '没去成 不知道', '短评打分': 5}
{'短评内容': '環境還好！床頭發現一只蚊子的尸體！住的房間沒有窗比較房暗！夜晚冷氣機聲音比較大(我個人感覺)！前臺服務不錯！樓上是酒樓！經常听到拖拉東西的聲音！', '短评打分': 4}
{'短评内容': '第二次入住，非常好！', '短评打分': 5}
{'短评内容': '干净卫生⋯', '短评打分': 4}
{'短评内容': '不错的 服务也很好哦 要继续加油 做得更好 附近有很多好玩的。还有很多景点，要好好wandhuaa啊', '短评打分': 5}
{'短评内容': '都挺好，服务很好，非常热情，就是打车出去不好打', '短评打分': 5}
{'短评内容': '服务很好，环境和装修太陈旧了，格局很好，也很宽敞', '短评打分': 5}
{'短评内容': '干净', '短评打分': 4}
{'短评内容': '不是第一次住了，酒店周边吃饭买东西的地方很多，隔壁就是购物中心，位置也不错，停车也方便，性价比还好，一般般，就是12点就要退房这点非常讨厌。', '短评打分': 4}
{'短评内容': '听说不错，就是前台服务态度不太好', '短评打分': 4}
{'短评内容': '酒店设施不错，周围很多吃饭的地方，方便，但前台服务态度有待改进', '短评打分': 5}
{'短评内容': '很不錯，很方便', '短评打分': 5}
{'短评内容': '房间挺大！分区不错～就是有股味道', '短评打分': 4}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': '。', '短评打分': 3}
{'短评内容': '总的来说不错，房间宽敞，闹中取静。就是没早餐', '短评打分': 5}
{'短评内容': '住的客房是新装修过的，虽然有些装修的味道，但是很干净。楼下是繁华的商业区，但房间隔音不错，算是闹中取静。住在这里的好处是，同一幢楼里就有好吃的，不用到处跑。另外想买特产裹蒸棕，马路对面就有至少三家可选择。', '短评打分': 5}
