{'descr': '也就是随便住一晚的这种标准了', 'star': 4}
{'descr': '还升级为的大床房，住的最差的一次汉庭了，空间小，设施陈旧，毫无温馨感，跟小旅店不相上下', 'star': 2}
{'descr': '不想评价，服务太差', 'star': 3}
{'descr': '房间干净，服务好，出行交通方便，又预订了房间。', 'star': 5}
{'descr': '太挤了，所谓的15年装修就是在老的基础上稍微弄了下', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '不错，很好，京东的都很不错很棒。', 'star': 5}
{'descr': '不错不错不错不错', 'star': 5}
{'descr': '很好，干净卫生', 'star': 5}
{'descr': '还好,挺方便.', 'star': 4}
{'descr': '出行购物比较方便', 'star': 5}
{'descr': '希望酒店还是能即时发票', 'star': 4}
{'descr': '不能酒店开发票这点比较麻烦', 'star': 4}
{'descr': '交通方便，价格有点贵。', 'star': 4}
{'descr': '大床房很差，大家千万不要定。艺龙也很不给力，难道没有考证一下。价格150的大床房比120块标间差很多，汉庭也做得出这样的产品', 'star': 3}
{'descr': '服务算汉庭里差的了', 'star': 3}
{'descr': '还可以，挺干净的', 'star': 5}
{'descr': '还行吧', 'star': 4}
{'descr': '家一般的感觉，就是电视机比较陈旧，服务很好', 'star': 3}
{'descr': '房间奇小，价格够高的，服务也有点问题。不会再去住了', 'star': 1}
{'descr': '房间非常好，免费打印上网，非常方便！！！！！！！', 'star': 5}
{'descr': '价格要是再能便宜点就更好了。\n有免费的咖啡。服务态度不错。就是房间感觉小了点。', 'star': 5}
{'descr': '服务态度好，房间干净', 'star': 3}
{'descr': '房间比较小，但是很干净，特别是卫生间非常干净。早餐15元每位，也不贵。房间隔音不太好，能听到隔壁说话声。停车场很小，经常要停到外面，酒店服务态度还可以，总体来说还不错。', 'star': 5}
{'descr': '不错，不愧为汉庭，下次一定还选它哦\n。。。。。。。。。。。。。。', 'star': 5}
{'descr': '地理位置非常不错，在市中心，就是停车有些困难；服务员的态度很不错。值得入住。', 'star': 5}
{'descr': '交通方便，价格便宜，这个价位还不错。离长途汽车站较近。', 'star': 5}
{'descr': '隔音效果不是很好，不过客服的态度还是不错！', 'star': 5}
{'descr': '酒店干净清爽。服务员态度都很好。还有免费的咖啡。很满意。\n房间的隔音稍差了点。', 'star': 5}
{'descr': '服务挺不错的一家酒店!价格也算实惠,可惜入住当晚没有电力供应,其它还可以', 'star': 5}
{'descr': '还不错  蛮干净的  房间比较舒适 比较安静', 'star': 5}
{'descr': '地理位置在闹市中心，很干净，就是停车不太方便', 'star': 5}
{'descr': '普通大床房房间好小，不知道高级大床间是不是会好一点。', 'star': 1}
{'descr': '停车极不方便，酒店房间设施较新，但是隔音不好。', 'star': 1}
{'descr': '很不错的酒店，干净舒适。服务态度很好，她们会尽可能回答你的问题。只是打折不多！', 'star': 5}
{'descr': '我现在已经入住', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '服务非常好,工作人员非常热情，很有礼貌，在任何位置遇到她们都会和你打招呼，让你有回家的感觉。\n整个酒店很卫生.\n唯一不好的是有几个房间的噪音比较大', 'star': 5}
{'descr': '快捷类的酒店，条件还是有不到位的地方.性价比不高.还是有待提高.', 'star': 3}
{'descr': '房间的设施卫生非常不错酒店也是新开业的。位置挺好找的，酒店的服务很好，价格还是比较合适的。', 'star': 5}
{'descr': '地理位置不错，服务也很好，就是房间设施部太好，', 'star': 5}
{'descr': '帮朋友定的，应该不错哦！帮朋友定的，应该不错哦！帮朋友定的，应该不错哦！', 'star': 5}
{'descr': '服务态度好，酒店干净', 'star': 5}
{'descr': '感觉还可以！ 早餐比较差劲，选择靠内的房间比较宽敞', 'star': 3}
{'descr': '晚上房间有点吵，隔壁的噪音很大。早上洗脸没找到香皂，可能不提供吧', 'star': 5}
{'descr': '住的是平阳店，空调无法使用柜台说是空调检修。晚上必须开窗睡觉。\r\n昼夜温差大，打开窗太冷，关窗太热，外部靠马路后部有工地噪音大。\r\n早餐没有可选性，都是准备好的套餐5块差强人意。厕所的纸就一小段，\r\n多上几次估计你要当心没手纸了。 服务态度一般吧，不好不坏。\r\n', 'star': 5}
{'descr': '酒店环境还行，位置还行但是酒店不是很方便停车，房间还是蛮干净的很舒适，价格还是能接受。', 'star': 5}
{'descr': '交通方便，新开业酒店，硬件上比原来的金广上了一个档次，干净卫生，就是早餐还有待改进！！', 'star': 5}
