{'短评内容': '很一般，早饭也没吃，位置比较偏。。。。。。。。。。', '短评打分': 1}
{'短评内容': '挺好的，入住好多次了，这次换的是不同朝向的，酒店比较大，比较宽，但是早餐就不行了，保安来弄早餐的，酒店真抠门，一个保安来弄早餐 还给人感觉没洗脸，刚值完夜班的那种货。哎，真心的看着保安就饱了啊', '短评打分': 5}
{'短评内容': '房子虽然大，但是位置偏僻。房间浴室有味道。不舒服，晚上蚊子好多。电视节目很少', '短评打分': 1}
{'短评内容': '酒店里面空间很大，去学校也挺快的，但是太难找了，离万达要走很远。', '短评打分': 5}
{'短评内容': '隔音真心不怎么样，还有宽带，最无语的一个了。太烂了~~~~~其他还不错。', '短评打分': 3}
{'短评内容': '酒店很难找。前台说话没有逻辑，搞不懂开车路线，也不知道怎么开通网络。强烈不推荐此酒店。', '短评打分': 3}
{'短评内容': '环境和空间还可以，就是马桶，空调不给力，还差了个电脑，现在的数字电视不能放电影也不给力点啊', '短评打分': 5}
{'短评内容': '还好吧 自己过去凌晨房更优惠 我们后来补了40元 跟电话里一样的价格 总体还不错', '短评打分': 5}
{'短评内容': '房间卫生还好，就是房间没吹风机，挺麻烦的', '短评打分': 3}
{'短评内容': '环境还行，比较的安静，离万达广场较近。不过早餐品种较少。', '短评打分': 5}
{'短评内容': '隔音效果差，早上太吵了', '短评打分': 3}
{'短评内容': '酒店房间设施还可以，装潢有点单调，但退房时没有用过矿泉水说少了一瓶，是我消费的，多付了5元。', '短评打分': 5}
