{'短评内容': '住在这里免费停车 外表看上去不错 细节还是差些 酒店不算中心区 不过酒吧有些 吃饭的地方也不少', '短评打分': 4}
{'短评内容': '酒店从进门开始，保安服务员的服务都非常好，看到行李都马上帮拿，前台帮忙升级房间行政房，态度服务也是杠杠的，房间每天有水果派送，要求标间的两张床并在一起，酒店也马上让人做到了，真的不错。唯一美中不足，就是房间正对面是医院，而且晚上应该没有空调和抽空之类，很闷热。住在十一层风很大，吹在窗户上蹦蹦的响。除了这些外，其他都很好。房间大，价格性价比高，本人感觉选择这五星酒店比民宿客栈好多了。还会选择这间。', '短评打分': 5}
{'短评内容': '海景房很不错，酒店的服务人员也很热情，酒店附近交通很便利，一出门就可以沿着洱海边逛逛了，隔壁还有个沃尔玛超市买点零食也很方便总的来说很棒', '短评打分': 4}
{'短评内容': '一切都好好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好，大理首选，下次还来！', '短评打分': 5}
{'短评内容': '条件很好，环境很好，地理位置也很好', '短评打分': 5}
{'短评内容': '还行的吧', '短评打分': 5}
{'短评内容': '在大理算是很不错的酒店了，房间超大，服务也不错，就是没开空调，晚上有点热，希望改进，下次来还住这里', '短评打分': 5}
{'短评内容': '在大理算是很不错的酒店了，房间超大，服务也不错，就是没开空调，晚上有点热，希望改进', '短评打分': 5}
{'短评内容': '第三次在京东订酒店，体会相同的酒店京东价格实在，没有忽悠人的坑', '短评打分': 5}
{'短评内容': '很好，站在阳台上就能看到洱海，房间也很大，早餐也不错。', '短评打分': 5}
{'短评内容': '酒店环境很好，推开窗子就是洱海，楼下不远就是沃尔玛，住客停车免费。年夜饭在酒店吃的，量大。唯一不足就是电视剧好小，房间又大，特别不协调。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '也很不错的', '短评打分': 5}
{'短评内容': '也很不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这个酒店给人的整体感觉还是很不错，在携程网上预订也非常方便，服务也很好，以后有机会还是会选择这个酒店。', '短评打分': 5}
{'短评内容': '这个酒店给人的整体感觉还是很不错，在携程网上预订也非常方便，服务也很好，以后有机会还是会选择这个酒店。', '短评打分': 5}
{'短评内容': '服务超级好，只是餐厅吃的东西一般！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以，比之前入住体验差好多', '短评打分': 4}
{'短评内容': '设备设施简单陈旧，卫生间淋浴排水不合理，配不上五星级酒店，差评', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '设施挺好的，房间大，景色好，卫生干净。早餐丰盛。', '短评打分': 5}
{'短评内容': '酒店挺好，应该算是大理最好的酒店之一了。早餐丰富，服务热情。交通方便。推荐。', '短评打分': 3}
{'短评内容': '住的海景房，可以看到苍山洱海，下次来还会住在这里。酒店服务非常好，环境干净，每天晚上有免费牛奶，唯一不足的就是卫生间地漏不顺畅，洗浴室的门密封不严，洗澡总溢出水，卫生间的地面都湿了。希望改进。', '短评打分': 5}
{'短评内容': '总之还很OK了啦！我们还租了车，呃，还好吧！', '短评打分': 5}
{'短评内容': '很好，就是去得早了没房间，呜呜u！可怜我们在咖啡厅坐着等！', '短评打分': 5}
{'短评内容': '大理市区最好的酒店，服务比较到位，热情。地理位置较为优越。下次入住市区首选!', '短评打分': 5}
{'短评内容': '非常好！饮料免费 很舒服！', '短评打分': 3}
