{'短评内容': '好评', '短评打分': 5}
{'短评内容': '挺好的酒店……………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '。我在外面等你们了！不要让别人看到', '短评打分': 5}
{'短评内容': '我在外面玩吧，在你身边的人', '短评打分': 5}
{'短评内容': '价格还是挺实惠的,房间宽敞够大', '短评打分': 5}
{'短评内容': '位置方便，服务态度很好呢', '短评打分': 5}
{'短评内容': '房间很大，有榻榻米床垫，6666', '短评打分': 1}
{'短评内容': '不错&hellip;。。。。', '短评打分': 5}
{'短评内容': '6666666', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '老龙岗红灯区，谁去谁知道?', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '哦哦哦家all你来了吗', '短评打分': 5}
{'短评内容': '性价比高 交通周末拥挤还没车位', '短评打分': 5}
{'短评内容': '在外面入住首选就是维也纳，高端大气，异国风情，房间宽敞，床上用品舒适，卫生做的很不错～记得我在等电梯时，刚好对面电梯旁有位服务员随手就帮我按了电梯按键，一个小举动却很暖人心～大赞！！', '短评打分': 4}
{'短评内容': '第一次住维也纳，和想象中的不太一样，没有早餐，周边环境也不太好', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '房间面积虽小～但是窗边有个榻榻米的茶座，很特别', '短评打分': 4}
{'短评内容': '位置离地铁站实在太远了，交通也不方便，特别是楼下停车很麻烦，根本没有足够的停车位。而且，附近一堆大排档，很吵，开空调的话，会把窗外的味道带进来，开窗就更不用说了。晚上楼下不知道是不是有KTV，感觉一直在动次打次，烦死了。总而言之，不会再去这一家。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好美女服务很好很漂亮', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，很不錯的一個地方，主要是比較合算。。。。。。', '短评打分': 5}
{'短评内容': '環境好，交通也很方便，而且也比較實惠，下次出差還會再來的。。。。。。', '短评打分': 5}
{'短评内容': '環境也很好.價錢比較實惠，很好很划算，服务也很满意！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店总体来说还是不错的 ，有早餐就更好了，就价格来说也比较实惠', '短评打分': 5}
{'短评内容': '很好很划算，服务也很满意！！！！！！！！', '短评打分': 5}
{'短评内容': '感覺不錯,服務態度也可以,環境也很好.價錢比較實惠,要是再送個早餐就最好了.', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 3}
{'短评内容': '价格很合适，酒店环境也很好。下次去深圳的话依旧会选择该店', '短评打分': 5}
{'短评内容': '房间比较大，也很清洁，但浴室那里玻璃门没做好隔水。望改善。服务员态度很好，而且楼下餐厅价格合理。还是叫人很满意的。', '短评打分': 5}
{'短评内容': '很好很划算，下次还会选择的！！！服务也很满意！！！！！！！！', '短评打分': 5}
{'短评内容': '房间相当的大，设施也比较齐全。性价比相当的高。餐厅的食物很不错。值得一住', '短评打分': 5}
{'短评内容': '酒店的环境还不错，装修也很优雅，比较安静的环境', '短评打分': 5}
{'短评内容': '噪音，卫生差，住了两天，清洁工只是打扫卫生间，床不给收拾', '短评打分': 1}
{'短评内容': '设施、周边配套场所不错，下次还会选择维也纳。', '短评打分': 5}
{'短评内容': '酒店的简言说了“五星级享受、二星级收费”确实性，房间面积够大，装修也不错，各方面的额服务态度也都挺好的。综合各方面，都挺不错的。值得好评！只是电梯速度太慢了。', '短评打分': 5}
{'短评内容': '酒店很干净，装修很好', '短评打分': 3}
{'短评内容': '住房环境很不错，酒店的装修，卫生也可以。', '短评打分': 5}
{'短评内容': '新开张的酒店，房间很大但没有装中央空调，小空调不给力，新装修味道很大，还是过一段日子再住吧。', '短评打分': 1}
{'短评内容': '酒店是全新的，服务和酒店设施都很好。下次还会去', '短评打分': 5}
