{'短评内容': '空调声大，影响睡眠。关了太冷', '短评打分': 5}
{'短评内容': '停车免费，位置好找，我们是带着娃娃去住的，住的大床房，床很大，一家人睡觉都还比较宽。周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '早餐很好，住着很舒适下次还会再订。很好', '短评打分': 5}
{'短评内容': '冬天太冷，就一个中央空调，风还小，早上都被冻醒', '短评打分': 4}
{'短评内容': '一直就在佳泰入住 像家一样温馨 习惯性的不管去哪都要入住在佳泰 全国统一价 全国统一装修 优质服务 ', '短评打分': 5}
{'短评内容': '挺好的，物有所值，可以可以', '短评打分': 5}
{'短评内容': '赞！！', '短评打分': 5}
{'短评内容': '非常好的体验', '短评打分': 5}
{'短评内容': '位于市中心繁华地段，逛街、吃饭、娱乐都很方便，强力推荐！房间大、出行方便，设施有点陈旧    性价比高，不错', '短评打分': 5}
{'短评内容': '住了好多次都挺好的', '短评打分': 5}
{'短评内容': '不错，环境不错', '短评打分': 5}
{'短评内容': '房间还可以，隔音不太好，周边环境可以，有吃有玩', '短评打分': 5}
{'短评内容': '房间还行，周边环境也不错，隔音不太好', '短评打分': 5}
{'短评内容': '房间还行，就是电脑没用，周边环境也不错', '短评打分': 5}
{'短评内容': '凑活，这个价钱来说不错了，水壶旧，浴巾旧，水盆旧，电视小，其他就没什么了，位置很好，商务圆窗房间相对来说比较大', '短评打分': 4}
{'短评内容': '很好，地理位置很不错，很好找', '短评打分': 5}
{'短评内容': '房间有点冷，卫生也不天天打扫，但是在地铁站旁，交通比较便利。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间不错，就是走廊太黑了', '短评打分': 5}
