{'短评内容': '位置较偏僻，比较难找，性价比不高，总之不太让人满意', '短评打分': 1}
{'短评内容': '有停车场', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好的阿 满分', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '房间卫生还可以，设施有点旧，只是位置一般，周围没什么吃饭的地方，房间隔音挺好，晚上也比较安静，总体还行', '短评打分': 4}
{'短评内容': '酒店位置和条件都很好', '短评打分': 5}
{'短评内容': '设施还可以吧，早餐挺丰盛的！', '短评打分': 3}
{'短评内容': '首先，酒店所处的位置是挺不错的，距离火车站和淄博商业圈很近，附近就是利群，商厦，万象汇，购物逛街都很方便。内部卫生环境也不错，携程团购的价格也便宜，早餐也含着，很实惠。', '短评打分': 5}
{'短评内容': '离车站金近，', '短评打分': 5}
{'短评内容': '环境、卫生、设施还可以，早餐也还行。总体来说性价比不错。', '短评打分': 3}
{'短评内容': '酒店wifi 当时不能用，早餐可以，价格合适，整体感觉不错。', '短评打分': 4}
{'短评内容': '环境像家。。。但设施有点差。布子都烂了。。但价格比较合适', '短评打分': 5}
{'短评内容': '老的，挺一般', '短评打分': 3}
{'短评内容': '怎么不返现', '短评打分': 4}
{'短评内容': '酒店内部设施尚可，比较干净，交通也比较便利', '短评打分': 5}
{'短评内容': '坏境和室内设施还能对付，早餐一般性，算是推荐吧', '短评打分': 5}
{'短评内容': '卫生间偏小，灯开关安装不合理。', '短评打分': 3}
{'短评内容': '非常不错，去的有点早，没有房间，前台给免费升级成了景观房。服务态度。浴室浴巾破了个洞。浴巾很不舒服', '短评打分': 5}
{'短评内容': '房间挺大得，还不错', '短评打分': 3}
{'短评内容': '酒店位置还可以，离火车站有一定距离，房间装修设施一般。', '短评打分': 5}
{'短评内容': '服务好早餐免费！', '短评打分': 3}
{'短评内容': '怎么说是商务的,一点都看不出跟普通的有区别', '短评打分': 3}
{'短评内容': '还可以，就是水龙头水小', '短评打分': 3}
{'短评内容': '条件尚可', '短评打分': 3}
{'短评内容': '房间不通风有味道', '短评打分': 3}
{'短评内容': '呵呵，很不错的酒店，安静，就是旁边吃饭的地方少点，价格也合理，就是没看到电脑，而且也没好意思问，就在这里问下把，是要和前台要电脑吗。如果是以后就要厚脸皮了', '短评打分': 5}
{'短评内容': '挺好的,价格合理,比较干净,以后还会考虑的', '短评打分': 5}
{'短评内容': '地理位置还行，周围没有吃饭地方。客服很温柔 很到位。但是价位有点高，并且被子 枕头点破。手巾消毒水味道太大。', '短评打分': 5}
{'短评内容': '没电脑。人太多没热水。装饰还行', '短评打分': 3}
{'短评内容': '房间很暖和，赠送的早餐蛮不错的，就是离购物的地方稍远了一点。', '短评打分': 5}
{'短评内容': '交通还好，房间还干净，比较好，值得推荐，有机会还会再来', '短评打分': 5}
{'短评内容': '感觉还是一般吧。没有太多的想法了。同事推荐入住，一般点评。', '短评打分': 5}
{'短评内容': '很好 环境不错，挺干净的', '短评打分': 3}
{'短评内容': '酒店住着还可以，价格适中，设施有些老了酒店住着还可以，价格适中，设施有些老了酒店住着还可以，价格适中，设施有些老了', '短评打分': 3}
{'短评内容': '淄博豪森俪客假日酒店硬件设施陈旧，服务人员的素质有待提高！ \n', '短评打分': 1}
{'短评内容': '507房间', '短评打分': 3}
{'短评内容': '出差来的，最影响的是网速太慢了，另外外线电话太贵。卫生一般，昨天下雨，被子居然有点黏黏的感觉。退房时间也有点早，一般都是下午2点的，这里是中午12点。早餐还行，交通也可以。', '短评打分': 1}
