{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '比想象中的好很多，干净卫生', '短评打分': 5}
{'短评内容': '还不错哦！早餐没有，不能加床，家庭式公寓，不适合带孩子，酒店位置在小区里，有点难找，小区有停车场，性价比高！', '短评打分': 5}
{'短评内容': '还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！还是可以的！', '短评打分': 3}
{'短评内容': '性价比非常高。。。。。。', '短评打分': 5}
{'短评内容': '一直住在这里。。。。。', '短评打分': 5}
{'短评内容': '一直住在这里不错', '短评打分': 5}
{'短评内容': '一直住在这里不错。。。。。', '短评打分': 5}
{'短评内容': '一直出差回来住在这里', '短评打分': 5}
{'短评内容': '地方可能修路不太好找，整体来说还可以。', '短评打分': 5}
{'短评内容': '一直出差住在这里。。。。', '短评打分': 5}
{'短评内容': '一直住在这里，非常好', '短评打分': 5}
{'短评内容': '一直出差住在这里，性价比非常高', '短评打分': 5}
{'短评内容': '一直住这里，非常好', '短评打分': 5}
{'短评内容': '一直住在这里，性价比可以', '短评打分': 5}
{'短评内容': '一直住在这里，性价比非常高', '短评打分': 5}
{'短评内容': '不错哦！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间抽屉里居然留了上个房客的一双奇臭无比的袜子，臭到堪比生化武器，臭到袜子清理走而且喷了空气清新剂以后第二天进房间还是浓浓的脚臭味。打电话想换房间说是没有房间了。请自行脑补我被一双臭袜子熏了一天一夜的情景。差评。', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '第二天入住，服务不满意了…………！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '很不错，很大很舒适', '短评打分': 5}
{'短评内容': '位置在小区里，不好找。  卫生条件挺好的，房间在18楼，视野很好！', '短评打分': 4}
{'短评内容': '环境不错，服务员态度不错！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错，，………………', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间挺不错的！', '短评打分': 3}
{'短评内容': '公寓挺棒的，样样俱全，只是厨房设施不太齐全。', '短评打分': 5}
{'短评内容': '无论是环境还是服务，都还不错，就是感觉有点小~', '短评打分': 5}
{'短评内容': '卫生一般，服务也是一般，以后不会去住。', '短评打分': 3}
{'短评内容': '酒店装修很不错，网速很给力！', '短评打分': 3}
{'短评内容': '环境挺不错的  价格优惠  服务态度也挺好的', '短评打分': 5}
{'短评内容': '房间很整洁，虽然小，不过设施都很新。唯一不好的地方是不能刷卡结账～', '短评打分': 3}
{'短评内容': '环境还不错 ，小而精致，大窗户的感觉很好，视野开阔。', '短评打分': 5}
