{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '很好，服务态度好！', '短评打分': 5}
{'短评内容': '不错，就是网络不给力', '短评打分': 5}
{'短评内容': '网络有的时候经常掉线，自助餐不错，服务好，成为会员优惠多', '短评打分': 5}
{'短评内容': '不错，很好，希望能有更多的人来', '短评打分': 5}
{'短评内容': '挺安静的', '短评打分': 5}
{'短评内容': '酒店不错  服务人员很礼貌客气  ', '短评打分': 5}
{'短评内容': '酒店位置比较偏，第一次不太好找，在一个挺深的巷子里。酒店附近有很多吃的地方； 前台服务还不错，酒店的自助餐还可以', '短评打分': 3}
{'短评内容': '酒店服务员很热情。设施一般，我用的房间马桶有故障。价格便宜。', '短评打分': 4}
{'短评内容': '还是不错的选择', '短评打分': 5}
{'短评内容': '酒店安静，停车方便，自助餐超值', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很不错 房间设备比较好 服务态度也很热情 很棒', '短评打分': 5}
{'短评内容': '酒店自助歺不错，房间也不错。。。。', '短评打分': 5}
{'短评内容': '环境很好，服务态度也很好，总之特别好', '短评打分': 5}
