{'短评内容': '老板人非常好！布置得十分用心。房间很宽敞，也很干净。早起先离开了没能和老板道别有点遗憾。停业了有些可惜，不过同时也可以去开拓新的天地了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店里面住进去的时候连热水器都坏了 我也是醉了', '短评打分': 4}
{'短评内容': '性价比很高，下次还会选择。', '短评打分': 5}
{'短评内容': '很好很强大很安静', '短评打分': 5}
{'短评内容': '很好很强大很安静，!', '短评打分': 5}
{'短评内容': '寒秋雨意浓，回廊画中游', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一好', '短评打分': 5}
{'短评内容': '很安静，出门就有公交站。浴室热水澡洗起来好舒服，电视也好用，总之感觉还蛮不错的╮(╯▽╰)╭', '短评打分': 4}
{'短评内容': 'just so so , very simple room but the location and trafic is ok', '短评打分': 3}
{'短评内容': '只能说一分价钱一分货', '短评打分': 1}
{'短评内容': '酒店的外部环境比较好 内部设施还好吧', '短评打分': 4}
{'短评内容': '条件一般，价钱实惠', '短评打分': 4}
