{'短评内容': '方便，安静，房间大，水很热', '短评打分': 5}
{'短评内容': '安静，服务热情，周到', '短评打分': 5}
{'短评内容': '地方非常好，每次出差都住在这个地方，然后离市区也比较方便，有停车场，这是最关键的一个地方。有会员也可以免费吃早餐地方非常好。', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '酒店非常好，这是我住过的性价比最好的一个地方了，以后有机会去济南还会选择这家酒店，真的挺不错的，值得推荐', '短评打分': 5}
{'短评内容': '挺好的酒店 还回去住', '短评打分': 5}
{'短评内容': '呵呵红红火火恍恍惚惚，呵呵哈哈哈呵呵红红火火恍恍惚惚。五星好评。', '短评打分': 5}
{'短评内容': '来济南不二之选，环境非常好，在闹市中有这么个院子，晚上听不到马路上的汽车声，非常安静，每次来都住这里，这次同时对比了飞猪、携程、如家app，还是京东优惠最大??。谁优惠大就选谁定房间。', '短评打分': 5}
{'短评内容': '还不错，离车站稍远得多走会', '短评打分': 5}
{'短评内容': '位置还行。就是空调声音巨大，一阵一阵真受不了', '短评打分': 4}
{'短评内容': '感觉挺不错的！干净！空间很大！设施完备！！', '短评打分': 5}
{'短评内容': '入住的时候被客服气死，本来携程订单都确认了，她那也知道，但是她硬说我订的那天不可能把129的价格给我，让我加钱入住，在大厅大声喊着我入住人的名字，给携程打电话，念着价格，你说别人能不尴尬吗，你没教养不要来当前台好吗，莫泰和如家我一直觉得服务态度好，这种人是怎么通过的应聘？可能是她不开心，给我入住的房间里空调巨响，窗户外面的室外机更响，一晚没睡好，史上入住最差的体验，不建议入住，前台该换了。', '短评打分': 1}
{'短评内容': '卫生还好。', '短评打分': 4}
{'短评内容': '好的说话题材股，市行情分析。师傅颖。', '短评打分': 5}
{'短评内容': '帮朋友预定的，离火车站较近，适合赶早班火车。比较干净，交通还算便利，到哪儿去都挺方便的。性价比较高，不错', '短评打分': 4}
{'短评内容': '??五月二十世纪初然堂雪域精粹么！', '短评打分': 4}
{'短评内容': '酒店很舒适，物美价廉，附近也很繁华', '短评打分': 5}
{'短评内容': '很满意，一次不错的住宿经历！！！！', '短评打分': 5}
